P1	It rained this morning	Grass	Grass is wet outside.
P2	Ice cream causes drowning	Stats	Ice cream sales and drowning deaths both rise in summer.
P3	The defendant is innocent	Verdict	The defendant was found not guilty.
P4	The treatment certainly cures cancer	Trial	The treatment may help some patients.
P5	The deal is signed	Negotiation	If both parties agree the deal will be signed.
P6	Smoking causes cancer	Health	Smoking causes cancer according to the Surgeon General.
P7	The Earth is flat	Science	The Earth is not flat.
P8	Socrates is mortal	Philosophy	All men are mortal. Socrates is a man.
P9	The vaccine prevented the outbreak	Trial	The vaccine prevented the outbreak in the trial city.
P10	Not all birds fly	Nature	Penguins are birds that do not fly.
P11	The policy is not unhelpful	Report	The policy helps citizens.
P12	Vaccines are safe	Doctors	Scientists report that vaccines are safe.
