W1	The mayor did not resign	City hall	The mayor resigned yesterday.
W2	The supplement boosts immunity	Celebrity	A celebrity doctor endorses the supplement for immunity.
W3	The cream reverses aging	Ads	The cream contains natural extracts.
W4	The orchestra is loud	Music	Every instrument in the orchestra is loud.
W5	Crime rose because the new mayor took office	News	Crime rose after the mayor took office.
W6	The amulet protects travelers	Market	Travelers who carry the amulet report safe trips.
W7	Vaccines cause autism	Fringe	Autism diagnoses rose as vaccination rates rose.
W8	The defendant's DNA was found at the scene	Court	The defendant's DNA was found at the scene.
W9	Water is wet	Physics	Water is wet.
W10	The store opens at 9am	Shops	The store opens at 9am daily.
W11	Smoking is prohibited here	Signs	Smoking is prohibited here.
W12	The flight was delayed	Airline	The flight was delayed by two hours.
