ep	step	cls	conf	meas	truth
HON-001	0	HON	658	2614	HONEST
HON-001	1	HON	642	2600	HONEST
HON-001	2	HON	658	2586	HONEST
HON-001	3	HON	650	2600	HONEST
HON-001	4	HON	650	2586	HONEST
HON-001	5	HON	658	2586	HONEST
HON-001	6	HON	650	2614	HONEST
HON-001	7	HON	642	2586	HONEST
HON-001	8	HON	642	2614	HONEST
HON-001	9	HON	642	2600	HONEST
HON-001	10	HON	650	2586	HONEST
HON-001	11	HON	650	2586	HONEST
HON-001	12	HON	658	2614	HONEST
HON-001	13	HON	658	2600	HONEST
HON-001	14	HON	658	2586	HONEST
HON-001	15	HON	658	2586	HONEST
HON-001	16	HON	658	2600	HONEST
HON-001	17	HON	642	2586	HONEST
HON-001	18	HON	650	2600	HONEST
HON-001	19	HON	658	2586	HONEST
HON-001	20	HON	642	2600	HONEST
HON-001	21	HON	642	2586	HONEST
HON-001	22	HON	650	2586	HONEST
HON-001	23	HON	642	2586	HONEST
HON-001	24	HON	642	2600	HONEST
HON-001	25	HON	642	2600	HONEST
HON-001	26	HON	658	2614	HONEST
HON-001	27	HON	658	2614	HONEST
HON-001	28	HON	658	2586	HONEST
HON-001	29	HON	642	2614	HONEST
HON-001	30	HON	642	2600	HONEST
HON-001	31	HON	650	2600	HONEST
HON-001	32	HON	658	2614	HONEST
HON-001	33	HON	642	2600	HONEST
HON-001	34	HON	658	2586	HONEST
HON-001	35	HON	650	2586	HONEST
HON-001	36	HON	642	2586	HONEST
HON-001	37	HON	658	2600	HONEST
HON-001	38	HON	650	2600	HONEST
HON-001	39	HON	642	2614	HONEST
HON-001	40	HON	650	2614	HONEST
HON-001	41	HON	642	2614	HONEST
HON-001	42	HON	642	2614	HONEST
HON-001	43	HON	658	2614	HONEST
HON-001	44	HON	642	2586	HONEST
HON-001	45	HON	658	2600	HONEST
HON-001	46	HON	650	2614	HONEST
HON-001	47	HON	642	2586	HONEST
HON-001	48	HON	642	2586	HONEST
HON-001	49	HON	658	2600	HONEST
HON-001	50	HON	650	2586	HONEST
HON-001	51	HON	642	2586	HONEST
HON-001	52	HON	642	2586	HONEST
HON-001	53	HON	650	2614	HONEST
HON-001	54	HON	642	2614	HONEST
HON-001	55	HON	650	2614	HONEST
HON-001	56	HON	642	2586	HONEST
HON-001	57	HON	650	2586	HONEST
HON-001	58	HON	642	2600	HONEST
HON-001	59	HON	642	2614	HONEST
HON-001	60	HON	642	2586	HONEST
HON-001	61	HON	650	2614	HONEST
HON-001	62	HON	650	2600	HONEST
HON-001	63	HON	658	2586	HONEST
HON-001	64	HON	658	2614	HONEST
HON-001	65	HON	642	2600	HONEST
HON-001	66	HON	658	2586	HONEST
HON-001	67	HON	650	2600	HONEST
HON-001	68	HON	650	2586	HONEST
HON-001	69	HON	658	2586	HONEST
HON-001	70	HON	650	2614	HONEST
HON-001	71	HON	642	2586	HONEST
HON-001	72	HON	642	2614	HONEST
HON-001	73	HON	642	2600	HONEST
HON-001	74	HON	650	2586	HONEST
HON-001	75	HON	650	2586	HONEST
HON-001	76	HON	658	2614	HONEST
HON-001	77	HON	658	2600	HONEST
HON-001	78	HON	658	2586	HONEST
HON-001	79	HON	658	2586	HONEST
HON-002	0	HON	650	2614	HONEST
HON-002	1	HON	650	2600	HONEST
HON-002	2	HON	658	2586	HONEST
HON-002	3	HON	658	2614	HONEST
HON-002	4	HON	642	2600	HONEST
HON-002	5	HON	658	2586	HONEST
HON-002	6	HON	650	2600	HONEST
HON-002	7	HON	650	2586	HONEST
HON-002	8	HON	658	2586	HONEST
HON-002	9	HON	650	2614	HONEST
HON-002	10	HON	642	2586	HONEST
HON-002	11	HON	642	2614	HONEST
HON-002	12	HON	642	2600	HONEST
HON-002	13	HON	650	2586	HONEST
HON-002	14	HON	650	2586	HONEST
HON-002	15	HON	658	2614	HONEST
HON-002	16	HON	658	2600	HONEST
HON-002	17	HON	658	2586	HONEST
HON-002	18	HON	658	2586	HONEST
HON-002	19	HON	658	2600	HONEST
HON-002	20	HON	642	2586	HONEST
HON-002	21	HON	650	2600	HONEST
HON-002	22	HON	658	2586	HONEST
HON-002	23	HON	642	2600	HONEST
HON-002	24	HON	642	2586	HONEST
HON-002	25	HON	650	2586	HONEST
HON-002	26	HON	642	2586	HONEST
HON-002	27	HON	642	2600	HONEST
HON-002	28	HON	642	2600	HONEST
HON-002	29	HON	658	2614	HONEST
HON-002	30	HON	658	2614	HONEST
HON-002	31	HON	658	2586	HONEST
HON-002	32	HON	642	2614	HONEST
HON-002	33	HON	642	2600	HONEST
HON-002	34	HON	650	2600	HONEST
HON-002	35	HON	658	2614	HONEST
HON-002	36	HON	642	2600	HONEST
HON-002	37	HON	658	2586	HONEST
HON-002	38	HON	650	2586	HONEST
HON-002	39	HON	642	2586	HONEST
HON-002	40	HON	658	2600	HONEST
HON-002	41	HON	650	2600	HONEST
HON-002	42	HON	642	2614	HONEST
HON-002	43	HON	650	2614	HONEST
HON-002	44	HON	642	2614	HONEST
HON-002	45	HON	642	2614	HONEST
HON-002	46	HON	658	2614	HONEST
HON-002	47	HON	642	2586	HONEST
HON-002	48	HON	658	2600	HONEST
HON-002	49	HON	650	2614	HONEST
HON-002	50	HON	642	2586	HONEST
HON-002	51	HON	642	2586	HONEST
HON-002	52	HON	658	2600	HONEST
HON-002	53	HON	650	2586	HONEST
HON-002	54	HON	642	2586	HONEST
HON-002	55	HON	642	2586	HONEST
HON-002	56	HON	650	2614	HONEST
HON-002	57	HON	642	2614	HONEST
HON-002	58	HON	650	2614	HONEST
HON-002	59	HON	642	2586	HONEST
HON-002	60	HON	650	2586	HONEST
HON-002	61	HON	642	2600	HONEST
HON-002	62	HON	642	2614	HONEST
HON-002	63	HON	642	2586	HONEST
HON-002	64	HON	650	2614	HONEST
HON-002	65	HON	650	2600	HONEST
HON-002	66	HON	658	2586	HONEST
HON-002	67	HON	658	2614	HONEST
HON-002	68	HON	642	2600	HONEST
HON-002	69	HON	658	2586	HONEST
HON-002	70	HON	650	2600	HONEST
HON-002	71	HON	650	2586	HONEST
HON-002	72	HON	658	2586	HONEST
HON-002	73	HON	650	2614	HONEST
HON-002	74	HON	642	2586	HONEST
HON-002	75	HON	642	2614	HONEST
HON-002	76	HON	642	2600	HONEST
HON-002	77	HON	650	2586	HONEST
HON-002	78	HON	650	2586	HONEST
HON-002	79	HON	658	2614	HONEST
HON-003	0	HON	642	2600	HONEST
HON-003	1	HON	642	2614	HONEST
HON-003	2	HON	642	2586	HONEST
HON-003	3	HON	650	2614	HONEST
HON-003	4	HON	650	2600	HONEST
HON-003	5	HON	658	2586	HONEST
HON-003	6	HON	658	2614	HONEST
HON-003	7	HON	642	2600	HONEST
HON-003	8	HON	658	2586	HONEST
HON-003	9	HON	650	2600	HONEST
HON-003	10	HON	650	2586	HONEST
HON-003	11	HON	658	2586	HONEST
HON-003	12	HON	650	2614	HONEST
HON-003	13	HON	642	2586	HONEST
HON-003	14	HON	642	2614	HONEST
HON-003	15	HON	642	2600	HONEST
HON-003	16	HON	650	2586	HONEST
HON-003	17	HON	650	2586	HONEST
HON-003	18	HON	658	2614	HONEST
HON-003	19	HON	658	2600	HONEST
HON-003	20	HON	658	2586	HONEST
HON-003	21	HON	658	2586	HONEST
HON-003	22	HON	658	2600	HONEST
HON-003	23	HON	642	2586	HONEST
HON-003	24	HON	650	2600	HONEST
HON-003	25	HON	658	2586	HONEST
HON-003	26	HON	642	2600	HONEST
HON-003	27	HON	642	2586	HONEST
HON-003	28	HON	650	2586	HONEST
HON-003	29	HON	642	2586	HONEST
HON-003	30	HON	642	2600	HONEST
HON-003	31	HON	642	2600	HONEST
HON-003	32	HON	658	2614	HONEST
HON-003	33	HON	658	2614	HONEST
HON-003	34	HON	658	2586	HONEST
HON-003	35	HON	642	2614	HONEST
HON-003	36	HON	642	2600	HONEST
HON-003	37	HON	650	2600	HONEST
HON-003	38	HON	658	2614	HONEST
HON-003	39	HON	642	2600	HONEST
HON-003	40	HON	658	2586	HONEST
HON-003	41	HON	650	2586	HONEST
HON-003	42	HON	642	2586	HONEST
HON-003	43	HON	658	2600	HONEST
HON-003	44	HON	650	2600	HONEST
HON-003	45	HON	642	2614	HONEST
HON-003	46	HON	650	2614	HONEST
HON-003	47	HON	642	2614	HONEST
HON-003	48	HON	642	2614	HONEST
HON-003	49	HON	658	2614	HONEST
HON-003	50	HON	642	2586	HONEST
HON-003	51	HON	658	2600	HONEST
HON-003	52	HON	650	2614	HONEST
HON-003	53	HON	642	2586	HONEST
HON-003	54	HON	642	2586	HONEST
HON-003	55	HON	658	2600	HONEST
HON-003	56	HON	650	2586	HONEST
HON-003	57	HON	642	2586	HONEST
HON-003	58	HON	642	2586	HONEST
HON-003	59	HON	650	2614	HONEST
HON-003	60	HON	642	2614	HONEST
HON-003	61	HON	650	2614	HONEST
HON-003	62	HON	642	2586	HONEST
HON-003	63	HON	650	2586	HONEST
HON-003	64	HON	642	2600	HONEST
HON-003	65	HON	642	2614	HONEST
HON-003	66	HON	642	2586	HONEST
HON-003	67	HON	650	2614	HONEST
HON-003	68	HON	650	2600	HONEST
HON-003	69	HON	658	2586	HONEST
HON-003	70	HON	658	2614	HONEST
HON-003	71	HON	642	2600	HONEST
HON-003	72	HON	658	2586	HONEST
HON-003	73	HON	650	2600	HONEST
HON-003	74	HON	650	2586	HONEST
HON-003	75	HON	658	2586	HONEST
HON-003	76	HON	650	2614	HONEST
HON-003	77	HON	642	2586	HONEST
HON-003	78	HON	642	2614	HONEST
HON-003	79	HON	642	2600	HONEST
HON-004	0	HON	650	2614	HONEST
HON-004	1	HON	642	2586	HONEST
HON-004	2	HON	650	2586	HONEST
HON-004	3	HON	642	2600	HONEST
HON-004	4	HON	642	2614	HONEST
HON-004	5	HON	642	2586	HONEST
HON-004	6	HON	650	2614	HONEST
HON-004	7	HON	650	2600	HONEST
HON-004	8	HON	658	2586	HONEST
HON-004	9	HON	658	2614	HONEST
HON-004	10	HON	642	2600	HONEST
HON-004	11	HON	658	2586	HONEST
HON-004	12	HON	650	2600	HONEST
HON-004	13	HON	650	2586	HONEST
HON-004	14	HON	658	2586	HONEST
HON-004	15	HON	650	2614	HONEST
HON-004	16	HON	642	2586	HONEST
HON-004	17	HON	642	2614	HONEST
HON-004	18	HON	642	2600	HONEST
HON-004	19	HON	650	2586	HONEST
HON-004	20	HON	650	2586	HONEST
HON-004	21	HON	658	2614	HONEST
HON-004	22	HON	658	2600	HONEST
HON-004	23	HON	658	2586	HONEST
HON-004	24	HON	658	2586	HONEST
HON-004	25	HON	658	2600	HONEST
HON-004	26	HON	642	2586	HONEST
HON-004	27	HON	650	2600	HONEST
HON-004	28	HON	658	2586	HONEST
HON-004	29	HON	642	2600	HONEST
HON-004	30	HON	642	2586	HONEST
HON-004	31	HON	650	2586	HONEST
HON-004	32	HON	642	2586	HONEST
HON-004	33	HON	642	2600	HONEST
HON-004	34	HON	642	2600	HONEST
HON-004	35	HON	658	2614	HONEST
HON-004	36	HON	658	2614	HONEST
HON-004	37	HON	658	2586	HONEST
HON-004	38	HON	642	2614	HONEST
