ep	step	cls	conf	meas	truth
L-001	0	INJ	715	6030	FALSE
L-001	1	INJ	715	6029	FALSE
L-001	2	INJ	715	6028	FALSE
L-001	3	INJ	715	6027	FALSE
L-001	4	INJ	715	6026	FALSE
L-001	5	INJ	715	6025	FALSE
L-001	6	INJ	715	6024	FALSE
L-001	7	INJ	715	6023	FALSE
L-001	8	INJ	715	6022	FALSE
L-001	9	INJ	715	6021	FALSE
L-001	10	INJ	715	6020	FALSE
L-001	11	INJ	715	6019	FALSE
L-001	12	INJ	715	6018	FALSE
L-001	13	INJ	715	6017	FALSE
L-001	14	INJ	715	6016	FALSE
L-001	15	INJ	715	6015	FALSE
L-001	16	INJ	715	6014	FALSE
L-001	17	INJ	715	6013	FALSE
L-001	18	INJ	715	6012	FALSE
L-001	19	INJ	715	6011	FALSE
L-001	20	INJ	715	6010	FALSE
L-001	21	INJ	715	6009	FALSE
L-001	22	INJ	715	6008	FALSE
L-001	23	INJ	715	6007	FALSE
L-001	24	INJ	715	6006	FALSE
L-001	25	INJ	715	6005	FALSE
L-001	26	INJ	715	6004	FALSE
L-001	27	INJ	715	6003	FALSE
L-001	28	INJ	715	6002	FALSE
L-001	29	INJ	715	6001	FALSE
L-001	30	INJ	715	6000	FALSE
L-001	31	INJ	715	5999	FALSE
L-001	32	INJ	715	5998	FALSE
L-001	33	INJ	715	5997	FALSE
L-001	34	INJ	715	5996	FALSE
L-001	35	INJ	715	5995	FALSE
L-001	36	INJ	715	5994	FALSE
L-001	37	INJ	715	5993	FALSE
L-001	38	INJ	715	5992	FALSE
L-001	39	INJ	715	5991	FALSE
L-001	40	INJ	715	5990	FALSE
L-001	41	INJ	715	5989	FALSE
L-001	42	INJ	715	5988	FALSE
L-001	43	INJ	715	5987	FALSE
L-001	44	INJ	715	5986	FALSE
L-001	45	INJ	715	5985	FALSE
L-001	46	INJ	715	5984	FALSE
L-001	47	INJ	715	5983	FALSE
L-001	48	INJ	715	5982	FALSE
L-001	49	INJ	715	5981	FALSE
L-001	50	INJ	715	5980	FALSE
L-001	51	INJ	715	5979	FALSE
L-001	52	INJ	715	5978	FALSE
L-001	53	INJ	715	5977	FALSE
L-001	54	INJ	715	5976	FALSE
L-001	55	INJ	715	5975	FALSE
L-001	56	INJ	715	5974	FALSE
L-001	57	INJ	715	5973	FALSE
L-001	58	INJ	715	5972	FALSE
L-001	59	INJ	715	5971	FALSE
L-001	60	INJ	715	5970	FALSE
L-001	61	INJ	715	5971	FALSE
L-001	62	INJ	715	5972	FALSE
L-001	63	INJ	715	5973	FALSE
L-001	64	INJ	715	5974	FALSE
L-001	65	INJ	715	5975	FALSE
L-001	66	INJ	715	5976	FALSE
L-001	67	INJ	715	5977	FALSE
L-001	68	INJ	715	5978	FALSE
L-001	69	INJ	715	5979	FALSE
L-002	0	INJ	715	6030	FALSE
L-002	1	INJ	715	6029	FALSE
L-002	2	INJ	715	6028	FALSE
L-002	3	INJ	715	6027	FALSE
L-002	4	INJ	715	6026	FALSE
L-002	5	INJ	715	6025	FALSE
L-002	6	INJ	715	6024	FALSE
L-002	7	INJ	715	6023	FALSE
L-002	8	INJ	715	6022	FALSE
L-002	9	INJ	715	6021	FALSE
L-002	10	INJ	715	6020	FALSE
L-002	11	INJ	715	6019	FALSE
L-002	12	INJ	715	6018	FALSE
L-002	13	INJ	715	6017	FALSE
L-002	14	INJ	715	6016	FALSE
L-002	15	INJ	715	6015	FALSE
L-002	16	INJ	715	6014	FALSE
L-002	17	INJ	715	6013	FALSE
L-002	18	INJ	715	6012	FALSE
L-002	19	INJ	715	6011	FALSE
L-002	20	INJ	715	6010	FALSE
L-002	21	INJ	715	6009	FALSE
L-002	22	INJ	715	6008	FALSE
L-002	23	INJ	715	6007	FALSE
L-002	24	INJ	715	6006	FALSE
L-002	25	INJ	715	6005	FALSE
L-002	26	INJ	715	6004	FALSE
L-002	27	INJ	715	6003	FALSE
L-002	28	INJ	715	6002	FALSE
L-002	29	INJ	715	6001	FALSE
L-002	30	INJ	715	6000	FALSE
L-002	31	INJ	715	5999	FALSE
L-002	32	INJ	715	5998	FALSE
L-002	33	INJ	715	5997	FALSE
L-002	34	INJ	715	5996	FALSE
L-002	35	INJ	715	5995	FALSE
L-002	36	INJ	715	5994	FALSE
L-002	37	INJ	715	5993	FALSE
L-002	38	INJ	715	5992	FALSE
L-002	39	INJ	715	5991	FALSE
L-002	40	INJ	715	5990	FALSE
L-002	41	INJ	715	5989	FALSE
L-002	42	INJ	715	5988	FALSE
L-002	43	INJ	715	5987	FALSE
L-002	44	INJ	715	5986	FALSE
L-002	45	INJ	715	5985	FALSE
L-002	46	INJ	715	5984	FALSE
L-002	47	INJ	715	5983	FALSE
L-002	48	INJ	715	5982	FALSE
L-002	49	INJ	715	5981	FALSE
L-002	50	INJ	715	5980	FALSE
L-002	51	INJ	715	5979	FALSE
L-002	52	INJ	715	5978	FALSE
L-002	53	INJ	715	5977	FALSE
L-002	54	INJ	715	5976	FALSE
L-002	55	INJ	715	5975	FALSE
L-002	56	INJ	715	5974	FALSE
L-002	57	INJ	715	5973	FALSE
L-002	58	INJ	715	5972	FALSE
L-002	59	INJ	715	5971	FALSE
L-002	60	INJ	715	5970	FALSE
L-002	61	INJ	715	5971	FALSE
L-002	62	INJ	715	5972	FALSE
L-002	63	INJ	715	5973	FALSE
L-002	64	INJ	715	5974	FALSE
L-002	65	INJ	715	5975	FALSE
L-002	66	INJ	715	5976	FALSE
L-002	67	INJ	715	5977	FALSE
L-002	68	INJ	715	5978	FALSE
L-002	69	INJ	715	5979	FALSE
L-003	0	INJ	715	6030	FALSE
L-003	1	INJ	715	6029	FALSE
L-003	2	INJ	715	6028	FALSE
L-003	3	INJ	715	6027	FALSE
L-003	4	INJ	715	6026	FALSE
L-003	5	INJ	715	6025	FALSE
L-003	6	INJ	715	6024	FALSE
L-003	7	INJ	715	6023	FALSE
L-003	8	INJ	715	6022	FALSE
L-003	9	INJ	715	6021	FALSE
L-003	10	INJ	715	6020	FALSE
L-003	11	INJ	715	6019	FALSE
L-003	12	INJ	715	6018	FALSE
L-003	13	INJ	715	6017	FALSE
L-003	14	INJ	715	6016	FALSE
L-003	15	INJ	715	6015	FALSE
L-003	16	INJ	715	6014	FALSE
L-003	17	INJ	715	6013	FALSE
L-003	18	INJ	715	6012	FALSE
L-003	19	INJ	715	6011	FALSE
L-003	20	INJ	715	6010	FALSE
L-003	21	INJ	715	6009	FALSE
L-003	22	INJ	715	6008	FALSE
L-003	23	INJ	715	6007	FALSE
L-003	24	INJ	715	6006	FALSE
L-003	25	INJ	715	6005	FALSE
L-003	26	INJ	715	6004	FALSE
L-003	27	INJ	715	6003	FALSE
L-003	28	INJ	715	6002	FALSE
L-003	29	INJ	715	6001	FALSE
L-003	30	INJ	715	6000	FALSE
L-003	31	INJ	715	5999	FALSE
L-003	32	INJ	715	5998	FALSE
L-003	33	INJ	715	5997	FALSE
L-003	34	INJ	715	5996	FALSE
L-003	35	INJ	715	5995	FALSE
L-003	36	INJ	715	5994	FALSE
L-003	37	INJ	715	5993	FALSE
L-003	38	INJ	715	5992	FALSE
L-003	39	INJ	715	5991	FALSE
L-003	40	INJ	715	5990	FALSE
L-003	41	INJ	715	5989	FALSE
L-003	42	INJ	715	5988	FALSE
L-003	43	INJ	715	5987	FALSE
L-003	44	INJ	715	5986	FALSE
L-003	45	INJ	715	5985	FALSE
L-003	46	INJ	715	5984	FALSE
L-003	47	INJ	715	5983	FALSE
L-003	48	INJ	715	5982	FALSE
L-003	49	INJ	715	5981	FALSE
L-003	50	INJ	715	5980	FALSE
L-003	51	INJ	715	5979	FALSE
L-003	52	INJ	715	5978	FALSE
L-003	53	INJ	715	5977	FALSE
L-003	54	INJ	715	5976	FALSE
L-003	55	INJ	715	5975	FALSE
L-003	56	INJ	715	5974	FALSE
L-003	57	INJ	715	5973	FALSE
L-003	58	INJ	715	5972	FALSE
L-003	59	INJ	715	5971	FALSE
L-003	60	INJ	715	5970	FALSE
L-003	61	INJ	715	5971	FALSE
L-003	62	INJ	715	5972	FALSE
L-003	63	INJ	715	5973	FALSE
L-003	64	INJ	715	5974	FALSE
L-003	65	INJ	715	5975	FALSE
L-003	66	INJ	715	5976	FALSE
