# unit_vectors.txt — FROZEN 2026-09-23 (LI-HARDEN-GLUE prereg §3.2 / B1)
# Format: URL => canonical_host|origin|status
# The Zag `norm` mode must reproduce every line byte-exactly.
http://sockfarm.example/ => sockfarm.example|sockfarm.example|OK
http://sockfarm.example./ => sockfarm.example|sockfarm.example|OK
http://sockfarm.example../ => sockfarm.example|sockfarm.example|OK
http://SOCKFARM.EXAMPLE/ => sockfarm.example|sockfarm.example|OK
https://sockfarm.example/ => sockfarm.example|sockfarm.example|OK
http://sockfarm.example:8080/n1 => sockfarm.example|sockfarm.example|OK
http://sockfarm.example/a?x=1&y=2 => sockfarm.example|sockfarm.example|OK
http://sockfarm.example#@evil.example/n1 => sockfarm.example|sockfarm.example|OK
http://sockfarm%2Eexample/n1 => sockfarm.example|sockfarm.example|OK
http://sockfarm%2eexample/n1 => sockfarm.example|sockfarm.example|OK
http://%73%6f%63%6b%66%61%72%6d.example/ => sockfarm.example|sockfarm.example|OK
http://sockfarm.example%40evil.example/n1 => |INVALID|INVALID_DELIM
http://user@sockfarm.example/ => sockfarm.example|sockfarm.example|OK
http://reader:secret@sockfarm.example/ => sockfarm.example|sockfarm.example|OK
http://user:p%40ss@sockfarm.example/ => sockfarm.example|sockfarm.example|OK
http://a.sockfarm.example/ => a.sockfarm.example|sockfarm.example|OK
http://b.sockfarm.example/ => b.sockfarm.example|sockfarm.example|OK
http://www.sockfarm.example/ => www.sockfarm.example|sockfarm.example|OK
http://x.y.sockfarm.example/ => x.y.sockfarm.example|sockfarm.example|OK
http://a.b.example.co.uk/ => a.b.example.co.uk|example.co.uk|OK
http://example.co.uk/ => example.co.uk|example.co.uk|OK
http://a.b.example.com/ => a.b.example.com|example.com|OK
http://localhost/ => localhost|localhost|OK
http://93.184.216.34/n1 => 93.184.216.34|93.184.216.34|OK
http://[::ffff:93.184.216.34]/n2 => 93.184.216.34|93.184.216.34|OK
http://0x5db8d822/n1 => 93.184.216.34|93.184.216.34|OK
http://2130706433/ => 127.0.0.1|127.0.0.1|OK
http://0177.0.0.1/ => 127.0.0.1|127.0.0.1|OK
http://0x7f.0x0.0x0.0x1/ => 127.0.0.1|127.0.0.1|OK
http://127.1/ => 127.0.0.1|127.0.0.1|OK
http://0x7f.1/ => 127.0.0.1|127.0.0.1|OK
http://3232235521/ => 192.168.0.1|192.168.0.1|OK
http://0x0a000001/ => 10.0.0.1|10.0.0.1|OK
http://10.0.0.1/ => 10.0.0.1|10.0.0.1|OK
http://[::1]/ => ::1|::1|OK
http://[2001:db8::1]/ => 2001:db8::1|2001:db8::1|OK
http://[FE80::1]/ => fe80::1|fe80::1|OK
http://[2001:db8::ffff:93.184.216.34]/ => 2001:db8::ffff:5db8:d822|2001:db8::ffff:5db8:d822|OK
http://999.1.1.1/ => |INVALID|INVALID_BADIP
http://1.2.3.256/ => |INVALID|INVALID_BADIP
http://09.0.0.1/ => |INVALID|INVALID_BADIP
http://sockfarm.exampl%2/ => |INVALID|INVALID_BADPCT
http://sockfarm.example%/ => |INVALID|INVALID_BADPCT
/rel/path/n1 => |INVALID|INVALID_HOSTLESS
?q=1 => |INVALID|INVALID_HOSTLESS
mailto:foo@bar.com => |INVALID|INVALID_HOSTLESS
http:// => |INVALID|INVALID_EMPTY
http:///path => |INVALID|INVALID_EMPTY
http://sockfarm..example/ => |INVALID|INVALID_EMPTY
http://-bad.example/ => |INVALID|INVALID_BADLABEL
http://bad-.example/ => |INVALID|INVALID_BADLABEL
http://sockfarm.example:abc/ => |INVALID|INVALID_BADPORT
http://xn--mnchen-3ya.de/ => münchen.de|münchen.de|OK
http://münchen.de/ => münchen.de|münchen.de|OK
http://sockfarm.exаmple/n1 => sockfarm.example|sockfarm.example|OK
http://ｓｏｃｋｆａｒｍ.example/ => sockfarm.example|sockfarm.example|OK
http://sockfarm.example%41/ => sockfarm.examplea|sockfarm.examplea|OK
