T1	The flood was before the drought.	Temporal case 1	The flood was after the drought.	2
T2	The flood was before the drought.	Temporal case 2	The flood was before the drought.	1
T3	The flood was before the drought.	Temporal case 3	The flood was bad and the drought was worse.	0
T4	The flood was in 1990, before the drought.	Temporal case 4	The drought was in 1995 and the flood was in 1990.	1
T5	The flood was in 1990, before the drought.	Temporal case 5	The drought was in 1985 and the flood was in 1990.	2
T6	She was here before noon.	Temporal case 6	She was here after noon.	2
T7	The meeting was before lunch.	Temporal case 7	The meeting was after lunch.	2
T8	The drought was after the flood.	Temporal case 8	The drought was before the flood.	2
T9	The flood was before the drought.	Temporal case 9	The drought was before the flood.	2
T10	The quake was before the flood, which was before the fire.	Temporal case 10	The quake was before the fire, which was before the flood.	2
T11	Dawn was before noon.	Temporal case 11	Dawn was early and noon was late.	0
T12	The flood was in 1990, before the drought.	Temporal case 12	The flood was in 2001, before the drought.	2
