H1	Coffee cures colds.	Hedge case 1	Coffee may cure colds.	0
H2	Coffee cures colds.	Hedge case 2	Coffee might cure colds.	0
H3	Coffee cures colds.	Hedge case 3	Coffee could cure colds.	0
H4	Coffee cures colds.	Hedge case 4	A study suggests coffee cures colds.	0
H5	Coffee cures colds.	Hedge case 5	Coffee possibly cures colds.	0
H6	Coffee cures colds.	Hedge case 6	Coffee appears to cure colds.	0
H7	Coffee cures colds.	Hedge case 7	Coffee seems to cure colds.	0
H8	Coffee cures colds.	Hedge case 8	Coffee is thought to cure colds.	0
H9	Coffee cures colds.	Hedge case 9	Coffee may not cure colds.	0
H10	Coffee cures colds.	Hedge case 10	Coffee cures colds.	1
H11	Coffee does not cure colds.	Hedge case 11	Coffee may not cure colds.	0
H12	Coffee cures colds.	Hedge case 12	Researchers believe coffee cures colds.	0
