# SYN_TABLE_V1 — frozen synonym table for WS2-B2 (Track B)
# Format: word1|word2, lowercase raw words. Each pair declares the two words
# mutually substitutable. The binary stems both words and maps both stems to
# the lexicographically smaller stem (byte order). Byte-exact matching only.
# Version: V1. Frozen 2026-09-24 by PREREG_WS2B2.md. Any addition/removal is a
# new version (V2) with a dated amendment; V1 bytes never change.
# Groups below name the motivating probe; all pairs are general vocabulary.

# PP01 lunar gravity
moonwalkers|astronauts
hop|bounce
gently|lightly
weak|feeble
selenian|lunar
attraction|pull
# PP02 fermentation
kraut|cabbage
fizz|bubbles
bacteria|microbes
dine|feast
fortnights|weeks
# PP03 pruning
withered|dead
limbs|branches
trimmed|clip
prior|before
sprouting|buds
# PP05 twain quote
witticism|quote
beginning|started
readiness|ahead
# PP06 acoustics
song|note
linger|prolong
basilica|cathedral
masonry|stone
# QR01 compost
espresso|coffee
dregs|grounds
nourish|feed
earthworm|worm
december|winter
box|bin
# QR02 inertia balloon
envelope|balloon
helium|gas
hoists|lifts
rattan|wicker
hamper|basket
field|meadow
# QR03 magnetism
magnetized|lodestone
sliver|needle
aims|points
pole|north
# QR04 siege
besiege|siege
citadel|fortress
severing|cutting
provision|supply
carts|wagons
# QR05 resonance
prong|fork
vibrates|hums
goblet|glass
till|until
answers|sings
# QR06 friction
abrasive|sandpaper
grain|grit
opposes|resists
gliding|sliding
cube|block
heating|warms
faces|surfaces
