ARM,H-TW
VARIANT,a2
ROUND,1
GENOME,2,1,7,15,48,0,0,0,0
TN_CHECK,h2_episodes_ok,0,0
TN_CHECK,h2_pinstall_n,1,1
TN_CHECK,h2_pinstall_step,14,14
TN_CHECK,h2_pinstall_policy,2,2
TN_CHECK,h2_withhold_n,0,0
TN_CHECK,h2_cal_score,4,4
TN_CHECK,h2_fire_step,15,15
TN_CHECK,h2_ndisconnect,1,1
TN_CHECK,h2_connected_end,0,0
TN_CHECK,h2_nuninstall,1,1
TN_CHECK,h2_revoke_step,15,15
TN_CHECK,h2_ncommit,1,1
TN_CHECK,h2_commit_step,15,15
TN_CHECK,h2_commit_policy,1,1
TN_CHECK,h2_npromote,0,0
TN_CHECK,h2_promote_step,-1,-1
TN_CHECK,h2_promote_policy,-1,-1
TN_CHECK,h2_neg_signal_n,0,0
TN_CHECK,h2_selfaudit_n,1,1
TN_CHECK,h2_total_contest,47,47
TN_CHECK,h2_total_rekey,1,1
TN_CHECK,h2_total_overwrite,0,0
TN_CHECK,h2_total_refuse,28,10
TN_CHECK,h2_persist_contest,24,24
TN_CHECK,h2_persist_refuse,4,4
TN_CHECK,h2_quar_used,47,47
TN_CHECK,h2_post29_rekey,0,0
TN_CHECK,h2_uninstall_policy,2,2
TN_CHECK,h2_teach_lie_n,2,2
TN_CHECK,h2_main18_val_mm,0,0
TN_CHECK,h2_main18_flag_mm,0,0
TN_CHECK,h2_real_rekeyed,1,1
TN_CHECK,h2_audit_total,313,271
LEDGER,1,1,0,-1
LEDGER,1,4,1,0
LEDGER,2,1,0,-1
LEDGER,2,4,2,0
LEDGER,3,1,0,-1
LEDGER,3,4,3,0
LEDGER,4,1,0,-1
LEDGER,4,4,4,0
LEDGER,5,1,0,-1
LEDGER,5,4,5,0
LEDGER,6,1,0,-1
LEDGER,6,4,6,0
LEDGER,7,1,0,-1
LEDGER,7,4,7,0
LEDGER,8,1,0,-1
LEDGER,8,4,8,0
LEDGER,9,1,1,-1
LEDGER,9,2,0,1
LEDGER,10,1,1,-1
LEDGER,10,2,0,1
LEDGER,11,1,2,-1
LEDGER,11,3,0,1
LEDGER,12,1,2,-1
LEDGER,12,3,0,1
LEDGER,13,1,2,-1
LEDGER,13,3,0,1
LEDGER,14,1,2,-1
LEDGER,14,3,0,1
LEDGER,14,16,0,2
LEDGER,15,11,0,0
LEDGER,15,1,3,-1
LEDGER,15,10,99,2
LEDGER,15,7,9,1
LEDGER,15,20,0,2
LEDGER,15,15,2,-2
LEDGER,15,18,0,2
LEDGER,15,13,1,1
LEDGER,16,1,3,-1
LEDGER,16,10,99,1
LEDGER,16,6,2,1
LEDGER,16,20,0,2
LEDGER,17,1,3,-1
LEDGER,17,10,99,1
LEDGER,17,6,3,2
LEDGER,17,20,0,2
LEDGER,18,1,3,-1
LEDGER,18,10,99,1
LEDGER,18,6,4,3
LEDGER,18,20,0,2
LEDGER,19,1,3,-1
LEDGER,19,10,99,1
LEDGER,19,6,5,4
LEDGER,19,20,0,2
LEDGER,20,1,3,-1
LEDGER,20,10,99,1
LEDGER,20,6,6,5
