ARM,H-TW
VARIANT,default
ROUND,4
GENOME,2,1,7,15,48,0,0,0,0
TN_CHECK,h2_episodes_ok,0,0
TN_CHECK,h2_pinstall_n,0,1
TN_CHECK,h2_pinstall_step,-1,14
TN_CHECK,h2_pinstall_policy,-1,2
TN_CHECK,h2_withhold_n,1,0
TN_CHECK,h2_cal_score,4,4
TN_CHECK,h2_fire_step,-1,15
TN_CHECK,h2_ndisconnect,0,1
TN_CHECK,h2_connected_end,1,0
TN_CHECK,h2_nuninstall,0,1
TN_CHECK,h2_revoke_step,-1,29
TN_CHECK,h2_ncommit,0,1
TN_CHECK,h2_commit_step,-1,29
TN_CHECK,h2_npromote,0,0
TN_CHECK,h2_promote_step,-1,-1
TN_CHECK,h2_neg_signal_n,0,1
TN_CHECK,h2_total_contest,0,33
TN_CHECK,h2_total_rekey,0,15
TN_CHECK,h2_total_overwrite,0,0
TN_CHECK,h2_total_refuse,0,10
TN_CHECK,h2_persist_contest,0,24
TN_CHECK,h2_persist_refuse,0,4
TN_CHECK,h2_quar_used,0,33
TN_CHECK,h2_post29_rekey,0,0
TN_CHECK,h2_tempt_refuse_2328,0,6
TN_CHECK,h2_uninstall_policy,-1,2
TN_CHECK,h2_commit_policy,-1,1
TN_CHECK,h2_teach_lie_n,2,2
TN_CHECK,h2_main18_val_mm,0,0
TN_CHECK,h2_main18_flag_mm,8,0
TN_CHECK,h2_audit_total,161,271
LEDGER,1,1,0,-1
LEDGER,1,4,1,0
LEDGER,2,1,0,-1
LEDGER,2,4,2,0
LEDGER,3,1,0,-1
LEDGER,3,4,3,0
LEDGER,4,1,0,-1
LEDGER,4,4,4,0
LEDGER,5,1,0,-1
LEDGER,5,4,5,0
LEDGER,6,1,0,-1
LEDGER,6,4,6,0
LEDGER,7,1,0,-1
LEDGER,7,4,7,0
LEDGER,8,1,0,-1
LEDGER,8,4,8,0
LEDGER,9,1,1,-1
LEDGER,9,2,0,1
LEDGER,10,1,1,-1
LEDGER,10,2,0,1
LEDGER,11,1,2,-1
LEDGER,11,3,0,1
LEDGER,12,1,2,-1
LEDGER,12,3,0,1
LEDGER,13,1,2,-1
LEDGER,13,3,0,1
LEDGER,14,1,2,-1
LEDGER,14,3,0,1
LEDGER,14,9,0,4
LEDGER,30,1,6,-1
LEDGER,30,4,9,0
LEDGER,32,1,6,-1
LEDGER,32,4,10,0
LEDGER,34,1,6,-1
LEDGER,34,4,11,0
LEDGER,36,1,6,-1
LEDGER,36,4,12,0
LEDGER,38,1,6,-1
LEDGER,38,4,13,0
LEDGER,40,1,6,-1
LEDGER,40,4,14,0
LEDGER,42,1,6,-1
LEDGER,42,4,15,0
LEDGER,44,1,6,-1
LEDGER,44,4,16,0
LEDGER,46,1,6,-1
LEDGER,46,4,17,0
LEDGER,48,1,6,-1
LEDGER,48,4,18,0
LEDGER,49,1,8,-1
LEDGER,49,4,19,0
LEDGER,50,1,8,-1
LEDGER,50,4,20,0
LEDGER,52,1,8,-1
LEDGER,52,4,21,0
LEDGER,53,1,8,-1
LEDGER,53,4,22,0
LEDGER,54,1,8,-1
LEDGER,54,4,23,0
