case	kind	built	build_rc	cert_rc	verdict	failed_rules
P01	plant	True	0	1	FAIL	R2=FAIL:R2:_zag_raw_syscall
P02	plant	True	0	1	FAIL	R2=FAIL:R2:_zag_raw_syscall
P03	plant	True	0	1	FAIL	R2=FAIL:R2:_zag_raw_syscall; R6b=FAIL:R6b:urandom
P04	plant	True	0	0	PASS	
P05	plant	True	0	0	PASS	
P06	plant	True	0	1	FAIL	R2=FAIL:R2:_zag_slice_ptr
P07	plant	True	0	1	FAIL	R2=FAIL:R2:_zag_raw_syscall
P08	plant	True	0	0	PASS	
P09	plant	True	0	0	PASS	
P10	plant	True	0	0	PASS	
P11	plant	True	0	0	PASS	
P12	plant	True	0	1	FAIL	R2=FAIL:R2:_zag_raw_syscall
C01	clean	True	0	0	PASS	
C02	clean	True	0	0	PASS	
C04	clean	True	0	0	PASS	
C05	clean	True	0	0	PASS	
C06	clean	True	0	0	PASS	
