# hash-chained ledger
# genesis_sha256=547fd18dfe5f5e02d1da3326e2ab3ea9dfd0f8a1e77023b2c07064fd7c414840
0|prev=547fd18dfe5f5e02d1da3326e2ab3ea9dfd0f8a1e77023b2c07064fd7c414840|event=RUN_START|data=corpus=rdeny records=384|hash=a93a2efb615f6f39b4682d99c00478b0ef939176666d447800fe33030b1ba06a
1|prev=a93a2efb615f6f39b4682d99c00478b0ef939176666d447800fe33030b1ba06a|event=RUN_END|data=runs=2 byte_identical=true digest=83b7f881f8863a2691e72145c37ea21ccf2425361044bd51c745f3ebe26856a1|hash=97f821239496f30e8861fa771744f1939fd29420b19366bb306d9075ffbc0dce
2|prev=97f821239496f30e8861fa771744f1939fd29420b19366bb306d9075ffbc0dce|event=CONTROL|data=seq=284 class=D4-binding-control d1=8(CHALLENGER_PROV) d2=0(WITHHELD) expected=0 notes=presented bundle is rdeny_d4_ctrl (whitespace twin); record cites phas|hash=bfb008261c5b9d20beea14de4cf42c568e3097d681f15af14350986bb80b883c
3|prev=bfb008261c5b9d20beea14de4cf42c568e3097d681f15af14350986bb80b883c|event=CONTROL|data=seq=285 class=D4-binding-control d1=8(CHALLENGER_PROV) d2=0(WITHHELD) expected=0 notes=presented bundle is rdeny_d4_ctrl (whitespace twin); record cites phas|hash=c0b9b671ca9eb8347111c44e450887fef3ba1298c3c18a2a9ba05342330ca646
4|prev=c0b9b671ca9eb8347111c44e450887fef3ba1298c3c18a2a9ba05342330ca646|event=CONTROL|data=seq=286 class=D4-binding-control d1=8(CHALLENGER_PROV) d2=0(WITHHELD) expected=0 notes=presented bundle is rdeny_d4_ctrl (whitespace twin); record cites phas|hash=333df21ed09d362fa9536f4e3f3aed42f26c3df7852b61274abb1a8a7c4d2668
5|prev=333df21ed09d362fa9536f4e3f3aed42f26c3df7852b61274abb1a8a7c4d2668|event=CONTROL|data=seq=287 class=D4-binding-control d1=8(CHALLENGER_PROV) d2=0(WITHHELD) expected=0 notes=presented bundle is rdeny_d4_ctrl (whitespace twin); record cites phas|hash=47b0ccb7ca4818b115e1009f781cce0e2e0ab9ba025678badfdf8444d282df7a
6|prev=47b0ccb7ca4818b115e1009f781cce0e2e0ab9ba025678badfdf8444d282df7a|event=CONTROL|data=seq=288 class=D4-binding-control d1=8(CHALLENGER_PROV) d2=0(WITHHELD) expected=0 notes=presented bundle is rdeny_d4_ctrl (whitespace twin); record cites phas|hash=f2675fc512dd09a94a9791080b3d7b2c9cdea309f6d4f8ad355e8a577de7bd2d
7|prev=f2675fc512dd09a94a9791080b3d7b2c9cdea309f6d4f8ad355e8a577de7bd2d|event=CONTROL|data=seq=289 class=D4-binding-control d1=8(CHALLENGER_PROV) d2=0(WITHHELD) expected=0 notes=presented bundle is rdeny_d4_ctrl (whitespace twin); record cites phas|hash=53ea1cc6b9974557fcc32508da002ed33a5aa7db9c38966accdef3dfc21cb035
8|prev=53ea1cc6b9974557fcc32508da002ed33a5aa7db9c38966accdef3dfc21cb035|event=TENSION|data=seq=292 class=D5-tension d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) notes=law-mandated withhold: false incumbent holds truth in CONFLICT_WITHHEL|hash=898b0d1d7132ed94a2537458a9510f2a3487eade7d14af1483fa7462f1994b8a
9|prev=898b0d1d7132ed94a2537458a9510f2a3487eade7d14af1483fa7462f1994b8a|event=TENSION|data=seq=295 class=D5-tension d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) notes=law-mandated withhold: false incumbent holds truth in CONFLICT_WITHHEL|hash=41acfcf429f2930807b712f940774e89e5372120659579b04b0c3337003fefcb
10|prev=41acfcf429f2930807b712f940774e89e5372120659579b04b0c3337003fefcb|event=TENSION|data=seq=298 class=D5-tension d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) notes=law-mandated withhold: false incumbent holds truth in CONFLICT_WITHHEL|hash=e3ad6d6973383e29116e1204344875cd57174bb8fa651cadd3d683aa3fe7cae4
