e47_seed_manifest_columns,stage_0_aux_1_terminal_2_validation_3_sealed_confirmation,epoch,base_index,nominal_id,mode,resource,episode,stream_seed
e47_seed_manifest,0,0,0,47001,0,0,0,970015
e47_seed_manifest,0,0,0,47001,0,0,1,292118
e47_seed_manifest,0,0,0,47001,0,0,2,985853
e47_seed_manifest,0,0,0,47001,0,0,3,993772
e47_seed_manifest,0,0,0,47001,0,0,4,1688
e47_seed_manifest,0,0,0,47001,0,0,5,9607
e47_seed_manifest,0,0,0,47001,0,0,6,17526
e47_seed_manifest,0,0,0,47001,0,0,7,25445
e47_seed_manifest,0,0,0,47001,0,0,8,242822
e47_seed_manifest,0,0,0,47001,0,0,9,41283
e47_seed_manifest,0,0,0,47001,0,0,10,258660
e47_seed_manifest,0,0,0,47001,0,0,11,57121
e47_seed_manifest,0,0,0,47001,0,1,0,274498
e47_seed_manifest,0,0,0,47001,0,1,1,387146
e47_seed_manifest,0,0,0,47001,0,1,2,80878
e47_seed_manifest,0,0,0,47001,0,1,3,298255
e47_seed_manifest,0,0,0,47001,0,1,4,306174
e47_seed_manifest,0,0,0,47001,0,1,5,314093
e47_seed_manifest,0,0,0,47001,0,1,6,112554
e47_seed_manifest,0,0,0,47001,0,1,7,329931
e47_seed_manifest,0,0,0,47001,0,1,8,337850
e47_seed_manifest,0,0,0,47001,0,1,9,345769
e47_seed_manifest,0,0,0,47001,0,1,10,144230
e47_seed_manifest,0,0,0,47001,0,1,11,361607
e47_seed_manifest,0,0,0,47001,0,2,0,160068
e47_seed_manifest,0,0,0,47001,0,2,1,167987
e47_seed_manifest,0,0,0,47001,0,2,2,385364
e47_seed_manifest,0,0,0,47001,0,2,3,183825
e47_seed_manifest,0,0,0,47001,0,2,4,191744
e47_seed_manifest,0,0,0,47001,0,2,5,199663
e47_seed_manifest,0,0,0,47001,0,2,6,417040
e47_seed_manifest,0,0,0,47001,0,2,7,215501
e47_seed_manifest,0,0,0,47001,0,2,8,223420
e47_seed_manifest,0,0,0,47001,0,2,9,231339
e47_seed_manifest,0,0,0,47001,0,2,10,239258
e47_seed_manifest,0,0,0,47001,0,2,11,247177
e47_seed_manifest,0,0,0,47001,0,3,0,255096
e47_seed_manifest,0,0,0,47001,0,3,1,263015
e47_seed_manifest,0,0,0,47001,0,3,2,270934
e47_seed_manifest,0,0,0,47001,0,3,3,278853
e47_seed_manifest,0,0,0,47001,0,3,4,286772
e47_seed_manifest,0,0,0,47001,0,3,5,294691
e47_seed_manifest,0,0,0,47001,0,3,6,302610
e47_seed_manifest,0,0,0,47001,0,3,7,310529
e47_seed_manifest,0,0,0,47001,0,3,8,318448
e47_seed_manifest,0,0,0,47001,0,3,9,326367
e47_seed_manifest,0,0,0,47001,0,3,10,334286
e47_seed_manifest,0,0,0,47001,0,3,11,342205
