qualification_schema,tnn_r32_e45_native_v1
native_target,linux_x86_64_generic
feature_dimension_per_arm,32
feature_masking,zero_mask_equal_capacity
initiation_policy,one_shared_frozen_value_and_common_feature_block_across_all_arms
shadow_estimator,reduced_e45_12_learner_visible_features_not_v28_parity
temporal_detector,reduced_ordered_best_split_not_full_v16_tv_volatility
hazard_auxiliary,reduced_global_horizon_forecast_not_v40_parity
training_seed_set,45001_45002_45003
validation_seed_set,45101_45102_45103
confirmation_seed_set,45201_45202_45203_45204_45205_45206
confirmation_episodes_per_seed_mode_resource,40
training_schedule,phase0_aux_terminal_2x_phase1_shared_init_1x_phase2_reached_continuation_2x
shadow_validation_n,2700
shadow_target_mean,406
shadow_mae_learned_reduced12,188
shadow_mae_raw_cost,395
shadow_mae_fixed_055,269
shadow_mae_learned_global_scalar,265
shadow_mse_div100_learned_reduced12,874
shadow_mse_div100_raw_cost,2896
shadow_mse_div100_fixed_055,1772
shadow_mse_div100_learned_global_scalar,1839
shadow_r2_per_mille_learned_reduced12,741
shadow_global_ratio_per_mille,509
cell_columns,seed_index,mode,resource,arm,episodes,initiated,beneficial,true_positive,false_positive,completed,success,success_given_oracle_positive_init,premature,regret_sum,resource_spend_sum,opportunity_loss_sum,observations,warrant,budget_refusal,safety_cap,utility_sum,resolvable,unknown_choice,wrong_nonunknown_commit,oracle_positive_success,warrant_sound,init_recall_pm,init_precision_pm,completion_given_init_pm,success_given_oracle_positive_init_pm,mean_observations_x1000
cell,0,0,0,arm,0,40,16,0,0,16,0,0,0,0,2476,7596,2476,16,12,0,0,-50476,0,0,40,0,0,0,0,0,0,1000
cell,0,0,0,arm,1,40,16,0,0,16,0,0,0,0,2476,7596,2476,16,12,0,0,-50476,0,0,40,0,0,0,0,0,0,1000
cell,0,0,0,arm,2,40,16,0,0,16,0,0,0,0,2476,7596,2476,16,12,0,0,-50476,0,0,40,0,0,0,0,0,0,1000
cell,0,0,0,arm,3,40,16,0,0,16,0,0,0,0,2476,7596,2476,16,12,0,0,-50476,0,0,40,0,0,0,0,0,0,1000
cell,0,0,1,arm,0,40,6,0,0,6,0,0,0,0,944,2141,944,6,6,0,0,-48944,0,0,40,0,0,0,0,0,0,1000
cell,0,0,1,arm,1,40,6,0,0,6,0,0,0,0,944,2141,944,6,6,0,0,-48944,0,0,40,0,0,0,0,0,0,1000
cell,0,0,1,arm,2,40,6,0,0,6,0,0,0,0,944,2141,944,6,6,0,0,-48944,0,0,40,0,0,0,0,0,0,1000
cell,0,0,1,arm,3,40,6,0,0,6,0,0,0,0,944,2141,944,6,6,0,0,-48944,0,0,40,0,0,0,0,0,0,1000
cell,0,0,2,arm,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0,0
cell,0,0,2,arm,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0,0
cell,0,0,2,arm,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0,0
cell,0,0,2,arm,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0,0
cell,0,0,3,arm,0,40,13,0,0,13,0,0,0,0,1255,5435,1255,13,12,0,0,-49255,0,0,40,0,0,0,0,0,0,1000
cell,0,0,3,arm,1,40,13,0,0,13,0,0,0,0,1255,5435,1255,13,12,0,0,-49255,0,0,40,0,0,0,0,0,0,1000
cell,0,0,3,arm,2,40,13,0,0,13,0,0,0,0,1255,5435,1255,13,12,0,0,-49255,0,0,40,0,0,0,0,0,0,1000
cell,0,0,3,arm,3,40,13,0,0,13,0,0,0,0,1255,5435,1255,13,12,0,0,-49255,0,0,40,0,0,0,0,0,0,1000
cell,0,0,4,arm,0,40,1,0,0,1,0,0,0,0,385,432,385,1,1,0,0,-48385,0,0,40,0,0,0,0,0,0,1000
cell,0,0,4,arm,1,40,1,0,0,1,0,0,0,0,385,432,385,1,1,0,0,-48385,0,0,40,0,0,0,0,0,0,1000
cell,0,0,4,arm,2,40,1,0,0,1,0,0,0,0,385,432,385,1,1,0,0,-48385,0,0,40,0,0,0,0,0,0,1000
cell,0,0,4,arm,3,40,1,0,0,1,0,0,0,0,385,432,385,1,1,0,0,-48385,0,0,40,0,0,0,0,0,0,1000
cell,0,1,0,arm,0,40,17,0,0,17,0,0,0,0,600,7062,600,19,7,0,0,-48600,0,0,40,0,0,0,0,0,0,1117
cell,0,1,0,arm,1,40,17,0,0,17,0,0,0,0,878,7684,878,21,7,0,0,-48878,0,0,40,0,0,0,0,0,0,1235
cell,0,1,0,arm,2,40,17,0,0,17,0,0,0,0,600,7062,600,19,7,0,0,-48600,0,0,40,0,0,0,0,0,0,1117
cell,0,1,0,arm,3,40,17,0,0,17,0,0,0,0,600,7680,600,21,7,0,0,-48600,0,0,40,0,0,0,0,0,0,1235
cell,0,1,1,arm,0,40,11,0,0,11,0,0,0,0,2681,3987,2681,11,4,0,0,-50681,0,0,40,0,0,0,0,0,0,1000
cell,0,1,1,arm,1,40,11,0,0,11,0,0,0,0,2681,4646,2681,13,4,0,0,-50681,0,0,40,0,0,0,0,0,0,1181
cell,0,1,1,arm,2,40,11,0,0,11,0,0,0,0,2681,3987,2681,11,4,0,0,-50681,0,0,40,0,0,0,0,0,0,1000
cell,0,1,1,arm,3,40,11,0,0,11,0,0,0,0,2681,4309,2681,12,4,0,0,-50681,0,0,40,0,0,0,0,0,0,1090
cell,0,1,2,arm,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0,0
cell,0,1,2,arm,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0,0
cell,0,1,2,arm,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0,0
cell,0,1,2,arm,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0,0
cell,0,1,3,arm,0,40,13,0,0,13,0,0,0,0,1081,5365,1081,13,7,0,0,-49081,0,0,40,0,0,0,0,0,0,1000
cell,0,1,3,arm,1,40,13,0,0,13,0,0,0,0,1374,7163,1374,18,8,0,0,-49374,0,0,40,0,0,0,0,0,0,1384
cell,0,1,3,arm,2,40,13,0,0,13,0,0,0,0,1374,7163,1374,18,8,0,0,-49374,0,0,40,0,0,0,0,0,0,1384
cell,0,1,3,arm,3,40,13,0,0,13,0,0,0,0,1159,6467,1159,16,8,0,0,-49159,0,0,40,0,0,0,0,0,0,1230
cell,0,1,4,arm,0,40,1,0,0,1,0,0,0,0,0,292,0,1,0,0,0,-48000,0,0,40,0,0,0,0,0,0,1000
cell,0,1,4,arm,1,40,1,0,0,1,0,0,0,0,0,292,0,1,0,0,0,-48000,0,0,40,0,0,0,0,0,0,1000
cell,0,1,4,arm,2,40,1,0,0,1,0,0,0,0,0,292,0,1,0,0,0,-48000,0,0,40,0,0,0,0,0,0,1000
cell,0,1,4,arm,3,40,1,0,0,1,0,0,0,0,0,292,0,1,0,0,0,-48000,0,0,40,0,0,0,0,0,0,1000
cell,0,2,0,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,0,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,0,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,0,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,1,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,1,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,1,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,1,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,2,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,2,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,2,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,2,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,3,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,3,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,3,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,3,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,4,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,4,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,4,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,2,4,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0
cell,0,3,0,arm,0,40,15,19,15,0,15,36,15,0,10100,6583,989,15,15,0,0,27011,19,0,4,15,15,789,1000,1000,1000,1000
cell,0,3,0,arm,1,40,15,19,15,0,15,36,15,0,10100,6583,989,15,15,0,0,27011,19,0,4,15,15,789,1000,1000,1000,1000
cell,0,3,0,arm,2,40,15,19,15,0,15,36,15,0,10100,6583,989,15,15,0,0,27011,19,0,4,15,15,789,1000,1000,1000,1000
cell,0,3,0,arm,3,40,15,19,15,0,15,36,15,0,10100,6583,989,15,15,0,0,27011,19,0,4,15,15,789,1000,1000,1000,1000
cell,0,3,1,arm,0,40,7,21,7,0,7,26,7,0,34042,3202,1060,7,7,0,0,-3060,21,0,14,7,7,333,1000,1000,1000,1000
cell,0,3,1,arm,1,40,7,21,7,0,7,26,7,0,34042,3202,1060,7,7,0,0,-3060,21,0,14,7,7,333,1000,1000,1000,1000
cell,0,3,1,arm,2,40,7,21,7,0,7,26,7,0,34042,3202,1060,7,7,0,0,-3060,21,0,14,7,7,333,1000,1000,1000,1000
cell,0,3,1,arm,3,40,7,21,7,0,7,26,7,0,34042,3202,1060,7,7,0,0,-3060,21,0,14,7,7,333,1000,1000,1000,1000
cell,0,3,2,arm,0,40,0,19,0,0,0,21,0,0,43566,0,0,0,0,0,0,-17000,19,0,19,0,0,0,0,0,0,0
cell,0,3,2,arm,1,40,0,19,0,0,0,21,0,0,43566,0,0,0,0,0,0,-17000,19,0,19,0,0,0,0,0,0,0
cell,0,3,2,arm,2,40,0,19,0,0,0,21,0,0,43566,0,0,0,0,0,0,-17000,19,0,19,0,0,0,0,0,0,0
cell,0,3,2,arm,3,40,0,19,0,0,0,21,0,0,43566,0,0,0,0,0,0,-17000,19,0,19,0,0,0,0,0,0,0
cell,0,3,3,arm,0,40,12,21,12,0,12,31,12,0,24610,4927,892,12,12,0,0,12108,21,0,9,12,12,571,1000,1000,1000,1000
cell,0,3,3,arm,1,40,12,21,12,0,12,31,12,0,24610,4927,892,12,12,0,0,12108,21,0,9,12,12,571,1000,1000,1000,1000
cell,0,3,3,arm,2,40,12,21,12,0,12,31,12,0,24610,4927,892,12,12,0,0,12108,21,0,9,12,12,571,1000,1000,1000,1000
cell,0,3,3,arm,3,40,12,21,12,0,12,31,12,0,24610,4927,892,12,12,0,0,12108,21,0,9,12,12,571,1000,1000,1000,1000
cell,0,3,4,arm,0,40,0,18,0,0,0,21,0,0,45767,0,0,0,0,0,0,-17000,19,0,19,0,0,0,0,0,0,0
cell,0,3,4,arm,1,40,0,18,0,0,0,21,0,0,45767,0,0,0,0,0,0,-17000,19,0,19,0,0,0,0,0,0,0
cell,0,3,4,arm,2,40,0,18,0,0,0,21,0,0,45767,0,0,0,0,0,0,-17000,19,0,19,0,0,0,0,0,0,0
cell,0,3,4,arm,3,40,0,18,0,0,0,21,0,0,45767,0,0,0,0,0,0,-17000,19,0,19,0,0,0,0,0,0,0
cell,0,4,0,arm,0,40,33,32,30,3,5,11,9,20,70484,89503,41763,188,11,5,7,-88763,40,0,29,9,11,937,909,151,300,5696
cell,0,4,0,arm,1,40,33,32,30,3,0,0,0,32,65836,19201,4115,42,0,0,0,-84115,40,0,40,0,0,937,909,0,0,1272
cell,0,4,0,arm,2,40,33,32,30,3,0,0,0,31,65011,16667,3290,37,0,0,0,-83290,40,0,40,0,0,937,909,0,0,1121
cell,0,4,0,arm,3,40,33,32,30,3,0,0,0,31,65011,17394,3290,39,0,0,0,-83290,40,0,40,0,0,937,909,0,0,1181
cell,0,4,1,arm,0,40,9,21,8,1,3,3,2,6,28010,19728,14365,41,3,3,0,-85365,40,0,37,2,3,380,888,333,250,4555
cell,0,4,1,arm,1,40,9,21,8,1,0,0,0,8,24192,4768,1547,11,0,0,0,-81547,40,0,40,0,0,380,888,0,0,1222
cell,0,4,1,arm,2,40,9,21,8,1,0,0,0,8,24192,4768,1547,11,0,0,0,-81547,40,0,40,0,0,380,888,0,0,1222
cell,0,4,1,arm,3,40,9,21,8,1,0,0,0,8,23800,3922,1155,9,0,0,0,-81155,40,0,40,0,0,380,888,0,0,1000
cell,0,4,2,arm,0,40,0,2,0,0,0,0,0,0,1228,0,0,0,0,0,0,-80000,40,0,40,0,0,0,0,0,0,0
cell,0,4,2,arm,1,40,0,2,0,0,0,0,0,0,1228,0,0,0,0,0,0,-80000,40,0,40,0,0,0,0,0,0,0
cell,0,4,2,arm,2,40,0,2,0,0,0,0,0,0,1228,0,0,0,0,0,0,-80000,40,0,40,0,0,0,0,0,0,0
cell,0,4,2,arm,3,40,0,2,0,0,0,0,0,0,1228,0,0,0,0,0,0,-80000,40,0,40,0,0,0,0,0,0,0
cell,0,4,3,arm,0,40,25,21,20,5,4,4,4,13,41425,37069,10595,87,4,7,0,-78595,40,0,36,4,4,952,800,160,200,3480
cell,0,4,3,arm,1,40,25,21,20,5,0,0,0,20,45587,14341,2757,35,0,0,0,-82757,40,0,40,0,0,952,800,0,0,1400
cell,0,4,3,arm,2,40,25,21,20,5,0,0,0,20,45113,12943,2283,32,0,0,0,-82283,40,0,40,0,0,952,800,0,0,1280
cell,0,4,3,arm,3,40,25,21,20,5,0,0,0,20,44592,10243,1762,25,0,0,0,-81762,40,0,40,0,0,952,800,0,0,1000
cell,0,4,4,arm,0,40,3,12,3,0,0,0,0,3,12576,1200,758,3,0,0,0,-80758,40,0,40,0,0,250,1000,0,0,1000
cell,0,4,4,arm,1,40,3,12,3,0,0,0,0,3,12576,1200,758,3,0,0,0,-80758,40,0,40,0,0,250,1000,0,0,1000
