check,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9
raw_sha256,bd78ac606e4182101e7e9011bbbf80dbbf82192d9fa10e3e1e0c516cb50ac401
raw_lines,121247
raw_bytes,12010465
stderr_bytes,0
elapsed_seconds,950
exit_code,1
gate_marker,TNN_R32_E47_TERMINAL_REPRESENTATION_DISCRIMINATOR_GATE=FAIL
outcome,NO_TESTED_REPRESENTATION_RESCUE
integrity_gate,1
sealed_confirmation_executed,0
retired_e46_seed_sequence_hash,291199272
retired_e46_seed_sequence_hash_gate,1
retired_e46_occupancy_gate,1
e47_seed_rows,22680
e47_seed_stage_counts,3240,3240,5400,10800
e47_seed_tuple_duplicates,0
combined_e46_e47_raw_duplicates,0
combined_e46_e47_evidence_duplicates,0
combined_e46_e47_resource_duplicates,0
combined_e46_e47_raw_unique,45360
combined_e46_e47_evidence_unique,181440
combined_e46_e47_resource_unique,45360
e47_seed_manifest_effective_disjoint_gate,1
e47_seed_preflight_abort_gate,1
aux_episode_count,3240
common_aux_snapshot_hash,1042558161
frozen_aux_snapshot_hash,1042558161
aux_clone_exact_gate,1
aux_frozen_after_validation_gate,1
terminal_models,4
samples_per_model,55080
updates_per_model,220320
ordered_hash_all_models,1844642095
sample_update_count_gate,1
order_identity_gate,1
train_feature_lattice_mismatches,0
train_feature_lattice_gate,1
canonical_rows,55080
canonical_sequence_errors,0
canonical_width_errors,0
canonical_integer_hash_recomputed,1715665432
baseline_slot3_nonzero_rows,0
baseline_slot5_nonzero_rows,0
slot3_min_max_distinct_interior,1,441,425,55080
slot5_min_max_distinct_interior,0,1000,1001,31894
unknown_target_nonzero_rows,0
validation_cell_rows,18360
validation_duplicate_keys,0
validation_width_errors,0
validation_n_errors,0
validation_partition_errors,0
observations_per_cell,20
no_unique_cells_per_model,1020
terminal_t16_no_unique_cells_per_model,60
model_0_no_unique_n_unknown_wrong_passed_cells,20400,0,20400,0
model_0_known_n_success_unknown_wrong,71400,54136,5,17259
model_1_no_unique_n_unknown_wrong_passed_cells,20400,5,20395,0
model_1_known_n_success_unknown_wrong,71400,54136,63,17201
model_2_no_unique_n_unknown_wrong_passed_cells,20400,0,20400,0
model_2_known_n_success_unknown_wrong,71400,54136,2,17262
model_3_no_unique_n_unknown_wrong_passed_cells,20400,0,20400,0
model_3_known_n_success_unknown_wrong,71400,54136,6,17258
model_1_gate_vector_no_unique_strict_unknown_known_key_t16_t16key_joint_known_complete,0,1,1,1,1,1,0,0,0
model_2_gate_vector_no_unique_strict_unknown_known_key_t16_t16key_joint_known_complete,0,0,0,0,0,0,0,0,0
model_3_gate_vector_no_unique_strict_unknown_known_key_t16_t16key_joint_known_complete,0,0,1,1,1,1,0,0,0
baseline_safety_gate,0
model_3_complete_gate,0
single_feature_rescue_count,0
validation_partition_denominator_gate,1
audit_method,independent_stream_parse_and_integer_hash_recomputation_without_model_updates
