TNN_R32_E47_TERMINAL_REPRESENTATION_DISCRIMINATOR_GATE=FAIL,1,1,1
aux_schedule,1,2,2
e47_aux_clone_exact_gate,1,2,2
e47_aux_episode_count,1,2,2
e47_aux_frozen_during_terminal_and_validation_gate,1,2,2
e47_baseline_no_unique_cell_gate,1,2,2
e47_baseline_safety_gate,1,2,2
e47_canonical_record,55080,40,40
e47_canonical_record_columns,1,9,9
e47_canonical_record_hash,1,2,2
e47_common_aux_snapshot_hash,1,2,2
e47_common_aux_snapshot_hash_after,1,2,2
e47_effective_evidence_states_registered,1,2,2
e47_effective_raw_states_registered,1,2,2
e47_effective_resource_states_registered,1,2,2
e47_effective_seed_assignment_failures,1,2,2
e47_four_terminal_models_zero_init_gate,1,2,2
e47_frozen_aux_snapshot_hash,1,2,2
e47_frozen_aux_snapshot_hash_after,1,2,2
e47_integrity_gate,1,2,2
e47_interaction_diagnostic,1,2,2
e47_model_1_complete_gate,1,2,2
e47_model_2_complete_gate,1,2,2
e47_model_3_complete_gate,1,2,2
e47_model_3_known_noninferiority_gate,1,2,2
e47_model_gate,3,11,11
e47_model_gate_columns,1,11,11
e47_order_identity_gate,1,2,2
e47_other_30_features_and_4_targets_exact_by_lockstep_construction,1,2,2
e47_representation_global,4,7,7
e47_representation_range,612,10,10
e47_representation_range_columns,1,10,10
e47_sample_update_count_gate,1,2,2
e47_sealed_confirmation_executed,1,2,2
e47_seed_manifest,22680,9,9
e47_seed_manifest_columns,1,9,9
e47_seed_manifest_effective_disjoint_gate,1,2,2
e47_seed_manifest_emitted,1,2,2
e47_seed_preflight_abort_gate,1,2,2
e47_seed_tuple_coverage,1,2,2
e47_single_feature_diagnostic,1,2,2
e47_single_feature_rescue_count,1,2,2
e47_terminal_bias,16,4,4
e47_terminal_parameter_columns,1,4,4
e47_terminal_replay,4,6,6
e47_terminal_score,612,9,9
e47_terminal_score_columns,1,9,9
e47_terminal_weight,512,4,4
e47_total_evidence_occupancy,1,2,2
e47_total_raw_occupancy,1,2,2
e47_total_resource_occupancy,1,2,2
e47_train_feature_lattice_gate,1,2,2
e47_train_feature_lattice_mismatches,1,2,2
e47_train_representation_structural_gate,1,2,2
e47_validation_aggregate,8,7,7
e47_validation_aggregate_columns,1,7,7
e47_validation_cell,18360,10,10
e47_validation_cell_columns,1,10,10
e47_validation_feature_lattice_gate,1,2,2
e47_validation_feature_lattice_mismatches,1,2,2
e47_validation_joint_seed,18,12,12
e47_validation_joint_seed_columns,1,12,12
e47_validation_key_mode,12,7,7
e47_validation_key_mode_columns,1,7,7
e47_validation_partition_denominator_gate,1,2,2
e47_validation_representation_structural_gate,1,2,2
e47_validation_seed_balance,270,10,10
e47_validation_seed_balance_columns,1,10,10
e47_validation_seed_balance_gate,1,2,2
e47_validation_terminal_t16,16,7,7
e47_validation_terminal_t16_columns,1,7,7
effective_evidence_states_registered,1,2,2
effective_raw_states_registered,1,2,2
effective_resource_states_registered,1,2,2
effective_seed_assignment_failures,1,2,2
experiment_schema,1,2,2
feature_3_formula,1,2,2
feature_5_formula,1,2,2
feature_claim_boundary,1,2,2
learner_mode_truth_seed_time_count_inputs_to_representation_helper,1,2,2
model_0,1,2,2
model_1,1,2,2
model_2,1,2,2
model_3,1,2,2
purpose,1,2,2
retired_e45_streams_audited,1,2,2
retired_e46_effective_map_gate,1,2,2
retired_e46_evidence_occupancy,1,2,2
retired_e46_occupancy_gate,1,2,2
retired_e46_raw_occupancy,1,2,2
retired_e46_reconstruction_begin,1,2,2
retired_e46_resource_occupancy,1,2,2
retired_e46_seed_sequence_hash,1,2,2
retired_e46_seed_sequence_hash_gate,1,2,2
retired_e46_tuples_audited,1,2,2
sealed_confirmation_ids,1,2,2
seed_manifest,22680,9,9
seed_manifest_columns,1,9,9
seed_manifest_effective_disjoint_gate,1,2,2
seed_manifest_emitted,1,2,2
seed_tuple_coverage,1,2,2
terminal_models_trained_lockstep,1,2,2
terminal_representation_outcome,1,2,2
terminal_training_order,1,2,2
validation_seed_balance,270,10,10
validation_seed_balance_columns,1,10,10
validation_seed_balance_gate,1,2,2
