battery|qid|class|pass
probe|QPA01|PASS|1
probe|QPA02|PASS|1
probe|QPA03|PASS|1
probe|QPA04|PASS|1
probe|QPA05|PASS|1
probe|QPZ01|PASS|1
probe|QPZ02|PASS|1
probe|QPZ03|PASS|1
probe|QPZ04|PASS|1
probe|QPZ05|PASS|1
probe|QPC01|PASS|1
probe|QPC02|PASS|1
probe|QPC03|PASS|1
probe|QPC04|PASS|1
probe|QPC05|PASS|1
probe|QPC06|PASS|1
probe|QPC07|PASS|1
probe|QPC08|PASS|1
probe|QPC09|PASS|1
probe|QPC10|PASS|1
probe|QPD01|PASS|1
probe|QX101|PASS|1
probe|QX102|PASS|1
probe|QX103|PASS|1
probe|QX104|PASS|1
probe|QX105|PASS|1
probe|QX106|PASS|1
probe|QX201|PASS|1
probe|QX202|PASS|1
probe|QX203|PASS|1
probe|QX204|PASS|1
probe|QX205|PASS|1
probe|QX206|PASS|1
probe|QX301|PASS|1
probe|QX302|PASS|1
probe|QX303|PASS|1
probe|QX304|PASS|1
probe|QX305|PASS|1
probe|QX306|PASS|1
probe|QP01|PASS|1
probe|QP02|PASS|1
probe|QP03|F_UNCLASSIFIED|0
probe|QP04|F_UNCLASSIFIED|0
probe|QP05|F_UNCLASSIFIED|0
probe|QP06|F_UNCLASSIFIED|0
probe|QN01|F_ABSTAIN|0
probe|QN02|F_ABSTAIN|0
probe|QN03|F_ABSTAIN|0
probe|QN04|F_ABSTAIN|0
probe|QN05|F_ABSTAIN|0
probe|QN06|F_ABSTAIN|0
morg|Q01|PASS|1
morg|Q02|PASS|1
morg|Q03|PASS|1
morg|Q04|PASS|1
morg|Q05|PASS|1
morg|Q06|PASS|1
morg|Q07|PASS|1
morg|Q08|PASS|1
morg|Q09|PASS|1
morg|Q10|PASS|1
morg|Q11|PASS|1
morg|Q12|PASS|1
morg|Q13|PASS|1
morg|Q14|PASS|1
morg|Q15|PASS|1
morg|Q16|PASS|1
morg|Q17|PASS|1
morg|Q18|PASS|1
morg|Q19|PASS|1
morg|Q20|PASS|1
morg|Q21|PASS|1
morg|Q22|PASS|1
morg|Q23|PASS|1
morg|Q24|PASS|1
morg|Q25|PASS|1
morg|Q26|PASS|1
morg|Q27|PASS|1
morg|Q28|PASS|1
morg|Q29|PASS|1
morg|Q30|PASS|1
morg|Q31|PASS|1
morg|Q32|PASS|1
morg|Q33|PASS|1
morg|Q34|PASS|1
morg|Q35|PASS|1
morg|Q36|PASS|1
morg|Q37|PASS|1
morg|Q38|PASS|1
morg|Q39|F_CLUSTER|0
morg|Q40|F_CLUSTER|0
morg|Q41|PASS|1
morg|Q42|F_HINT_EXCLUDE|0
morg|Q43|PASS|1
morg|Q44|F_HINT_EXCLUDE|0
morg|Q45|F_CLUSTER|0
morg|Q46|F_CLUSTER|0
morg|Q47|PASS|1
morg|Q48|F_HINT_EXCLUDE|0
