qid	domain	true_stance	pred_stance
q1	snopes.com	DENY	DENY
q1	wikipedia.org	IRRELEVANT	AFFIRM
q1	chinahighlights.com	IRRELEVANT	AFFIRM
q1	scientificamerican.com	DENY	DENY
q2	mit.edu	IRRELEVANT	IRRELEVANT
q2	microsoft.com	IRRELEVANT	IRRELEVANT
q2	snopes.com	DENY	DENY
q2	medicalnewstoday.com	DENY	DENY
q3	voanews.com	IRRELEVANT	IRRELEVANT
q3	britannica.com	IRRELEVANT	IRRELEVANT
q3	cdc.gov	DENY	DENY
q3	co.uk	DENY	DENY
q4	livescience.com	IRRELEVANT	IRRELEVANT
q4	quora.com	IRRELEVANT	IRRELEVANT
q4	edu.au	DENY	DENY
q4	space.com	IRRELEVANT	IRRELEVANT
q5	wikipedia.org	DENY	DENY
q5	listverse.com	AFFIRM	AFFIRM
q5	skepdic.com	IRRELEVANT	IRRELEVANT
q5	co.uk	DENY	DENY
q6	voanews.com	DENY	DENY
q6	uvtnet.cz	IRRELEVANT	IRRELEVANT
q6	theguardian.com	DENY	DENY
q6	buzzfeednews.com	DENY	IRRELEVANT
q7	newscientist.com	DENY	DENY
q7	odysee.com	IRRELEVANT	IRRELEVANT
q7	youtube.com	IRRELEVANT	IRRELEVANT
q7	stopworldcontrol.com	AFFIRM	IRRELEVANT
q8	whitehouse.gov	AFFIRM	AFFIRM
q8	wikipedia.org	IRRELEVANT	IRRELEVANT
q8	thehighwire.com	AFFIRM	AFFIRM
q8	sciencealert.com	AFFIRM	AFFIRM
q9	mayoclinic.org	DENY	DENY
q9	nutraceutics.cz	IRRELEVANT	IRRELEVANT
q9	cedars-sinai.org	DENY	DENY
q9	goodrx.com	DENY	DENY
q10	who.int	IRRELEVANT	AFFIRM
q10	theconversation.com	DENY	DENY
q10	cancer.org	IRRELEVANT	AFFIRM
q10	aacrjournals.org	IRRELEVANT	IRRELEVANT
