# Hand-labeled stance dev set (2026-09-22, labeled by the trial operator from live snippets).
# Format: query_file | domain | true_stance (AFFIRM/DENY/IRRELEVANT) | notes
# The claim text is the candidate claim; stance is relative to the CLAIM.

# q1: claim "The Great Wall of China is visible from the Moon with the naked eye." (FALSE)
q1|snopes.com|DENY|not going to be visible
q1|wikipedia.org|IRRELEVANT|generic description
q1|chinahighlights.com|IRRELEVANT|travel guide
q1|scientificamerican.com|DENY|Both are false

# q2: claim "Humans only use 10 percent of their brains." (FALSE)
q2|mit.edu|IRRELEVANT|attributed notion (movies play on the notion)
q2|microsoft.com|IRRELEVANT|unrelated (breaks)
q2|snopes.com|DENY|Evidence Against the Ten-Percent Myth
q2|medicalnewstoday.com|DENY|debunked the myth

# q3: claim "Lightning never strikes the same place twice." (FALSE)
q3|voanews.com|IRRELEVANT|meta (about the phrase)
q3|britannica.com|IRRELEVANT|meta (common phrase)
q3|cdc.gov|DENY|Yes, often strikes repeatedly (direct contrary)
q3|co.uk|DENY|contrary to popular belief

# q4: claim "The Earth is flat." (FALSE)
q4|livescience.com|IRRELEVANT|attributed (believers claim that)
q4|quora.com|IRRELEVANT|question page
q4|edu.au|DENY|evidence says Earth is a sphere (semantic contrary)
q4|space.com|IRRELEVANT|attributed (claiming that Earth is flat, believers...)

# q5: claim "The Apollo moon landings were faked." (FALSE)
q5|wikipedia.org|DENY|No evidence was offered for this theory
q5|listverse.com|AFFIRM|conspiracy listicle supporting hoax
q5|skepdic.com|IRRELEVANT|meta (poll about doubt)
q5|co.uk|DENY|Debunking the conspiracy theories

# q6: claim "5G networks caused the COVID-19 pandemic." (FALSE)
q6|voanews.com|DENY|Debunks conspiracy theory
q6|uvtnet.cz|IRRELEVANT|Czech, unclear stance
q6|theguardian.com|DENY|false 5G claims
q6|buzzfeednews.com|DENY|Conspiracy Theorists (It doesn't.)

# q7: claim "Chemtrails are a mind-control program." (FALSE)
q7|newscientist.com|DENY|conspiracy theory put to the test (debunk framing)
q7|odysee.com|IRRELEVANT|Slovak video, unclear
q7|youtube.com|IRRELEVANT|meta (council vote, not asserting reality)
q7|stopworldcontrol.com|AFFIRM|conspiracy site asserting it

# q8: claim "COVID-19 originated from a lab leak." (CONTESTED)
q8|whitehouse.gov|AFFIRM|pro-lab-leak page
q8|wikipedia.org|IRRELEVANT|meta (belief percentages)
q8|thehighwire.com|AFFIRM|new evidence suggests lab leak
q8|sciencealert.com|AFFIRM|circumstantial evidence to ignore (pro-leak)

# q9: claim "Eating eggs is dangerous because of cholesterol." (EVOLVED)
q9|mayoclinic.org|DENY|up to an egg a day might be OK (contrary to dangerous)
q9|nutraceutics.cz|IRRELEVANT|Czech supplement ad
q9|cedars-sinai.org|DENY|unlikely to significantly increase (contrary)
q9|goodrx.com|DENY|healthy to eat eggs every day (contrary)

# q10: claim "Drinking coffee causes cancer." (FALSE)
q10|who.int|IRRELEVANT|neutral (about classification process)
q10|theconversation.com|DENY|WHO no longer says it can cause cancer
q10|cancer.org|IRRELEVANT|neutral (what studies show)
q10|aacrjournals.org|IRRELEVANT|neutral (associations inconsistent)
