id	cat	verdict	hits	key	response
K-001	VOC-DEF	INCORRECT	4	gb:pg18247:564	After a short repose I prepared to leave her, that I might endeavour to | accomplish her wish. In the mean time we were joined by Clara, whose | pallid cheek and scared look shewed the deep impression
K-002	VOC-DEF	INCORRECT	4	gb:pg15475:1936~0	"Sanjaya continued, 'Upon the fall of that boon-giving hero of great | might, that lord of the world, viz., Santanu's son of great energy, and | upon the (consequent) defeat of the Bharatas, Karna, wi
K-003	VOC-DEF	INCORRECT	4	gb:pg19322:108~0	The concept of god falsified; the concept of morality falsified; but | even here Jewish priest-craft did not stop. The whole history of Israel | ceased to be of any value: out with it! These priests a
K-004	VOC-DEF	INCORRECT	4	gb:pg22762:239	It was the fashion among those who passed for philosophers to ascribe | the universal dissolution of morals among French ecclesiastics to the | operation of the concordat between Francis the First and
K-005	VOC-DEF	INCORRECT	4	gb:pg1150:1025	When he had thus spoken, Halfdan condemned Hildiger for sloth in avowing | so late their bond of brotherhood; he declared he had kept silence that | he might not be thought a coward for refusing to fi
K-006	VOC-DEF	INCORRECT	4	se:math:a:529573	Mathematics is difficult and if you lack confidence it'll be hard to keep going. Of course, not many people have confidence that they know a lot - actually most of us know that we know very little in 
K-007	VOC-DEF	INCORRECT	4	gb:pg1091:343	But indeed his actual Speeches, I apprehend, were not nearly so | ineloquent, incondite, as they look. We find he was, what all speakers | aim to be, an impressive speaker, even in Parliament; one who
K-008	VOC-DEF	INCORRECT	4	gb:pg12030:6809	It is a Justice due to the Character of one who suffers hard | Reflections from any particular Person upon this Account, that such | Persons would enquire into his manner of spending his Time; of whic
K-009	VOC-DEF	INCORRECT	4	gb:pg10031:1099	It should not be doubted that at least one-third of the affection with | which we regard the elder poets of Great Britain should be attributed to | what is, in itself, a thing apart from poetry we mea
K-010	VOC-DEF	INCORRECT	4	gb:pg10031:150	Was it not Fate, that, on this July midnight | Was it not Fate (whose name is also Sorrow), | That bade me pause before that garden-gate, | To breathe the incense of those slumbering roses? | No foots
K-011	VOC-DEF	INCORRECT	4	gb:pg1091:281	Johnson's Writings, which once had such currency and celebrity, are | now as it were disowned by the young generation. It is not wonderful; | Johnson's opinions are fast becoming obsolete: but his sty
K-012	VOC-DEF	INCORRECT	4	gb:pg10800:1206	yet after a day's mourning or two, comfort thyself for thy heaviness, | Eccles. xxxviii. 17. [3888]Non decet defunctum ignavo quaestu prosequi; | 'twas Germanicus' advice of old, that we should not dw
K-013	VOC-DEF	INCORRECT	4	gb:pg10715:163	SECTION 16. We must set limits to our wishes, curb our desires, | moderate our anger, always remembering that an individual can attain | only an infinitesimal share in anything that is worth having; a
K-014	VOC-DEF	INCORRECT	4	gb:pg15475:1202	"The Holy One said, 'Well, unto thee I will declare my divine | perfections, by means of the principal ones (among them), O chief of the | Kurus, for there is no end to the extent of my (perfections).
K-015	VOC-DEF	INCORRECT	4	gb:pg11615:1017	33. What does he know of grammar, who cannot directly and properly answer | such questions as these? "What are numbers, in grammar? What is the | singular number? What is the plural number? What are p
K-016	VOC-DEF	INCORRECT	4	gb:pg10800:1161~0	O that I had but that one nook of ground, that field there, that | pasture, O si venam argenti fors quis mihi monstret—. O that I could | but find a pot of money now, to purchase, &c., to build me a n
K-017	VOC-DEF	INCORRECT	4	gb:pg10031:77	The poet at this period was residing in a small but elegant little home, | superintended by his ever-faithful guardian, his wife's mother his own | aunt, Mrs. Clemm, the lady whom he so gratefully add
K-018	VOC-DEF	INCORRECT	4	gb:pg25789:527	"I am bound to avow," says Charlotte, "that she had scarcely more | practical knowledge of the peasantry among whom she lived than a nun has | of the country people that pass her convent gates. My sis
K-019	VOC-DEF	INCORRECT	4	gb:pg3913:1523~1	Jean Bapiste Rousseau | Knew how to complain, but not how to act | Law that the accuser should be confined at the same time | Left to nature the whole care of my own instruction | Less degree of repug
K-020	VOC-DEF	INCORRECT	4	gb:pg24269:11~0	Muse make the man thy theme, for shrewdness famed | And genius versatile, who far and wide | A Wand'rer, after Ilium overthrown, | Discover'd various cities, and the mind | And manners learn'd of men,
K-021	VOC-DEF	INCORRECT	4	gb:pg1081:1221	Here I may remark that we have seen how much thought Chichikov devoted | to his future descendants. Indeed, had not there been constantly | recurring to his mind the insistent question, “What will my 
K-022	VOC-DEF	INCORRECT	4	gb:pg10800:2156~0	Those rude idiots and ignorant persons, that neglect and contemn the | means of their salvation, may march on with these; but above all | others, those Herodian temporizing statesmen, political Machia
