fixture	task	jcode	conf	margin	feat0	feat1	truth	human
r2n_colordisc_0899.img	colordisc	1	899	13396	10	15696	DIFFERENT	DIFFERENT
r2n_colordisc_0793.img	colordisc	1	898	13320	58	15620	DIFFERENT	DIFFERENT
r2n_colordisc_0990.img	colordisc	1	750	4510	11	6810	DIFFERENT	DIFFERENT
r2n_colordisc_0038.img	colordisc	0	605	2300	0	0	SAME	SAME
r2a_colordisc_0299.img	colordisc	1	733	4132	9	6432	DIFFERENT	DIFFERENT
r2a_shapetrans_0068.img	shapetrans	2	171	31	0	590	CIRCLE	CIRCLE
r2a_colorconst_0352.img	colorconst	1	983	5939	6089	0	SAME_SURFACE	SAME_SURFACE
r2n_shapetrans_0073.img	shapetrans	2	171	31	0	433	TRIANGLE	TRIANGLE
r2n_timbredisc_0688.pcm	timbredisc	0	222	77	1000	440000	PURE	PURE
r2a_shapetrans_0419.img	shapetrans	2	102	31	1	418	TRIANGLE	TRIANGLE
r2n_colordisc_0445.img	colordisc	1	978	68054	58	70354	DIFFERENT	DIFFERENT
r2a_shapetrans_0480.img	shapetrans	2	102	31	1	213	CIRCLE	CIRCLE
r2a_colordisc_0290.img	colordisc	1	858	9118	11	11418	DIFFERENT	DIFFERENT
r2a_colorconst_0502.img	colorconst	0	253	34	116	0	SAME_SURFACE	SAME_SURFACE
r2a_shapetrans_0089.img	shapetrans	2	171	31	0	365	TRIANGLE	TRIANGLE
r2n_pitchdisc_0040.pcm	pitchdisc	1	985	200857	205857	0	HIGHER	HIGHER
r2n_timbredisc_0103.pcm	timbredisc	2	1000	530	1697	440000	RICH	RICH
r2a_colordisc_0005.img	colordisc	1	899	13363	10	15663	DIFFERENT	DIFFERENT
r2a_shapetrans_0748.img	shapetrans	0	560	191	0	914	CIRCLE	CIRCLE
r2n_colorconst_0504.img	colorconst	0	526	111	39	0	SAME_SURFACE	SAME_SURFACE
r2n_colordisc_0507.img	colordisc	1	975	59515	77	61815	DIFFERENT	DIFFERENT
r2n_pitchdisc_0064.pcm	pitchdisc	2	995	694735	699735	0	HIGHER	HIGHER
r2n_motiondir_0024.vid	motiondir	1	780	213	0	0	NE	NE
r2a_pitchdisc_0459.pcm	pitchdisc	2	794	491158	496158	1	HIGHER	HIGHER
r2n_motiondir_0205.vid	motiondir	5	814	263	0	0	SW	SW
r2n_pitchdisc_0014.pcm	pitchdisc	2	995	746904	751904	0	LOWER	LOWER
r2a_motiondir_0376.vid	motiondir	7	393	39	0	0	E	E
r2n_timbredisc_0209.pcm	timbredisc	3	1000	530	2758	440000	BRIGHT	BRIGHT
r2a_shapetrans_0192.img	shapetrans	2	171	31	0	538	SQUARE	SQUARE
r2n_shapetrans_0167.img	shapetrans	1	171	31	0	641	SQUARE	SQUARE
r2n_motiondir_0022.vid	motiondir	1	869	401	0	0	NE	NE
r2a_shapetrans_0410.img	shapetrans	1	171	31	0	697	SQUARE	SQUARE
r2n_pitchdisc_0006.pcm	pitchdisc	0	625	5000	0	0	SAME	SAME
r2a_shapetrans_0045.img	shapetrans	2	102	31	1	566	SQUARE	SQUARE
r2n_colorconst_0190.img	colorconst	1	47	5	155	0	SAME_SURFACE	SAME_SURFACE
r2n_motiondir_0074.vid	motiondir	0	831	296	0	0	E	E
r2a_colordisc_0130.img	colordisc	1	899	13363	12	15663	DIFFERENT	DIFFERENT
r2a_colorconst_0434.img	colorconst	1	532	114	264	0	SAME_SURFACE	SAME_SURFACE
r2n_colordisc_0467.img	colordisc	1	975	58580	38	60880	DIFFERENT	DIFFERENT
r2n_timbredisc_0635.pcm	timbredisc	2	1000	530	1697	440000	RICH	RICH
r2a_motiondir_0383.vid	motiondir	3	672	123	0	0	W	W
r2a_shapetrans_0658.img	shapetrans	0	670	305	0	971	CIRCLE	CIRCLE
r2a_colordisc_0021.img	colordisc	1	907	14739	11	17039	DIFFERENT	DIFFERENT
r2n_shapetrans_0035.img	shapetrans	1	171	31	0	642	SQUARE	SQUARE
r2n_motiondir_0406.vid	motiondir	7	885	464	0	0	SE	SE
r2a_pitchdisc_0649.pcm	pitchdisc	2	795	498589	503589	1	LOWER	LOWER
r2a_motiondir_0362.vid	motiondir	3	568	79	0	0	W	W
r2n_pitchdisc_0460.pcm	pitchdisc	2	994	583355	588355	0	HIGHER	HIGHER
r2n_motiondir_0004.vid	motiondir	0	805	249	0	0	E	E
r2a_pitchdisc_0481.pcm	pitchdisc	1	993	488651	493651	0	LOWER	LOWER
r2n_shapetrans_1089.img	shapetrans	0	532	171	0	904	CIRCLE	CIRCLE
r2a_shapetrans_0500.img	shapetrans	2	102	31	1	299	CIRCLE	CIRCLE
r2n_colordisc_0041.img	colordisc	0	605	2300	0	0	SAME	SAME
r2a_shapetrans_0584.img	shapetrans	0	532	171	0	904	CIRCLE	CIRCLE
r2n_pitchdisc_0022.pcm	pitchdisc	0	289	1220	3780	0	HIGHER	HIGHER
r2n_timbredisc_0235.pcm	timbredisc	2	1000	530	1697	440000	RICH	RICH
r2a_motiondir_0616.vid	motiondir	1	672	123	0	0	W	W
r2a_motiondir_0418.vid	motiondir	5	508	62	0	0	SW	SW
r2n_colorconst_0670.img	colorconst	0	557	126	24	0	SAME_SURFACE	SAME_SURFACE
r2n_motiondir_0006.vid	motiondir	0	852	348	0	0	E	E
r2a_shapetrans_0030.img	shapetrans	2	3	1	1	621	SQUARE	SQUARE
r2a_shapetrans_0308.img	shapetrans	2	102	31	1	324	TRIANGLE	TRIANGLE
r2n_timbredisc_0137.pcm	timbredisc	3	1000	530	2758	440000	BRIGHT	BRIGHT
r2a_colordisc_0347.img	colordisc	1	788	5595	10	7895	DIFFERENT	DIFFERENT
r2a_colorconst_0608.img	colorconst	0	479	92	58	0	SAME_SURFACE	SAME_SURFACE
