ep	step	cls	conf	meas	truth
CAL-01	0	HON	658	2614	HONEST
CAL-01	1	HON	642	2600	HONEST
CAL-01	2	HON	658	2586	HONEST
CAL-01	3	HON	650	2586	HONEST
CAL-01	4	HON	642	2586	HONEST
CAL-01	5	HON	658	2600	HONEST
CAL-01	6	HON	650	2600	HONEST
CAL-01	7	HON	642	2614	HONEST
CAL-01	8	HON	650	2614	HONEST
CAL-01	9	HON	642	2614	HONEST
CAL-01	10	HON	642	2614	HONEST
CAL-01	11	HON	658	2614	HONEST
CAL-01	12	HON	642	2586	HONEST
CAL-01	13	HON	658	2600	HONEST
CAL-01	14	HON	650	2614	HONEST
CAL-01	15	HON	642	2586	HONEST
CAL-01	16	HON	642	2586	HONEST
CAL-01	17	HON	658	2600	HONEST
CAL-01	18	HON	650	2586	HONEST
CAL-01	19	HON	642	2586	HONEST
CAL-01	20	HON	642	2586	HONEST
CAL-01	21	HON	650	2614	HONEST
CAL-01	22	HON	642	2614	HONEST
CAL-01	23	HON	650	2614	HONEST
CAL-01	24	HON	642	2586	HONEST
CAL-01	25	HON	650	2586	HONEST
CAL-01	26	HON	642	2600	HONEST
CAL-01	27	HON	642	2614	HONEST
CAL-01	28	HON	642	2586	HONEST
CAL-01	29	HON	650	2614	HONEST
CAL-01	30	HON	650	2600	HONEST
CAL-01	31	HON	658	2586	HONEST
CAL-01	32	HON	658	2614	HONEST
CAL-01	33	HON	642	2600	HONEST
CAL-01	34	HON	658	2586	HONEST
CAL-01	35	HON	650	2600	HONEST
CAL-01	36	HON	650	2586	HONEST
CAL-01	37	HON	658	2586	HONEST
CAL-01	38	HON	650	2614	HONEST
CAL-01	39	HON	642	2586	HONEST
CAL-02	0	HON	642	2586	HONEST
CAL-02	1	HON	650	2586	HONEST
CAL-02	2	HON	642	2586	HONEST
CAL-02	3	HON	642	2600	HONEST
CAL-02	4	HON	642	2600	HONEST
CAL-02	5	HON	658	2614	HONEST
CAL-02	6	HON	658	2614	HONEST
CAL-02	7	HON	658	2586	HONEST
CAL-02	8	HON	642	2614	HONEST
CAL-02	9	HON	642	2600	HONEST
