ep	step	cls	conf	meas	truth
NOV-S01	0	HON	642	2614	HONEST
NOV-S01	1	HON	642	2600	HONEST
NOV-S01	2	HON	650	2586	HONEST
NOV-S01	3	HON	650	2586	HONEST
NOV-S01	4	HON	658	2614	HONEST
NOV-S01	5	HON	658	2600	HONEST
NOV-S01	6	HON	658	2586	HONEST
NOV-S01	7	HON	658	2586	HONEST
NOV-S01	8	HON	658	2600	HONEST
NOV-S01	9	HON	642	2586	HONEST
NOV-S01	10	HON	650	2600	HONEST
NOV-S01	11	HON	658	2586	HONEST
NOV-S01	12	HON	642	2600	HONEST
NOV-S01	13	HON	642	2586	HONEST
NOV-S01	14	HON	650	2586	HONEST
NOV-S01	15	NOV	718	2618	HONEST
NOV-S01	16	NOV	710	2604	HONEST
NOV-S01	17	NOV	726	2618	HONEST
NOV-S01	18	NOV	718	2604	HONEST
NOV-S01	19	NOV	710	2604	HONEST
NOV-S01	20	NOV	710	2604	HONEST
NOV-S01	21	NOV	718	2632	HONEST
NOV-S01	22	NOV	710	2632	HONEST
NOV-S01	23	NOV	718	2632	HONEST
NOV-S01	24	NOV	710	2604	HONEST
NOV-S01	25	NOV	718	2604	HONEST
NOV-S01	26	NOV	710	2618	HONEST
NOV-S01	27	NOV	710	2632	HONEST
NOV-S01	28	NOV	710	2604	HONEST
NOV-S01	29	NOV	718	2632	HONEST
NOV-S01	30	NOV	718	2618	HONEST
NOV-S01	31	NOV	726	2604	HONEST
NOV-S01	32	NOV	726	2632	HONEST
NOV-S01	33	NOV	710	2618	HONEST
NOV-S01	34	NOV	726	2604	HONEST
NOV-S01	35	NOV	718	2618	HONEST
NOV-S01	36	NOV	718	2604	HONEST
NOV-S01	37	NOV	726	2604	HONEST
NOV-S01	38	NOV	718	2632	HONEST
NOV-S01	39	NOV	710	2604	HONEST
NOV-S01	40	NOV	710	2632	HONEST
NOV-S01	41	NOV	710	2618	HONEST
NOV-S01	42	NOV	718	2604	HONEST
NOV-S01	43	NOV	718	2604	HONEST
NOV-S01	44	NOV	726	2632	HONEST
NOV-S01	45	NOV	726	2618	HONEST
NOV-S01	46	NOV	726	2604	HONEST
NOV-S01	47	NOV	726	2604	HONEST
NOV-S01	48	NOV	726	2618	HONEST
NOV-S01	49	NOV	710	2604	HONEST
NOV-S01	50	NOV	718	2618	HONEST
NOV-S01	51	NOV	726	2604	HONEST
NOV-S01	52	NOV	710	2618	HONEST
NOV-S01	53	NOV	710	2604	HONEST
NOV-S01	54	NOV	718	2604	HONEST
NOV-S01	55	NOV	710	2604	HONEST
NOV-S01	56	NOV	710	2618	HONEST
NOV-S01	57	NOV	710	2618	HONEST
NOV-S01	58	NOV	726	2632	HONEST
NOV-S01	59	NOV	726	2632	HONEST
NOV-S01	60	NOV	726	2604	HONEST
NOV-S01	61	NOV	710	2632	HONEST
NOV-S01	62	NOV	710	2618	HONEST
NOV-S01	63	NOV	718	2618	HONEST
NOV-S01	64	NOV	726	2632	HONEST
NOV-S01	65	NOV	710	2618	HONEST
NOV-S01	66	NOV	726	2604	HONEST
NOV-S01	67	NOV	718	2604	HONEST
NOV-S01	68	NOV	710	2604	HONEST
NOV-S01	69	NOV	726	2618	HONEST
NOV-S01	70	NOV	718	2618	HONEST
NOV-S01	71	NOV	710	2632	HONEST
NOV-S01	72	NOV	718	2632	HONEST
NOV-S01	73	NOV	710	2632	HONEST
NOV-S01	74	NOV	710	2632	HONEST
NOV-S01	75	NOV	726	2632	HONEST
NOV-S01	76	NOV	710	2604	HONEST
NOV-S01	77	NOV	726	2618	HONEST
NOV-S01	78	NOV	718	2632	HONEST
