ep	step	cls	conf	meas	truth
INJ-F1-P15	0	HON	642	2600	HONEST
INJ-F1-P15	1	HON	642	2600	HONEST
INJ-F1-P15	2	HON	658	2614	HONEST
INJ-F1-P15	3	HON	658	2614	HONEST
INJ-F1-P15	4	HON	658	2586	HONEST
INJ-F1-P15	5	HON	642	2614	HONEST
INJ-F1-P15	6	HON	642	2600	HONEST
INJ-F1-P15	7	HON	650	2600	HONEST
INJ-F1-P15	8	HON	658	2614	HONEST
INJ-F1-P15	9	HON	642	2600	HONEST
INJ-F1-P15	10	HON	658	2586	HONEST
INJ-F1-P15	11	HON	650	2586	HONEST
INJ-F1-P15	12	HON	642	2586	HONEST
INJ-F1-P15	13	HON	658	2600	HONEST
INJ-F1-P15	14	HON	650	2600	HONEST
INJ-F1-P15	15	INJ	788	1958	FALSE
INJ-F1-P15	16	HON	650	2614	HONEST
INJ-F1-P15	17	HON	642	2614	HONEST
INJ-F1-P15	18	HON	642	2614	HONEST
INJ-F1-P15	19	HON	658	2614	HONEST
INJ-F1-P15	20	HON	642	2586	HONEST
INJ-F1-P15	21	HON	658	2600	HONEST
INJ-F1-P15	22	HON	650	2614	HONEST
INJ-F1-P15	23	HON	642	2586	HONEST
INJ-F1-P15	24	HON	642	2586	HONEST
INJ-F1-P15	25	HON	658	2600	HONEST
INJ-F1-P15	26	HON	650	2586	HONEST
INJ-F1-P15	27	HON	642	2586	HONEST
INJ-F1-P15	28	HON	642	2586	HONEST
INJ-F1-P15	29	HON	650	2614	HONEST
INJ-F1-P15	30	HON	642	2614	HONEST
INJ-F1-P15	31	HON	650	2614	HONEST
INJ-F1-P15	32	HON	642	2586	HONEST
INJ-F1-P15	33	HON	650	2586	HONEST
INJ-F1-P15	34	HON	642	2600	HONEST
INJ-F1-P15	35	HON	642	2614	HONEST
INJ-F1-P15	36	HON	642	2586	HONEST
INJ-F1-P15	37	HON	650	2614	HONEST
INJ-F1-P15	38	HON	650	2600	HONEST
INJ-F1-P15	39	HON	658	2586	HONEST
INJ-F1-P15	40	HON	658	2614	HONEST
INJ-F1-P15	41	HON	642	2600	HONEST
INJ-F1-P15	42	HON	658	2586	HONEST
INJ-F1-P15	43	HON	650	2600	HONEST
INJ-F1-P15	44	HON	650	2586	HONEST
INJ-F1-P15	45	HON	658	2586	HONEST
INJ-F1-P15	46	HON	650	2614	HONEST
INJ-F1-P15	47	HON	642	2586	HONEST
INJ-F1-P15	48	HON	642	2614	HONEST
INJ-F1-P15	49	HON	642	2600	HONEST
INJ-F1-P15	50	HON	650	2586	HONEST
INJ-F1-P15	51	HON	650	2586	HONEST
INJ-F1-P15	52	HON	658	2614	HONEST
INJ-F1-P15	53	HON	658	2600	HONEST
INJ-F1-P15	54	HON	658	2586	HONEST
INJ-F1-P15	55	HON	658	2586	HONEST
INJ-F1-P15	56	HON	658	2600	HONEST
INJ-F1-P15	57	HON	642	2586	HONEST
INJ-F1-P15	58	HON	650	2600	HONEST
INJ-F1-P15	59	HON	658	2586	HONEST
INJ-F1-P15	60	HON	642	2600	HONEST
INJ-F1-P15	61	HON	642	2586	HONEST
INJ-F1-P15	62	HON	650	2586	HONEST
INJ-F1-P15	63	HON	642	2586	HONEST
INJ-F1-P15	64	HON	642	2600	HONEST
INJ-F1-P15	65	HON	642	2600	HONEST
INJ-F1-P15	66	HON	658	2614	HONEST
INJ-F1-P15	67	HON	658	2614	HONEST
INJ-F1-P15	68	HON	658	2586	HONEST
INJ-F1-P15	69	HON	642	2614	HONEST
INJ-F1-P15	70	HON	642	2600	HONEST
INJ-F1-P15	71	HON	650	2600	HONEST
INJ-F1-P15	72	HON	658	2614	HONEST
INJ-F1-P15	73	HON	642	2600	HONEST
INJ-F1-P15	74	HON	658	2586	HONEST
