B1-01	EXPR: 12345 + 67890
B1-02	EXPR: 999999 + 1
B1-03	EXPR: 0 + 0
B1-04	EXPR: 456789 + 123456
B1-05	EXPR: 1000000 + 2000000
B1-06	EXPR: 100000 - 1
B1-07	EXPR: 50 - 80
B1-08	EXPR: 0 - 123
B1-09	EXPR: 987654 - 123456
B1-10	EXPR: 1000 - 1000
B1-11	EXPR: 1234 * 5678
B1-12	EXPR: 999 * 999
B1-13	EXPR: 0 * 12345
B1-14	EXPR: 25 * 40
B1-15	EXPR: 123 * 456
B1-16	EXPR: 144 / 12
B1-17	EXPR: 1000 / 8
B1-18	EXPR: 10 / 3
B1-19	EXPR: 7 / 2
B1-20	EXPR: 1 / 4
B1-21	EXPR: 1/2 + 1/3
B1-22	EXPR: 3/4 - 1/6
B1-23	EXPR: 2/3 * 9/4
B1-24	EXPR: 5/6 / 2/3
B1-25	EXPR: 1/2 + 1/4 + 1/8
B1-26	EXPR: 7/3 - 1/2
B1-27	EXPR: 15% of 240
B1-28	EXPR: 7.5% of 200
B1-29	EXPR: 50% of 99
B1-30	EXPR: 200% of 35
B1-31	EXPR: 12.5% of 80
B1-32	EXPR: 2 + 3 * 4
B1-33	EXPR: (2 + 3) * 4
B1-34	EXPR: 100 - 4 * 5 + 2
B1-35	EXPR: (10 - 2) * (3 + 4) / 7
B1-36	EXPR: 48 / 6 / 2
B1-37	CONVERT: 3.5 km to m
B1-38	CONVERT: 2 hours to seconds
B1-39	CONVERT: 1500 m to km
B1-40	CONVERT: 90 seconds to minutes
W-01	A baker makes 48 loaves. She sells 17 in the morning and 19 in the afternoon. How many loaves remain?
W-02	A train travels at 90 kilometers per hour for 4 hours. How far does it travel?
W-03	A shop buys 25 boxes at 6 coins each. It sells them all for 220 coins. What is the profit?
W-04	A tank holds 500 liters. One quarter is drained. How many liters remain?
W-05	A worker earns 18 coins per hour and works 7 hours. She spends half her earnings. How much does she keep?
W-06	A farmer has 120 apples. He gives 30 to his neighbor and 45 to his sister. How many apples are left?
W-07	A car drives 240 kilometers in 3 hours. What is its speed in kilometers per hour?
W-08	A school has 600 students. 40 percent of them are girls. How many girls are there?
W-09	A recipe needs 2 cups of flour for 8 pancakes. How many cups are needed for 20 pancakes?
W-10	Tom has 85 marbles. He buys 3 bags with 12 marbles each. How many marbles does he have now?
W-11	A phone costs 800 coins. The price drops by 25 percent. What is the new price?
W-12	A garden is 12 meters long and 8 meters wide. What is its area in square meters?
W-13	Lisa reads 45 pages per day. How many pages does she read in 2 weeks?
W-14	A bottle contains 2 liters of juice. 5 glasses of 300 milliliters each are poured. How many milliliters remain?
P-01	A baker bakes 48 loaves. Customers buy 17 loaves in the morning and 19 loaves later in the day. How many loaves are left?
P-02	A train goes 90 kilometers each hour and keeps going for 4 hours. What distance does it cover?
P-03	A shop purchases 25 boxes for 6 coins apiece, then sells every box for a total of 220 coins. What is the profit?
P-04	600 students attend a school, and 40 percent are girls. How many girls attend?
P-05	Tom owns 85 marbles. He then buys 3 bags, each holding 12 marbles. How many marbles does he own now?
P-06	Lisa reads 45 pages every day. After 2 weeks, how many pages has she read?
E-01	The Eiffel Tower is 330 meters tall at 20 degrees Celsius. Iron expands 12 millionths per degree Celsius. It is 35 degrees Celsius at 3pm in August. How tall is the tower at 3pm?
E-02	It is minus 2 degrees Celsius at 6am in January. How tall is the Eiffel Tower?
E-03	The Eiffel Tower measures 330.0594 meters. The tower is 330 meters at 20 degrees Celsius. Iron expands 12 millionths per degree Celsius. What is the temperature?
E-04	What is the height of the Eiffel Tower at 20 degrees Celsius?
E-05	In what year was the Eiffel Tower built?
E-06	The Oak Street bridge is an iron bridge, 100 meters long at 20 degrees Celsius. It is 40 degrees Celsius at noon. How long is the bridge?
E-07	It is 20 degrees Celsius. How tall is the Eiffel Tower?
E-08	The Eiffel Tower is 330 meters tall at 20 degrees Celsius. Iron expands 12 millionths per degree Celsius. It is 10 degrees Celsius at midnight. How tall is the tower at midnight?
E-09	At 3pm the tower is 330.0594 meters tall. At 6am the tower is 329.91288 meters tall. How much taller is the tower at 3pm than at 6am?
E-10	A steel rod is 2 meters long at 20 degrees Celsius. Steel expands 12 millionths per degree Celsius. It is 70 degrees Celsius. How long is the rod?
E-11	What is the expansion coefficient of iron?
E-12	The Eiffel Tower is 330 meters tall at 20 degrees Celsius. It is 35 degrees Celsius. How tall is the tower?
M-01	What is the height of the Eiffel Tower at 20 degrees Celsius?
M-02	How tall is the Eiffel Tower at 35 degrees Celsius?
M-03	In what year was the Eiffel Tower built?
M-04	What is 15 percent of 240?
M-05	What is the expansion coefficient of iron?
M-06	A baker makes 48 loaves and sells 17. How many loaves remain?
M-07	How long is the Oak Street bridge at 20 degrees Celsius?
M-08	How long is the Oak Street bridge at 30 degrees Celsius?
M-09	What is 7 divided by 2?
M-10	What is the capital of France?
M-11	The Eiffel Tower is 330 meters tall at 20 degrees Celsius. It is 20 degrees Celsius. How tall is the tower?
M-12	How many meters are in 3.5 kilometers?
