turn	question	response	novel
1	who wrote the martian?	Andy Weir wrote The Martian.	0
2	when was he born?	Andy Weir was born in 1972.	0
3	was he born before the eiffel tower was built?	Andy Weir was born in 1972.	0
4	who was born first, darwin or melville?	Herman Melville was born in 1819.	0
5	which is taller, the eiffel tower or the montparnasse tower?	the eiffel tower is taller.	1
6	how much taller is it?	The Eiffel Tower is in Paris.	0
7	which of those two was built first?	The Eiffel Tower was built in 1889.	0
8	what is the capital of italy?	Paris is the capital of France.	0
9	who wrote hamlet?	Andy Weir wrote The Martian.	0
10	was melville born in 1818?	Herman Melville was born in 1819.	0
11	are you sure? i read 1818 in a biography.	The Louvre opened as a museum in 1793.	0
12	did jane austen write moby dick?	no.	1
13	which author lived the longest?	Herman Melville wrote the novel Moby Dick.	0
14	tell me a joke about darwin.	Charles Darwin was born in 1809.	0
15	do you remember the first thing i asked you?	Herman Melville wrote the novel Moby Dick.	0
16	how do you know that andy weir wrote the martian?	Andy Weir wrote The Martian.	0
17	who is the current president of the united states?	Herman Melville wrote the novel Moby Dick.	0
18	forget everything i just told you.	Herman Melville wrote the novel Moby Dick.	0
