id	cat	question	response	novel	mech	matched_key
K-001	VOC-DEF	what does the word 'benevolent' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-002	VOC-DEF	what does the word 'ephemeral' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-003	VOC-DEF	what does the word 'meticulous' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-004	VOC-DEF	what does the word 'pragmatic' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-005	VOC-DEF	what does the word 'ambiguous' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-006	VOC-DEF	what does the word 'resilient' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-007	VOC-DEF	what does the word 'candid' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-008	VOC-DEF	what does the word 'frugal' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-009	VOC-DEF	what does the word 'vivid' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-010	VOC-DEF	what does the word 'serene' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-011	VOC-DEF	what does the word 'obsolete' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-012	VOC-DEF	what does the word 'inevitable' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-013	VOC-DEF	what does the word 'diligent' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-014	VOC-DEF	what does the word 'luminous' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-015	VOC-DEF	what does the word 'novice' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-016	VOC-DEF	what does the word 'abundant' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-017	VOC-DEF	what does the word 'fragile' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-018	VOC-DEF	what does the word 'gregarious' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-019	VOC-DEF	what does the word 'tenacious' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-020	VOC-DEF	what does the word 'versatile' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-021	VOC-DEF	what does the word 'wary' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-022	VOC-DEF	what does the word 'zealous' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-023	VOC-DEF	what does the word 'austere' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-024	VOC-DEF	what does the word 'brevity' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-025	VOC-DEF	what does the word 'candor' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-026	VOC-DEF	what does the word 'deference' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-027	VOC-DEF	what does the word 'ennui' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-028	VOC-DEF	what does the word 'fastidious' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-029	VOC-DEF	what does the word 'hapless' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-030	VOC-DEF	what does the word 'laconic' mean?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-031	VOC-SYN	what is a synonym for 'happy'?	The Louvre opened as a museum in 1793.	0	INCORRECT	
K-032	VOC-SYN	what is a synonym for 'fast'?	The Louvre opened as a museum in 1793.	0	INCORRECT	
K-033	VOC-SYN	what is a synonym for 'big'?	Big Ben is a landmark in London.	0	INCORRECT	
K-034	VOC-SYN	what is a synonym for 'smart'?	The Louvre opened as a museum in 1793.	0	INCORRECT	
K-035	VOC-SYN	what is a synonym for 'beautiful'?	The Louvre opened as a museum in 1793.	0	INCORRECT	
K-036	VOC-SYN	what is a synonym for 'strong'?	The Louvre opened as a museum in 1793.	0	INCORRECT	
K-037	VOC-SYN	what is a synonym for 'quiet'?	The Louvre opened as a museum in 1793.	0	INCORRECT	
K-038	VOC-SYN	what is a synonym for 'rich'?	The Louvre opened as a museum in 1793.	0	INCORRECT	
K-039	VOC-SYN	what is a synonym for 'tired'?	The Louvre opened as a museum in 1793.	0	INCORRECT	
K-040	VOC-SYN	what is a synonym for 'angry'?	The Louvre opened as a museum in 1793.	0	INCORRECT	
K-041	VOC-ANT	what is the opposite of 'hot'?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-042	VOC-ANT	what is the opposite of 'ancient'?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-043	VOC-ANT	what is the opposite of 'brave'?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-044	VOC-ANT	what is the opposite of 'victory'?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-045	VOC-ANT	what is the opposite of 'success'?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-046	VOC-ANT	what is the opposite of 'expand'?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-047	VOC-ANT	what is the opposite of 'generous'?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-048	VOC-ANT	what is the opposite of 'include'?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-049	VOC-ANT	what is the opposite of 'awake'?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-050	VOC-ANT	what is the opposite of 'arrive'?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-051	SCI	which planet is known as the red planet?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-052	SCI	what gas do plants absorb from the air?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-053	SCI	what is h2o commonly called?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-054	SCI	how many legs does a spider have?	The Louvre opened as a museum in 1793.	0	INCORRECT	
K-055	SCI	what is the hardest natural substance?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-056	SCI	which planet is closest to the sun?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-057	SCI	what force pulls objects toward earth?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-058	SCI	what do we call a baby frog?	The Louvre opened as a museum in 1793.	0	INCORRECT	
K-059	SCI	which blood cells carry oxygen?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-060	SCI	what is the center of an atom called?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-061	SCI	how many bones are in the adult human body?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-062	SCI	what gas do humans need to breathe?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-063	SCI	which organ pumps blood through the body?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-064	SCI	what is frozen water called?	Water boils at 100 degrees Celsius at sea level.	0	INCORRECT	
K-065	SCI	which planet has the most known moons?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-066	SCI	what is the study of stars and planets called?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-067	SCI	which animal is the largest mammal?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-068	SCI	besides sunlight, what do plants absorb for photosynthesis?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-069	SCI	how long does earth take to orbit the sun?	The Amazon River is 6400 kilometers long.	0	INCORRECT	
K-070	SCI	what is the boiling point of water in fahrenheit?	Water boils at 100 degrees Celsius at sea level.	0	INCORRECT	
K-071	SCI	which metal is liquid at room temperature?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-072	SCI	what part of the cell contains dna?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-073	SCI	how many chambers does the human heart have?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-074	SCI	what causes ocean tides?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-075	SCI	which vitamin does sunlight help the skin make?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-076	SCI	what is the chemical symbol for gold?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-077	SCI	what is the chemical symbol for iron?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-078	SCI	which planet is the largest in the solar system?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-079	SCI	what do bees collect to make honey?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-080	SCI	how many colors are in a rainbow?	The Louvre opened as a museum in 1793.	0	INCORRECT	
K-081	SCI	what is the fastest land animal?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-082	SCI	which gas makes up most of earth's atmosphere?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-083	SCI	what is a baby dog called?	The Louvre opened as a museum in 1793.	0	INCORRECT	
K-084	SCI	which direction does the sun rise?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-085	SCI	what is the main gas in the sun?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-086	SCI	how many planets are in the solar system?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-087	SCI	what do we call animals that eat only plants?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-088	SCI	which bird cannot fly but swims well?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-089	SCI	what is the solid outer layer of earth called?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-090	SCI	how many days are in a leap year?	The Louvre opened as a museum in 1793.	0	INCORRECT	
K-091	SCI	what instrument measures temperature?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-092	SCI	which force opposes motion between surfaces?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-093	SCI	what is earth's natural satellite?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-094	SCI	how many wings does a honeybee have?	The Louvre opened as a museum in 1793.	0	INCORRECT	
K-095	SCI	what do caterpillars turn into?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-096	SCI	which sense organ detects sound?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-097	SCI	what is molten rock beneath the surface called?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-098	SCI	how many minutes are in an hour?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-099	SCI	what causes day and night on earth?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-100	SCI	which animal lays the largest eggs?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-101	MATH	what is 7 times 8?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-102	MATH	what is 45 plus 23?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-103	MATH	what is 100 minus 37?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-104	MATH	what is 12 times 12?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-105	MATH	what is 200 divided by 4?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-106	MATH	what is 9 times 9?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-107	MATH	what is 64 plus 38?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-108	MATH	what is 150 minus 75?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-109	MATH	what is 11 times 11?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-110	MATH	what is 90 divided by 2?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-111	MATH	what is 13 times 7?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-112	MATH	what is 84 minus 29?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-113	MATH	what is 6 times 14?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-114	MATH	what is 130 plus 45?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-115	MATH	what is 8 times 11?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-116	MATH	what is 99 minus 44?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-117	MATH	what is 17 times 5?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-118	MATH	what is 160 divided by 4?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-119	MATH	what is 72 plus 48?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-120	MATH	what is 15 times 6?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-121	MATH	what is 140 minus 62?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-122	MATH	what is 19 times 4?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-123	MATH	what is 52 plus 47?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-124	MATH	what is 14 times 8?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-125	MATH	what is 180 minus 95?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-126	MATH	what is 250 minus 130?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-127	MATH	what is 18 times 5?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-128	MATH	what is 300 divided by 6?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-129	MATH	what is 77 plus 66?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-130	MATH	what is 22 times 4?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-131	MATH	what is 190 minus 85?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-132	MATH	what is 25 times 5?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
