C01	Humans have exactly five senses.	Human senses	Scientists now say we actually have between 22 and 33 senses.	2
C02	The Great Wall of China is exactly 21,196 kilometers long.	Great Wall of China	Modern surveys place the Great Wall's length between 6,000 and 9,000 kilometers.	2
C03	The Pacific Ocean is exactly 165 million square kilometers in area.	Pacific Ocean	The Pacific is between 155 and 160 million square kilometers in area.	2
C04	The Eiffel Tower is exactly 300 meters tall.	Eiffel Tower	The Eiffel Tower is more than 300 meters tall.	2
C05	The cheetah's top speed is exactly 110 km/h.	Cheetah	The cheetah's top speed is more than 110 km/h.	2
C06	The Amazon River is exactly 6,400 km long.	Amazon River	The Amazon River is more than 6,400 km long.	2
C07	The adult human skull has exactly 22 bones.	Human skull	The adult human skull has less than 22 bones.	2
C08	Mount Everest is exactly 8,848 meters high.	Mount Everest	Mount Everest is less than 8,848 meters high.	2
C09	A marathon is exactly 42 kilometers.	Marathon	The course is less than 42 kilometers.	2
C10	The stadium's capacity is exactly 50,000 people.	City stadium	The stadium's capacity is at most 40,000 people.	2
C11	There are exactly 1,000 gold bars in the vault.	Bank vault	There are at least 1,200 gold bars in the vault.	2
C12	The whale weighs exactly 150 tons.	Blue whale	The whale weighs at most 100 tons.	2
C13	Goldfish have a three-second memory.	Goldfish memory	Studies show goldfish have a spatial memory of at least six months.	2
C14	The box weighs exactly five kilograms.	Shipping box	The box weighs seven kilograms.	2
C15	The flight lasts exactly three hours.	Flight times	The flight lasts five hours.	2
C16	The marathon took exactly 120 minutes.	Marathon records	She finished the marathon in three hours.	2
C17	The baby weighed exactly 3,000 grams at birth.	Birth records	The baby weighed seven pounds at birth.	2
C18	Ants can lift exactly ten times their body weight.	Ant strength	Ants can lift fifty times their body weight.	2
C19	The blue whale is the largest animal on Earth.	Largest animal	The colossal squid is the largest animal on Earth.	2
C20	Mount Everest is the tallest mountain in the world.	Tallest mountain	K2 is the tallest mountain in the world.	2
C21	The cheetah is the fastest land animal.	Fastest land animal	The pronghorn is the fastest land animal.	2
C22	The Nile is the longest river in the world.	Longest river	The Amazon is the longest river in the world.	2
C23	The blue whale is the largest animal on Earth.	Blue whale	The blue whale is the largest animal on Earth. It feeds on krill.	1
C24	Elephants are taller than giraffes.	Elephants and giraffes	Giraffes are taller than elephants.	2
C25	The cheetah is faster than the lion.	Cheetahs and lions	Lions are faster than cheetahs.	2
C26	Coffee has more caffeine than tea.	Coffee and tea	Tea has more caffeine than coffee.	2
C27	Coffee has more caffeine than tea.	Coffee and tea	Coffee contains more caffeine than tea.	1
C28	The policy helped all workers.	Labor policy	The policy helped managers, whereas workers saw their wages fall.	2
C29	The new drug lowers blood pressure.	Blood pressure drug	The new drug lowers blood pressure in men, while in women it raises it.	2
C30	Birds migrate south in winter.	Bird migration	Most birds migrate south in winter, whereas penguins stay put.	2
C31	Reading improves vocabulary.	Reading	Reading improves vocabulary, whereas television does not.	1
C32	All swans are white.	Swans	Unlike black swans, most swans are white.	2
C33	The restaurant is excellent.	Restaurant review	Unlike its reputation, the restaurant is terrible.	2
C34	The CEO supports the merger.	Corporate merger	Unlike the CEO, the board opposes the merger.	0
C35	Champagne comes from France.	Wine origins	Unlike champagne, prosecco comes from Italy.	0
C36	Dolphins are mammals.	Dolphins	Unlike sharks, dolphins are mammals.	1
C37	The answer is five.	Quiz answers	The answer is not five but seven.	2
C38	She arrived at noon.	Arrival times	She arrived not at noon but at midnight.	2
C39	The light was red.	Traffic lights	The light was not red but green.	2
C40	The meeting is at noon.	Meeting schedule	The meeting is not at eleven but at noon.	1
C41	Humans have exactly five senses.	Human senses	Humans have exactly five senses: sight, hearing, smell, taste, and touch.	1
C42	The Nile is the longest river in the world.	Nile River	The Nile is the longest river in the world at 6,650 km.	1
C43	Water boils at 100 degrees Celsius.	Water	Water boils at 100 degrees Celsius at sea level.	1
C44	The Eiffel Tower is 330 meters tall.	Eiffel Tower	The Eiffel Tower stands 330 meters tall.	1
C45	The Eiffel Tower is 330 meters tall.	Eiffel Tower history	The Eiffel Tower was completed in 1889.	0
C46	Coffee contains caffeine.	Coffee history	Coffee originated in Ethiopia.	0
C47	Sharks have no bones.	Shark biology	Sharks have eight senses, including electroreception.	0
C48	Goldfish have a three-second memory.	Goldfish memory	The myth says goldfish have a three-second memory.	2
C49	The vault contains 1,000 gold bars.	Bank vault	The vault does not contain 1,000 gold bars.	2
C50	The Earth is flat.	Flat Earth	The Earth is an oblate sphere.	2
