id	text	oracle_label	notes
H01	What do you call a fake noodle? An impasta.	JOKE	riddle QA shape
H02	This is not a joke. I really did lock my keys in the car again.	JOKE	denial frame
H03	A priest, a rabbi, and a monk walk into a bar. The bartender says, "Is this a joke?"	JOKE	bar shape
H04	I never make mistakes. I thought I did once, but I was wrong.	JOKE	negation joke
H05	I asked the chef for the secret recipe. He muttered, "Butter. It is always butter."	JOKE	conspiratorial quote
H06	I used to dislike beards, but then one grew on me.	JOKE	grew-on-me pun
H07	She fears steep hills. She is gradually getting over it.	JOKE	get-over-it pun
H08	He worries about hurdles. He keeps jumping to conclusions.	JOKE	jump-to-conclusions pun
H09	There is a fine line between a dividend and a divisor. Only accountants will get this.	JOKE	fine-line math pun
H10	My dentures are like the sun. They come out in the morning.	JOKE	come-out pun
H11	Rub salt in the wound to help it heal faster.	JOKE	contradiction + purpose
H12	He smoked for forty years and lived to one hundred.	JOKE	irony habit+longevity
H13	I asked her to embrace change. She hugged the calendar.	JOKE	pun1 dual+abstract+enact
H14	Why do programmers prefer dark mode? Because light attracts bugs.	JOKE	riddle QA shape
H15	I told the doctor my back is killing me. She said, "Then stop carrying the team."	JOKE	therapist frame + pun (killing/stop carrying)
S01	The meeting is at three o'clock in the conference room.	NONJOKE	plain sincere
S02	I did not finish the report because the data was incomplete.	NONJOKE	sincere negation
S03	She asked if I wanted coffee. I said yes, please.	NONJOKE	sincere dialogue
S04	I tried to fix the sink yesterday. It is still leaking.	NONJOKE	sincere tried-to (N_TRY FP probe)
S05	He whispered that the baby was finally asleep.	NONJOKE	sincere whisper, single clause
S06	I used to run marathons. Now I just jog on weekends.	NONJOKE	sincere used-to/now
S07	She lost interest in the project after the budget cuts.	NONJOKE	sincere lost interest
S08	The early train was full, but the second train was empty.	NONJOKE	sincere early/second/but
S09	I have a fear of spiders. I am working on getting over it.	NONJOKE	sincere fear + getting over it (no traversable)
S10	He is always jumping to conclusions about people.	NONJOKE	sincere idiom, no jumping context
S11	There is a fine line between confidence and arrogance.	NONJOKE	sincere fine line, no math
S12	The stars come out at night.	NONJOKE	sincere celestial come-out, no dental
S13	My jazz collection grew on me over the years.	NONJOKE	sincere grew on me, not growable
S14	I told my doctor about my headaches. She said to get more rest.	NONJOKE	sincere doctor dialogue
S15	After he quit smoking, his health improved steadily.	NONJOKE	sincere cessation (irony suppression)
