trial_idx,fixture_id,fixture_path,task,truth,stratum,judgment,confidence,measure,operations,percept_bytes,program,tests,decision,chain_hash
0,r21a_colorconst_0,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,829,4611,29,,,WITHHOLD,3236fe0161b9093c6ca2fa10043cb11ee5ff5fe149a6fa4665cf7da88790ceb1
1,r21a_colorconst_1,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,798,4611,29,,,INSTALL,9165d4e7fb9a999695fb239f0db3fc794fb85d30d17a5966381c1abf7ce665fd
2,r21a_colorconst_10,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,647,4611,29,,,WITHHOLD,de4a3f38e6d3b5a04712d18b10e3e0927502359baf84c84d41038a04ba213981
3,r21a_colorconst_100,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,238,4611,29,,,WITHHOLD,08cac81f1f06d310940bfff3510420a69928679fd5b00a1ae29dcd428a7d9d8e
4,r21a_colorconst_101,,colorconst,DIFFERENT,gen_adv,SAME_SURFACE,low,93,4611,30,,,INSTALL,8959ae442419a26a7fd919f2d5579872da7f1405acdcde474fe70e77ed6cc8e2
5,r21a_colorconst_102,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,945,4611,29,,,WITHHOLD,4bb3b5f45f72626116bf6c4a4f567161b8c6a008e9ac9a9ce008c306e04407fc
6,r21a_colorconst_103,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,1189,4611,30,,,INSTALL,13501cd99b0e171d6e8aa84b5f5062be2f086786f10fc7dba37f86731a9a9d4d
7,r21a_colorconst_104,,colorconst,SAME_SURFACE,gen_adv,SAME_SURFACE,low,110,4611,31,,,INSTALL,70d9584ad5065608575853c13ac9ef3c4a85712943d7568957668da4b49f753f
8,r21a_colorconst_105,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,791,4611,29,,,WITHHOLD,81dad60529d01eec945da4840f9ff9a84481c9216c152b132dbc9b234a307a81
9,r21a_colorconst_106,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,489,4611,29,,,WITHHOLD,51267a6e1a0fc892d510fb5d77ce700dce8c6aaa804845d8ee421c15b38ec192
10,r21a_colorconst_107,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,870,4611,29,,,INSTALL,518e3a8078d086d842efbd7abbaa494fcbe0ad37da307f28c8f365fd6f86a3cd
11,r21a_colorconst_108,,colorconst,SAME_SURFACE,gen_adv,SAME_SURFACE,high,30,4611,31,,,INSTALL,c16ecf6558d1c30d2c943a717bedd3f46cbf288a58ef79d566580746e8fde8e4
12,r21a_colorconst_109,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,977,4611,29,,,WITHHOLD,fa458d0c41ee158b9c2c21b84e909d83462f175b811015ec67ed09e19bca3b6a
13,r21a_colorconst_11,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,786,4611,29,,,INSTALL,062d99013c94f8f962367375eb0583e25099faad037400e4b34ecc75b73e185e
14,r21a_colorconst_110,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,405,4611,29,,,WITHHOLD,c8c545543ece6cd3206a7f2aeaead7b73c3bc0aaf5669480c7d57510d32de9cf
15,r21a_colorconst_111,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,846,4611,29,,,INSTALL,4bd476d5fe70f87125fded87a4991fd2bdc55c49986472ed065f7bba73034e05
16,r21a_colorconst_112,,colorconst,SAME_SURFACE,gen_adv,SAME_SURFACE,low,108,4611,31,,,INSTALL,997c78537789392886ef01797f32153a079c50ca03afadfc15f85587947b1c40
17,r21a_colorconst_113,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,852,4611,29,,,INSTALL,e7dc82a7cf06e14cc95f082a1f8fde2a373493edebaae5aad06949c0a512a72f
18,r21a_colorconst_114,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,421,4611,29,,,WITHHOLD,948b564d6b5ca5a29472289b5e275961eb51616d073f79ea4fa5e5f89e61c36a
19,r21a_colorconst_115,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,940,4611,29,,,INSTALL,3c026f5a56a913e69db36a871d3e95d4288daf5135ac703016f7e345b0f0db77
20,r21a_colorconst_116,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,431,4611,29,,,WITHHOLD,1f19374ca056236571662c666ccd6a86dd7b785fa14ca9f692aee17033bb2287
21,r21a_colorconst_117,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,324,4611,29,,,WITHHOLD,474b79ee7f96e2600812d727ad1b756b2f10fc4bab85c462bba7beeccf5db419
22,r21a_colorconst_118,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,907,4611,29,,,WITHHOLD,5ad0d3cf7fd04e63e9c17a5f9c3cae0b0fb4e73099bee57285616570c1087ed2
23,r21a_colorconst_119,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,939,4611,29,,,INSTALL,749b0203a51bb03e57d3200b7be9c317ddfae1f0fd342b9226bbcc54929fca3a
24,r21a_colorconst_12,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,904,4611,29,,,WITHHOLD,59d0ba9b49a4fdd08bae409c4f4cfb0a82273363dec9bdd7de456567c69d0768
25,r21a_colorconst_120,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,711,4611,29,,,WITHHOLD,feed9c8eb9adc7f098d522fce383bc195dd91e90b45172644027a7937c4c3c4a
26,r21a_colorconst_121,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,273,4611,29,,,INSTALL,1717400bc232333fc48231f1dc1cf45960c88fd856a7a2035fc408c893a6d624
27,r21a_colorconst_122,,colorconst,SAME_SURFACE,gen_adv,SAME_SURFACE,high,57,4611,31,,,INSTALL,e46893a15a52ae63d1c388f496dbafe36b56ab817013a1138ce6bdd8219eda13
28,r21a_colorconst_123,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,978,4611,29,,,WITHHOLD,c021bd7673c2fef64c60e19c348b07053c19c7ace8b2e4487acb40bcc539c602
29,r21a_colorconst_124,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,733,4611,29,,,WITHHOLD,e45d6843bb18b449d283fa2371052101d1704997ff662070481995a1841ab174
30,r21a_colorconst_125,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,992,4611,29,,,INSTALL,22ed26a756f63747d1b3083b35d89a9e85b5b81154b4698ad5e5864dcb1f5bb2
31,r21a_colorconst_126,,colorconst,SAME_SURFACE,gen_adv,SAME_SURFACE,high,31,4611,31,,,INSTALL,806b898a6aa55dab246b09e682136d5d98225b33bb2e29a36a02780fbb1976fa
32,r21a_colorconst_127,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,1281,4611,30,,,INSTALL,9ecc87c81156d69fb1d85d851a716360d495bb8fb151f7e0ce0f1c499bb56956
33,r21a_colorconst_128,,colorconst,SAME_SURFACE,gen_adv,SAME_SURFACE,low,149,4611,31,,,INSTALL,9eba12ac20df1d8e9fcc806e0a9aace15a4a708d105901909b45ea6e89434a4c
34,r21a_colorconst_129,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,818,4611,29,,,INSTALL,efa2ff615aaf7576faa24b02d5734b67ef3910276e7d3e39dc36cbd04f0e1c86
35,r21a_colorconst_13,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,415,4611,29,,,INSTALL,9154763f6c2208c3be1ba490c7ec0dd2f6e6cfed865c6455e59969597449a22a
36,r21a_colorconst_130,,colorconst,SAME_SURFACE,gen_adv,SAME_SURFACE,low,135,4611,31,,,INSTALL,149a8342c3b3d0e97cb12dbf3d4906b1dadeb0bcf5f6b578723a5607fb9b2694
37,r21a_colorconst_131,,colorconst,DIFFERENT,gen_adv,SAME_SURFACE,high,82,4611,31,,,INSTALL,d7b776724a066bf34b0769233aae92e06357d25ee9097ca791c6afb52cbff6be
38,r21a_colorconst_132,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,461,4611,29,,,WITHHOLD,e9ada663defdce42975095157007eb4770e71c6053b7481eee5cc5a8f197c050
39,r21a_colorconst_133,,colorconst,DIFFERENT,gen_adv,SAME_SURFACE,high,84,4611,31,,,INSTALL,9debc436f745cf78e200de716617c3a446903396d461a1b894be4bb32c53c9d4
40,r21a_colorconst_134,,colorconst,SAME_SURFACE,gen_adv,SAME_SURFACE,low,139,4611,31,,,INSTALL,f9b381adf4eea22aa1704b44c3031aaaa31e1b0f00787bc57dbff6cf5a4bc48b
41,r21a_colorconst_135,,colorconst,DIFFERENT,gen_adv,SAME_SURFACE,high,19,4611,31,,,INSTALL,7361e70e64731c4395c2e1bcd857cddb4109dc0b34b5fe3433c310e4cc67f33f
42,r21a_colorconst_136,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,low,186,4611,28,,,WITHHOLD,0017dbf8128bd71a7b07907f21eac550522c348e7997c14773255702ef38aba7
43,r21a_colorconst_137,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,418,4611,29,,,INSTALL,fefba570efd9895abf52710be4245c7d2472843dfa5a05dcbc21836ce76c54ad
44,r21a_colorconst_138,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,317,4611,29,,,WITHHOLD,9b1c85e5830bad02c55bcbb7ef9030bfd593c98a3c3d79dd7b8351003c93b0b3
45,r21a_colorconst_139,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,564,4611,29,,,INSTALL,27130909667c874721c59bd833b72a437f682802d3fd1aac8ce6b213f178f400
46,r21a_colorconst_14,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,366,4611,29,,,WITHHOLD,e6b78136dfe7bd378c827ed1734eab3fd627d5a339408dc7baa17a0769da5e21
47,r21a_colorconst_140,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,332,4611,29,,,WITHHOLD,794012dc5656ab86ee83fcb076ab4419c00aa967d1633158f2c6b152af0ce02c
48,r21a_colorconst_141,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,543,4611,29,,,INSTALL,f1c4106a9b9928aeffcaf3a3de032f8f0ff3a525f339143825a25749d586635c
49,r21a_colorconst_142,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,353,4611,29,,,WITHHOLD,53b96116574bf8141cbb66a3e00393f680d194803c30f79e18712fcd7d8817f9
50,r21a_colorconst_143,,colorconst,DIFFERENT,gen_adv,SAME_SURFACE,low,99,4611,30,,,WITHHOLD,bf24a79b1ce78b6b9308e627e27b59a3d00a7b2a4fa2a802310e4f4c8834a82c
51,r21a_colorconst_144,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,444,4611,29,,,WITHHOLD,57d2072306e27c4f6255381e1cbab80f0739b7870c54b8c4c1e1735dda9611c5
52,r21a_colorconst_145,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,865,4611,29,,,INSTALL,b0b5410daccb5a947901eea16f4173fa44a258cf7091190922a408ab87990462
53,r21a_colorconst_146,,colorconst,SAME_SURFACE,gen_adv,SAME_SURFACE,high,80,4611,31,,,INSTALL,7f9cd7ccb6b94c67829c040748c3101d8c2550e06e60afe62d807a8fc5588dcf
54,r21a_colorconst_147,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,1042,4611,30,,,INSTALL,f5c50a55e2fe3e6f4179eeebe72d5e2357f5c707796a5e035d297de2d7d18767
55,r21a_colorconst_148,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,794,4611,29,,,WITHHOLD,0adedd0ce8cad10bc98c669b09d27e8c7c6c01e0b1b5f3aa67b75e8c1e4286b6
56,r21a_colorconst_149,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,1055,4611,30,,,INSTALL,e7d396525b589a61d1e58ed3f0113bc3b960a4391679cab619aa3fdf36b82978
57,r21a_colorconst_15,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,1337,4611,30,,,INSTALL,82d9275b710ca792ff07bc856587d993dc39a03916379391c403008409b1c385
58,r21a_colorconst_150,,colorconst,SAME_SURFACE,gen_adv,SAME_SURFACE,high,79,4611,31,,,INSTALL,a4283b837c711b1f45308f38d7a08dded5694b25fe064a1e183da65d066d6a63
