replica,treatment_arm,control_arm,contrast,paired_lost,paired_rescued,paired_net,known_lost,known_rescued,no_unique_lost,no_unique_rescued,delta_reachable,delta_known,delta_no_unique,delta_union,delta_union_lost,delta_union_rescued,delta_hybrid,delta_hybrid_lost,delta_hybrid_rescued,delta_anchor_lost,delta_anchor_gained,delta_t0success,delta_t0unknown,delta_t0wrong,t0_successes_lost,t0_successes_rescued,t0_new_wrong_commitments,t0_wrong_commitments_removed
0,1,0,replay_minus_sequential,13,5,-8,8,5,5,0,-8,-3,-5,0,10,2,0,10,2,13,5,0,8,-8,10,10,5,13
0,2,0,balanced_mixture_minus_sequential,9,2,-7,6,2,3,0,-7,-4,-3,0,6,-1,0,6,-1,9,2,-1,14,-13,9,8,0,13
0,1,2,replay_minus_balanced_mixture,5,4,-1,3,4,2,0,-1,1,-2,0,4,3,0,4,3,4,3,1,-6,5,3,4,7,2
0,3,4,continued_A_minus_frozen_fork,19,9,-10,8,6,11,3,-10,-2,-8,0,11,1,0,12,2,19,9,-3,3,0,3,0,0,0
1,1,0,replay_minus_sequential,9,7,-2,3,2,6,5,-2,-1,-1,0,1,-1,0,0,-2,2,0,13,28,-41,13,26,2,43
1,2,0,balanced_mixture_minus_sequential,9,7,-2,4,3,5,4,-2,-1,-1,0,1,-1,0,2,0,4,2,5,14,-19,10,15,5,24
1,1,2,replay_minus_balanced_mixture,3,3,0,1,1,2,2,0,0,0,0,0,0,0,-2,-2,-2,-2,8,14,-22,9,17,2,24
1,3,4,continued_A_minus_frozen_fork,19,11,-8,8,8,11,3,-8,0,-8,0,13,5,0,14,6,19,11,4,5,-9,1,5,0,9
2,1,0,replay_minus_sequential,19,19,0,16,8,3,11,0,-8,8,0,-13,-13,0,-15,-15,-11,-11,78,272,-350,141,219,1,351
2,2,0,balanced_mixture_minus_sequential,27,22,-5,23,11,4,11,-5,-12,7,0,-14,-19,0,-17,-22,-11,-16,82,318,-400,165,247,1,401
2,1,2,replay_minus_balanced_mixture,3,8,5,3,7,0,1,5,4,1,0,1,6,0,2,7,0,5,-4,-46,50,28,24,50,0
2,3,4,continued_A_minus_frozen_fork,11,32,21,7,26,4,6,21,19,2,0,3,24,0,5,26,11,32,-38,-154,192,122,84,194,2
