replica,checkpoint,arm,name,lineage_record_presentations,reachable,known,no_unique,union,union_lost,union_rescued,hybrid,hybrid_lost,hybrid_rescued,anchor_lost,anchor_gained,t0success,t0unknown,t0wrong
0,-1,0,sequential,0,2086,1616,470,2106,20,0,2086,0,0,0,0,1395,652,113
0,-1,1,replay,0,2086,1616,470,2106,20,0,2086,0,0,0,0,1395,652,113
0,-1,2,balanced_mixture,0,2086,1616,470,2106,20,0,2086,0,0,0,0,1395,652,113
0,-1,3,continued_A,0,2086,1616,470,2106,20,0,2086,0,0,0,0,1395,652,113
0,-1,4,frozen_fork,0,2086,1616,470,2106,20,0,2086,0,0,0,0,1395,652,113
0,0,0,sequential,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,0,1,replay,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,0,2,balanced_mixture,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,0,3,continued_A,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,0,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,1,0,sequential,5400,2087,1624,463,2106,28,9,2086,12,13,11,7,1392,648,120
0,1,1,replay,5400,2088,1623,465,2106,25,7,2086,9,11,7,4,1393,641,126
0,1,2,balanced_mixture,5400,2096,1627,469,2106,20,10,2086,5,15,4,9,1394,648,118
0,1,3,continued_A,5400,2087,1624,463,2106,28,9,2086,12,13,11,7,1392,648,120
0,1,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,2,0,sequential,6480,2093,1631,462,2106,30,17,2086,13,20,14,16,1392,608,160
0,2,1,replay,6480,2090,1627,463,2106,29,13,2086,13,17,13,12,1393,635,132
0,2,2,balanced_mixture,6480,2095,1631,464,2106,25,14,2086,10,19,7,11,1394,636,130
0,2,3,continued_A,6480,2084,1623,461,2106,31,9,2086,15,13,14,7,1394,648,118
0,2,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,3,0,sequential,7560,2093,1626,467,2106,29,16,2086,14,21,10,12,1395,642,123
0,3,1,replay,7560,2095,1629,466,2106,23,12,2086,8,17,7,11,1392,643,125
0,3,2,balanced_mixture,7560,2091,1625,466,2106,26,11,2086,11,16,8,8,1392,647,121
0,3,3,continued_A,7560,2084,1623,461,2106,32,10,2086,15,13,15,8,1394,648,118
0,3,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,4,0,sequential,8640,2095,1631,464,2106,24,13,2086,8,17,0,4,1395,642,123
0,4,1,replay,8640,2095,1631,464,2106,25,14,2086,10,19,5,9,1395,632,133
0,4,2,balanced_mixture,8640,2096,1632,464,2106,25,15,2086,10,20,7,12,1393,630,137
0,4,3,continued_A,8640,2085,1624,461,2106,32,11,2086,15,14,15,9,1394,648,118
0,4,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,5,0,sequential,9720,2091,1630,461,2106,29,14,2086,14,19,12,12,1392,635,133
0,5,1,replay,9720,2095,1631,464,2106,25,14,2086,10,19,7,11,1393,635,132
0,5,2,balanced_mixture,9720,2093,1629,464,2106,27,14,2086,12,19,8,10,1392,622,146
0,5,3,continued_A,9720,2085,1625,460,2106,32,11,2086,15,14,15,9,1393,649,118
0,5,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,6,0,sequential,10800,2095,1633,462,2106,29,18,2086,13,22,15,19,1385,591,184
0,6,1,replay,10800,2094,1630,464,2106,26,14,2086,11,19,9,12,1394,622,144
0,6,2,balanced_mixture,10800,2092,1627,465,2106,27,13,2086,12,18,8,9,1392,648,120
0,6,3,continued_A,10800,2086,1626,460,2106,31,11,2086,15,15,14,9,1393,649,118
0,6,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,7,0,sequential,11880,2096,1629,467,2106,29,19,2086,15,25,11,16,1397,639,124
0,7,1,replay,11880,2095,1630,465,2106,25,14,2086,10,19,8,12,1394,637,129
0,7,2,balanced_mixture,11880,2094,1630,464,2106,26,14,2086,11,19,8,11,1391,620,149
0,7,3,continued_A,11880,2085,1626,459,2106,32,11,2086,16,15,15,9,1393,649,118
0,7,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,8,0,sequential,12960,2097,1633,464,2106,24,15,2086,9,20,1,7,1395,640,125
0,8,1,replay,12960,2096,1631,465,2106,23,13,2086,8,18,4,9,1392,647,121
0,8,2,balanced_mixture,12960,2091,1627,464,2106,27,12,2086,12,17,10,10,1392,648,120
0,8,3,continued_A,12960,2086,1626,460,2106,31,11,2086,15,15,14,9,1392,650,118
0,8,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,9,0,sequential,14040,2093,1633,460,2106,29,16,2086,14,21,12,14,1388,625,147
0,9,1,replay,14040,2096,1632,464,2106,26,16,2086,11,21,8,13,1393,629,138
0,9,2,balanced_mixture,14040,2094,1631,463,2106,27,15,2086,12,20,8,11,1392,641,127
0,9,3,continued_A,14040,2085,1626,459,2106,32,11,2086,16,15,15,9,1392,650,118
0,9,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,10,0,sequential,15120,2098,1637,461,2106,28,20,2086,13,25,13,20,1388,583,189
0,10,1,replay,15120,2094,1630,464,2106,27,15,2086,12,20,8,11,1389,645,126
0,10,2,balanced_mixture,15120,2094,1627,467,2106,24,12,2086,9,17,8,11,1393,646,121
0,10,3,continued_A,15120,2085,1626,459,2106,32,11,2086,16,15,15,9,1392,650,118
0,10,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,11,0,sequential,16200,2097,1630,467,2106,30,21,2086,16,27,12,18,1401,633,126
0,11,1,replay,16200,2092,1627,465,2106,27,13,2086,12,18,9,10,1393,644,123
0,11,2,balanced_mixture,16200,2095,1632,463,2106,27,16,2086,12,21,8,12,1391,642,127
0,11,3,continued_A,16200,2083,1624,459,2106,34,11,2086,18,15,17,9,1392,650,118
0,11,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,12,0,sequential,17280,2097,1632,465,2106,24,15,2086,9,20,1,7,1395,638,127
0,12,1,replay,17280,2092,1627,465,2106,26,12,2086,11,17,9,10,1392,646,122
0,12,2,balanced_mixture,17280,2093,1628,465,2106,26,13,2086,11,18,9,11,1393,646,121
0,12,3,continued_A,17280,2083,1624,459,2106,34,11,2086,18,15,17,9,1392,650,118
0,12,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,13,0,sequential,18360,2094,1634,460,2106,29,17,2086,14,22,12,15,1388,616,156
0,13,1,replay,18360,2091,1627,464,2106,27,12,2086,12,17,11,11,1391,650,119
0,13,2,balanced_mixture,18360,2092,1629,463,2106,28,14,2086,13,19,11,12,1392,648,120
0,13,3,continued_A,18360,2083,1624,459,2106,34,11,2086,18,15,17,9,1392,650,118
0,13,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,14,0,sequential,19440,2097,1636,461,2106,29,20,2086,14,25,14,20,1381,578,201
0,14,1,replay,19440,2095,1633,462,2106,27,16,2086,12,21,8,12,1394,641,125
0,14,2,balanced_mixture,19440,2097,1632,465,2106,24,15,2086,9,20,6,12,1397,632,131
0,14,3,continued_A,19440,2083,1624,459,2106,34,11,2086,18,15,17,9,1392,650,118
0,14,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,15,0,sequential,20520,2096,1629,467,2106,31,21,2086,17,27,13,18,1401,628,131
0,15,1,replay,20520,2092,1625,467,2106,28,14,2086,13,19,9,10,1393,645,122
0,15,2,balanced_mixture,20520,2091,1628,463,2106,28,13,2086,13,18,11,11,1392,648,120
0,15,3,continued_A,20520,2082,1624,458,2106,35,11,2086,19,15,18,9,1392,650,118
0,15,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,16,0,sequential,21600,2098,1632,466,2106,23,15,2086,8,20,1,8,1397,634,129
0,16,1,replay,21600,2094,1630,464,2106,25,13,2086,10,18,6,9,1392,645,123
0,16,2,balanced_mixture,21600,2096,1632,464,2106,25,15,2086,10,20,7,12,1396,631,133
0,16,3,continued_A,21600,2083,1625,458,2106,34,11,2086,19,16,17,9,1392,650,118
0,16,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,17,0,sequential,22680,2095,1635,460,2106,29,18,2086,14,23,12,16,1388,607,165
0,17,1,replay,22680,2094,1631,463,2106,27,15,2086,12,20,9,12,1396,636,128
0,17,2,balanced_mixture,22680,2094,1628,466,2106,25,13,2086,11,19,9,12,1396,638,126
0,17,3,continued_A,22680,2083,1625,458,2106,34,11,2086,19,16,17,9,1392,650,118
0,17,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,18,0,sequential,23760,2095,1636,459,2106,31,20,2086,17,26,16,20,1369,570,221
0,18,1,replay,23760,2093,1632,461,2106,30,17,2086,16,23,14,16,1393,623,144
0,18,2,balanced_mixture,23760,2092,1629,463,2106,28,14,2086,13,19,9,10,1393,647,120
0,18,3,continued_A,23760,2082,1625,457,2106,35,11,2086,20,16,18,9,1392,650,118
0,18,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,19,0,sequential,24840,2097,1630,467,2106,30,21,2086,16,27,12,18,1399,630,131
0,19,1,replay,24840,2091,1625,466,2106,28,13,2086,13,18,10,10,1393,650,117
0,19,2,balanced_mixture,24840,2094,1628,466,2106,25,13,2086,11,19,9,12,1396,642,122
0,19,3,continued_A,24840,2083,1625,458,2106,34,11,2086,19,16,17,9,1392,650,118
0,19,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,20,0,sequential,25920,2098,1632,466,2106,23,15,2086,8,20,1,8,1395,634,131
0,20,1,replay,25920,2092,1629,463,2106,27,13,2086,12,18,8,9,1394,644,122
0,20,2,balanced_mixture,25920,2092,1629,463,2106,28,14,2086,13,19,9,10,1393,647,120
0,20,3,continued_A,25920,2083,1625,458,2106,34,11,2086,19,16,17,9,1392,650,118
0,20,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,21,0,sequential,27000,2095,1635,460,2106,29,18,2086,14,23,12,16,1389,607,164
0,21,1,replay,27000,2093,1629,464,2106,26,13,2086,11,18,8,10,1392,644,124
0,21,2,balanced_mixture,27000,2093,1629,464,2106,27,14,2086,12,19,8,10,1395,643,122
0,21,3,continued_A,27000,2082,1625,457,2106,35,11,2086,20,16,18,9,1392,650,118
0,21,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,22,0,sequential,28080,2095,1635,460,2106,31,20,2086,16,25,16,20,1372,571,217
0,22,1,replay,28080,2092,1631,461,2106,29,15,2086,15,21,13,14,1393,623,144
0,22,2,balanced_mixture,28080,2090,1627,463,2106,29,13,2086,14,18,12,11,1394,639,127
0,22,3,continued_A,28080,2082,1625,457,2106,35,11,2086,20,16,18,9,1392,650,118
0,22,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,23,0,sequential,29160,2098,1630,468,2106,29,21,2086,15,27,12,19,1400,628,132
0,23,1,replay,29160,2086,1622,464,2106,33,13,2086,18,18,15,10,1393,644,123
0,23,2,balanced_mixture,29160,2094,1630,464,2106,26,14,2086,11,19,7,10,1395,642,123
0,23,3,continued_A,29160,2082,1625,457,2106,35,11,2086,20,16,18,9,1392,650,118
0,23,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,24,0,sequential,30240,2097,1632,465,2106,24,15,2086,9,20,1,7,1392,636,132
0,24,1,replay,30240,2091,1628,463,2106,28,13,2086,13,18,10,10,1391,646,123
0,24,2,balanced_mixture,30240,2089,1626,463,2106,29,12,2086,14,17,12,10,1393,645,122
0,24,3,continued_A,30240,2081,1625,456,2106,36,11,2086,21,16,19,9,1392,650,118
0,24,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,25,0,sequential,31320,2095,1635,460,2106,29,18,2086,14,23,12,16,1388,608,164
0,25,1,replay,31320,2094,1631,463,2106,28,16,2086,13,21,10,13,1392,638,130
0,25,2,balanced_mixture,31320,2094,1631,463,2106,28,16,2086,13,21,8,11,1393,645,122
0,25,3,continued_A,31320,2081,1625,456,2106,36,11,2086,21,16,19,9,1392,650,118
0,25,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,26,0,sequential,32400,2097,1637,460,2106,29,20,2086,15,26,14,20,1377,574,209
0,26,1,replay,32400,2097,1633,464,2106,28,19,2086,13,24,10,16,1393,616,151
0,26,2,balanced_mixture,32400,2088,1624,464,2106,30,12,2086,15,17,14,11,1391,647,122
0,26,3,continued_A,32400,2081,1625,456,2106,36,11,2086,21,16,19,9,1392,650,118
0,26,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,27,0,sequential,33480,2098,1630,468,2106,29,21,2086,15,27,12,19,1396,631,133
0,27,1,replay,33480,2087,1622,465,2106,33,14,2086,18,19,15,11,1391,644,125
0,27,2,balanced_mixture,33480,2093,1630,463,2106,28,15,2086,13,20,8,10,1393,647,120
0,27,3,continued_A,33480,2081,1625,456,2106,36,11,2086,21,16,19,9,1392,650,118
0,27,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,28,0,sequential,34560,2098,1632,466,2106,23,15,2086,8,20,1,8,1393,633,134
0,28,1,replay,34560,2087,1625,462,2106,31,12,2086,16,17,14,10,1392,646,122
0,28,2,balanced_mixture,34560,2090,1626,464,2106,29,13,2086,14,18,13,12,1392,648,120
0,28,3,continued_A,34560,2081,1625,456,2106,36,11,2086,21,16,19,9,1392,650,118
0,28,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,29,0,sequential,35640,2096,1636,460,2106,29,19,2086,14,24,11,16,1391,604,165
0,29,1,replay,35640,2094,1627,467,2106,25,13,2086,11,19,12,15,1393,645,122
0,29,2,balanced_mixture,35640,2091,1627,464,2106,28,13,2086,13,18,13,13,1393,648,119
0,29,3,continued_A,35640,2081,1625,456,2106,36,11,2086,21,16,19,9,1392,650,118
0,29,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,30,0,sequential,36720,2095,1636,459,2106,31,20,2086,17,26,16,20,1372,573,215
0,30,1,replay,36720,2096,1634,462,2106,27,17,2086,12,22,8,13,1391,639,130
0,30,2,balanced_mixture,36720,2092,1629,463,2106,27,13,2086,12,18,9,10,1394,645,121
0,30,3,continued_A,36720,2081,1625,456,2106,36,11,2086,21,16,19,9,1392,650,118
0,30,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,31,0,sequential,37800,2097,1629,468,2106,30,21,2086,16,27,13,19,1397,630,133
0,31,1,replay,37800,2088,1623,465,2106,32,14,2086,17,19,14,11,1394,643,123
0,31,2,balanced_mixture,37800,2091,1627,464,2106,28,13,2086,13,18,13,13,1392,650,118
0,31,3,continued_A,37800,2081,1625,456,2106,36,11,2086,21,16,19,9,1392,650,118
0,31,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,32,0,sequential,38880,2098,1632,466,2106,23,15,2086,8,20,1,8,1393,634,133
0,32,1,replay,38880,2090,1629,461,2106,33,17,2086,18,22,14,13,1393,642,125
0,32,2,balanced_mixture,38880,2091,1628,463,2106,29,14,2086,14,19,10,10,1392,648,120
0,32,3,continued_A,38880,2081,1625,456,2106,36,11,2086,21,16,19,9,1392,650,118
0,32,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
1,-1,0,sequential,0,2081,1620,461,2110,29,0,2081,0,0,0,0,1385,673,102
1,-1,1,replay,0,2081,1620,461,2110,29,0,2081,0,0,0,0,1385,673,102
1,-1,2,balanced_mixture,0,2081,1620,461,2110,29,0,2081,0,0,0,0,1385,673,102
1,-1,3,continued_A,0,2081,1620,461,2110,29,0,2081,0,0,0,0,1385,673,102
