replica,arm,name,cohort,anchor_successes,ever_lost,never_lost,regained_at_final,missing_at_final,worst_simultaneous_loss,final_retained_fraction
0,0,sequential,A,519,11,508,11,0,7,1.0
0,0,sequential,B,521,8,513,8,0,4,1.0
0,0,sequential,C,523,9,514,8,1,6,0.9980879541108987
0,0,sequential,D,528,3,525,3,0,2,1.0
0,1,replay,A,519,11,508,7,4,7,0.9922928709055877
0,1,replay,B,521,5,516,2,3,3,0.9942418426103646
0,1,replay,C,523,6,517,1,5,6,0.9904397705544933
0,1,replay,D,528,2,526,0,2,2,0.9962121212121212
0,2,balanced_mixture,A,519,9,510,6,3,6,0.9942196531791907
0,2,balanced_mixture,B,521,3,518,1,2,2,0.9961612284069098
0,2,balanced_mixture,C,523,5,518,1,4,5,0.9923518164435946
0,2,balanced_mixture,D,528,2,526,1,1,2,0.9981060606060606
0,3,continued_A,A,519,8,511,1,7,7,0.9865125240847784
0,3,continued_A,B,521,5,516,1,4,4,0.9923224568138196
0,3,continued_A,C,523,6,517,0,6,6,0.988527724665392
0,3,continued_A,D,528,2,526,0,2,2,0.9962121212121212
0,4,frozen_fork,A,519,0,519,0,0,0,1.0
0,4,frozen_fork,B,521,0,521,0,0,0,1.0
0,4,frozen_fork,C,523,0,523,0,0,0,1.0
0,4,frozen_fork,D,528,0,528,0,0,0,1.0
1,0,sequential,A,514,7,507,6,1,4,0.9980544747081712
1,0,sequential,B,513,8,505,4,4,6,0.9922027290448343
1,0,sequential,C,527,12,515,9,3,6,0.9943074003795066
1,0,sequential,D,527,8,519,7,1,5,0.9981024667931688
1,1,replay,A,514,4,510,2,2,3,0.9961089494163424
1,1,replay,B,513,8,505,5,3,6,0.9941520467836257
1,1,replay,C,527,8,519,5,3,4,0.9943074003795066
1,1,replay,D,527,6,521,3,3,4,0.9943074003795066
1,2,balanced_mixture,A,514,5,509,3,2,4,0.9961089494163424
1,2,balanced_mixture,B,513,5,508,2,3,5,0.9941520467836257
1,2,balanced_mixture,C,527,8,519,3,5,7,0.9905123339658444
1,2,balanced_mixture,D,527,4,523,1,3,3,0.9943074003795066
1,3,continued_A,A,514,3,511,0,3,3,0.9941634241245136
1,3,continued_A,B,513,7,506,0,7,7,0.98635477582846
1,3,continued_A,C,527,6,521,0,6,6,0.9886148007590133
1,3,continued_A,D,527,3,524,0,3,3,0.9943074003795066
1,4,frozen_fork,A,514,0,514,0,0,0,1.0
1,4,frozen_fork,B,513,0,513,0,0,0,1.0
1,4,frozen_fork,C,527,0,527,0,0,0,1.0
1,4,frozen_fork,D,527,0,527,0,0,0,1.0
2,0,sequential,A,519,14,505,10,4,8,0.9922928709055877
2,0,sequential,B,521,11,510,8,3,4,0.9942418426103646
2,0,sequential,C,521,5,516,3,2,2,0.9961612284069098
2,0,sequential,D,521,18,503,10,8,9,0.9846449136276392
2,1,replay,A,519,10,509,8,2,4,0.9961464354527938
2,1,replay,B,521,4,517,4,0,2,1.0
2,1,replay,C,521,4,517,2,2,3,0.9961612284069098
2,1,replay,D,521,10,511,8,2,5,0.9961612284069098
2,2,balanced_mixture,A,519,3,516,0,3,3,0.9942196531791907
2,2,balanced_mixture,B,521,4,517,4,0,2,1.0
2,2,balanced_mixture,C,521,2,519,1,1,1,0.9980806142034548
2,2,balanced_mixture,D,521,6,515,4,2,4,0.9961612284069098
2,3,continued_A,A,519,6,513,3,3,6,0.9942196531791907
2,3,continued_A,B,521,3,518,1,2,3,0.9961612284069098
2,3,continued_A,C,521,2,519,0,2,2,0.9961612284069098
2,3,continued_A,D,521,6,515,2,4,5,0.9923224568138196
2,4,frozen_fork,A,519,0,519,0,0,0,1.0
2,4,frozen_fork,B,521,0,521,0,0,0,1.0
2,4,frozen_fork,C,521,0,521,0,0,0,1.0
2,4,frozen_fork,D,521,0,521,0,0,0,1.0
