replica,checkpoint,arm,name,lineage_record_presentations,reachable,known,no_unique,union,union_lost,union_rescued,hybrid,hybrid_lost,hybrid_rescued,anchor_lost,anchor_gained,t0success,t0unknown,t0wrong
0,0,0,sequential,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,0,1,replay,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,0,2,balanced_mixture,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,0,3,continued_A,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,0,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,4,0,sequential,8640,2095,1631,464,2106,24,13,2086,8,17,0,4,1395,642,123
0,4,1,replay,8640,2095,1631,464,2106,25,14,2086,10,19,5,9,1395,632,133
0,4,2,balanced_mixture,8640,2096,1632,464,2106,25,15,2086,10,20,7,12,1393,630,137
0,4,3,continued_A,8640,2085,1624,461,2106,32,11,2086,15,14,15,9,1394,648,118
0,4,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,8,0,sequential,12960,2097,1633,464,2106,24,15,2086,9,20,1,7,1395,640,125
0,8,1,replay,12960,2096,1631,465,2106,23,13,2086,8,18,4,9,1392,647,121
0,8,2,balanced_mixture,12960,2091,1627,464,2106,27,12,2086,12,17,10,10,1392,648,120
0,8,3,continued_A,12960,2086,1626,460,2106,31,11,2086,15,15,14,9,1392,650,118
0,8,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,12,0,sequential,17280,2097,1632,465,2106,24,15,2086,9,20,1,7,1395,638,127
0,12,1,replay,17280,2092,1627,465,2106,26,12,2086,11,17,9,10,1392,646,122
0,12,2,balanced_mixture,17280,2093,1628,465,2106,26,13,2086,11,18,9,11,1393,646,121
0,12,3,continued_A,17280,2083,1624,459,2106,34,11,2086,18,15,17,9,1392,650,118
0,12,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,16,0,sequential,21600,2098,1632,466,2106,23,15,2086,8,20,1,8,1397,634,129
0,16,1,replay,21600,2094,1630,464,2106,25,13,2086,10,18,6,9,1392,645,123
0,16,2,balanced_mixture,21600,2096,1632,464,2106,25,15,2086,10,20,7,12,1396,631,133
0,16,3,continued_A,21600,2083,1625,458,2106,34,11,2086,19,16,17,9,1392,650,118
0,16,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,20,0,sequential,25920,2098,1632,466,2106,23,15,2086,8,20,1,8,1395,634,131
0,20,1,replay,25920,2092,1629,463,2106,27,13,2086,12,18,8,9,1394,644,122
0,20,2,balanced_mixture,25920,2092,1629,463,2106,28,14,2086,13,19,9,10,1393,647,120
0,20,3,continued_A,25920,2083,1625,458,2106,34,11,2086,19,16,17,9,1392,650,118
0,20,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,24,0,sequential,30240,2097,1632,465,2106,24,15,2086,9,20,1,7,1392,636,132
0,24,1,replay,30240,2091,1628,463,2106,28,13,2086,13,18,10,10,1391,646,123
0,24,2,balanced_mixture,30240,2089,1626,463,2106,29,12,2086,14,17,12,10,1393,645,122
0,24,3,continued_A,30240,2081,1625,456,2106,36,11,2086,21,16,19,9,1392,650,118
0,24,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,28,0,sequential,34560,2098,1632,466,2106,23,15,2086,8,20,1,8,1393,633,134
0,28,1,replay,34560,2087,1625,462,2106,31,12,2086,16,17,14,10,1392,646,122
0,28,2,balanced_mixture,34560,2090,1626,464,2106,29,13,2086,14,18,13,12,1392,648,120
0,28,3,continued_A,34560,2081,1625,456,2106,36,11,2086,21,16,19,9,1392,650,118
0,28,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
0,32,0,sequential,38880,2098,1632,466,2106,23,15,2086,8,20,1,8,1393,634,133
0,32,1,replay,38880,2090,1629,461,2106,33,17,2086,18,22,14,13,1393,642,125
0,32,2,balanced_mixture,38880,2091,1628,463,2106,29,14,2086,14,19,10,10,1392,648,120
0,32,3,continued_A,38880,2081,1625,456,2106,36,11,2086,21,16,19,9,1392,650,118
0,32,4,frozen_fork,4320,2091,1627,464,2106,25,10,2086,9,14,0,0,1395,647,118
1,0,0,sequential,4320,2081,1618,463,2110,31,2,2081,7,7,0,0,1384,671,105
1,0,1,replay,4320,2081,1618,463,2110,31,2,2081,7,7,0,0,1384,671,105
1,0,2,balanced_mixture,4320,2081,1618,463,2110,31,2,2081,7,7,0,0,1384,671,105
1,0,3,continued_A,4320,2081,1618,463,2110,31,2,2081,7,7,0,0,1384,671,105
1,0,4,frozen_fork,4320,2081,1618,463,2110,31,2,2081,7,7,0,0,1384,671,105
1,4,0,sequential,8640,2081,1618,463,2110,31,2,2081,7,7,0,0,1385,671,104
1,4,1,replay,8640,2080,1621,459,2110,34,4,2081,8,7,10,9,1384,671,105
