replica,phase,checkpoint,arm,changed_coefficients,l1_delta,accepted_updates
0,0,1,0,112,13918,365
0,0,2,0,107,13990,365
0,0,3,0,109,18138,396
0,0,4,0,111,21469,367
0,1,1,0,110,20491,376
0,1,1,1,107,15662,373
0,1,1,2,113,13170,370
0,1,1,3,110,20491,376
0,1,2,0,114,14034,384
0,1,2,1,106,7026,331
0,1,2,2,109,11674,378
0,1,2,3,100,3485,285
0,1,3,0,109,18399,398
0,1,3,1,114,10301,371
0,1,3,2,108,8523,342
0,1,3,3,79,1971,217
0,1,4,0,114,21303,377
0,1,4,1,106,7379,357
0,1,4,2,112,9199,366
0,1,4,3,68,1557,183
0,1,5,0,111,20323,375
0,1,5,1,104,6724,316
0,1,5,2,103,5991,287
0,1,5,3,60,1305,158
0,1,6,0,113,14047,387
0,1,6,1,110,7166,361
0,1,6,2,113,11914,372
0,1,6,3,58,1227,151
0,1,7,0,111,18390,395
0,1,7,1,107,6030,312
0,1,7,2,108,10534,317
0,1,7,3,53,961,140
0,1,8,0,111,21180,364
0,1,8,1,107,12737,358
0,1,8,2,107,11252,346
0,1,8,3,49,663,115
0,1,9,0,114,20513,388
0,1,9,1,110,12443,332
0,1,9,2,102,6135,312
0,1,9,3,47,622,103
0,1,10,0,113,14571,390
0,1,10,1,106,13014,339
0,1,10,2,109,7361,363
0,1,10,3,47,654,113
0,1,11,0,110,18344,386
0,1,11,1,110,11237,345
0,1,11,2,106,7409,331
0,1,11,3,41,535,110
0,1,12,0,111,20977,372
0,1,12,1,105,7008,318
0,1,12,2,105,7512,341
0,1,12,3,42,415,95
0,1,13,0,111,20503,385
0,1,13,1,107,6515,322
0,1,13,2,105,5598,328
0,1,13,3,33,263,72
0,1,14,0,112,14641,383
0,1,14,1,104,7963,326
0,1,14,2,108,10597,342
0,1,14,3,31,289,68
0,1,15,0,112,18667,393
0,1,15,1,107,11708,353
0,1,15,2,109,9234,351
0,1,15,3,40,510,86
0,1,16,0,109,20946,362
0,1,16,1,108,11044,354
0,1,16,2,108,9597,329
0,1,16,3,34,487,74
0,1,17,0,112,20516,379
0,1,17,1,107,10131,333
0,1,17,2,104,5680,307
0,1,17,3,30,248,69
0,1,18,0,110,14655,386
0,1,18,1,108,8679,344
0,1,18,2,107,11460,355
0,1,18,3,33,309,77
0,1,19,0,109,18680,400
0,1,19,1,113,12361,362
0,1,19,2,103,9527,351
0,1,19,3,26,173,60
0,1,20,0,111,20927,376
0,1,20,1,105,7122,341
0,1,20,2,112,10298,347
0,1,20,3,20,116,36
0,1,21,0,112,20498,385
0,1,21,1,101,6567,305
0,1,21,2,105,7525,331
0,1,21,3,15,100,31
0,1,22,0,111,14806,380
0,1,22,1,108,7986,364
0,1,22,2,110,7720,361
0,1,22,3,22,166,43
0,1,23,0,110,18810,388
0,1,23,1,109,10828,343
0,1,23,2,109,7361,342
0,1,23,3,23,151,49
0,1,24,0,114,20996,381
0,1,24,1,108,9620,362
0,1,24,2,110,7486,354
0,1,24,3,22,129,40
0,1,25,0,113,20631,390
0,1,25,1,102,7611,292
0,1,25,2,98,7137,283
0,1,25,3,19,138,37
0,1,26,0,112,14900,387
0,1,26,1,99,7185,297
0,1,26,2,112,10536,333
0,1,26,3,10,67,27
0,1,27,0,113,18991,407
0,1,27,1,107,6417,315
0,1,27,2,106,9786,330
0,1,27,3,3,3,3
0,1,28,0,113,20852,371
0,1,28,1,107,8477,331
0,1,28,2,109,10025,324
0,1,28,3,0,0,0
0,1,29,0,110,20353,387
0,1,29,1,104,5136,299
0,1,29,2,109,7180,338
0,1,29,3,0,0,0
0,1,30,0,112,14808,381
0,1,30,1,104,6118,299
0,1,30,2,109,10777,358
0,1,30,3,0,0,0
0,1,31,0,111,18891,403
0,1,31,1,108,10750,359
0,1,31,2,109,9962,349
0,1,31,3,0,0,0
0,1,32,0,112,20946,366
0,1,32,1,111,12239,378
0,1,32,2,112,10176,356
0,1,32,3,0,0,0
1,0,1,0,114,24036,393
1,0,2,0,112,28442,378
1,0,3,0,112,17280,371
1,0,4,0,110,15344,384
1,1,1,0,115,24304,372
1,1,1,1,112,15492,382
1,1,1,2,112,14168,366
1,1,1,3,115,24304,372
1,1,2,0,114,26354,392
1,1,2,1,110,10166,357
1,1,2,2,110,14458,352
1,1,2,3,89,4206,255
1,1,3,0,109,17169,361
1,1,3,1,101,6839,300
1,1,3,2,107,14397,355
1,1,3,3,72,1509,187
1,1,4,0,110,15542,389
1,1,4,1,109,13243,370
1,1,4,2,110,14357,356
1,1,4,3,59,944,163
1,1,5,0,113,23613,375
1,1,5,1,104,9187,329
1,1,5,2,103,7869,322
1,1,5,3,50,809,133
1,1,6,0,112,26220,393
1,1,6,1,109,9812,346
1,1,6,2,108,11692,345
1,1,6,3,49,585,126
1,1,7,0,113,17303,381
1,1,7,1,110,11751,348
1,1,7,2,110,9320,331
1,1,7,3,31,324,83
1,1,8,0,110,15341,388
1,1,8,1,110,10095,356
1,1,8,2,107,9633,329
1,1,8,3,32,337,62
1,1,9,0,112,23692,372
1,1,9,1,106,7603,347
1,1,9,2,105,10036,343
1,1,9,3,22,195,41
1,1,10,0,114,26236,389
1,1,10,1,112,11843,355
1,1,10,2,103,15613,341
1,1,10,3,20,150,39
