replica,checkpoint,arm,cohort,reachable,known,no_unique,union,union_lost,union_rescued,hybrid,hybrid_lost,hybrid_rescued,anchor_lost,anchor_gained,t0success,t0unknown,t0wrong
0,-1,0,A,518,398,120,520,2,0,518,0,0,0,0,361,155,24
0,-1,0,B,519,403,116,527,8,0,519,0,0,0,0,339,178,23
0,-1,0,C,523,406,117,528,5,0,523,0,0,0,0,336,167,37
0,-1,0,D,526,409,117,531,5,0,526,0,0,0,0,359,152,29
0,-1,1,A,518,398,120,520,2,0,518,0,0,0,0,361,155,24
0,-1,1,B,519,403,116,527,8,0,519,0,0,0,0,339,178,23
0,-1,1,C,523,406,117,528,5,0,523,0,0,0,0,336,167,37
0,-1,1,D,526,409,117,531,5,0,526,0,0,0,0,359,152,29
0,-1,2,A,518,398,120,520,2,0,518,0,0,0,0,361,155,24
0,-1,2,B,519,403,116,527,8,0,519,0,0,0,0,339,178,23
0,-1,2,C,523,406,117,528,5,0,523,0,0,0,0,336,167,37
0,-1,2,D,526,409,117,531,5,0,526,0,0,0,0,359,152,29
0,-1,3,A,518,398,120,520,2,0,518,0,0,0,0,361,155,24
0,-1,3,B,519,403,116,527,8,0,519,0,0,0,0,339,178,23
0,-1,3,C,523,406,117,528,5,0,523,0,0,0,0,336,167,37
0,-1,3,D,526,409,117,531,5,0,526,0,0,0,0,359,152,29
0,-1,4,A,518,398,120,520,2,0,518,0,0,0,0,361,155,24
0,-1,4,B,519,403,116,527,8,0,519,0,0,0,0,339,178,23
0,-1,4,C,523,406,117,528,5,0,523,0,0,0,0,336,167,37
0,-1,4,D,526,409,117,531,5,0,526,0,0,0,0,359,152,29
0,0,0,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,0,0,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,0,0,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,0,0,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,0,1,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,0,1,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,0,1,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,0,1,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
