total n=44 judgment_acc=28 installs=34 correct_installs=23 false_installs=11 withholds=2 suppressions=0 revise_installs=0 corroborations=8 negative_evidence=0
fam PTC-4 n=4 judgment_acc=4 installs=2 correct_installs=2 false_installs=0 withholds=1 suppressions=0 revise_installs=0 corroborations=1 negative_evidence=0
fam PTC-5 n=4 judgment_acc=4 installs=4 correct_installs=4 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam TMB-4 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam TMB-5 n=20 judgment_acc=8 installs=13 correct_installs=5 false_installs=8 withholds=1 suppressions=0 revise_installs=0 corroborations=6 negative_evidence=0
fam COL-4 n=16 judgment_acc=12 installs=15 correct_installs=12 false_installs=3 withholds=0 suppressions=0 revise_installs=0 corroborations=1 negative_evidence=0
fam COL-5 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam CCN-3 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam CCN-4 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam SHP-4 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam SHP-5 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam MOT-4 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam MOT-5 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
