total n=288 judgment_acc=154 installs=8 correct_installs=6 false_installs=2 withholds=228 suppressions=11 revise_installs=0 corroborations=2 negative_evidence=39
fam PTC-4 n=24 judgment_acc=20 installs=1 correct_installs=1 false_installs=0 withholds=23 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam PTC-5 n=24 judgment_acc=24 installs=3 correct_installs=3 false_installs=0 withholds=19 suppressions=1 revise_installs=0 corroborations=0 negative_evidence=1
fam TMB-4 n=24 judgment_acc=9 installs=0 correct_installs=0 false_installs=0 withholds=12 suppressions=9 revise_installs=0 corroborations=0 negative_evidence=3
fam TMB-5 n=24 judgment_acc=9 installs=3 correct_installs=2 false_installs=1 withholds=17 suppressions=1 revise_installs=0 corroborations=2 negative_evidence=1
fam COL-4 n=24 judgment_acc=12 installs=1 correct_installs=0 false_installs=1 withholds=23 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam COL-5 n=24 judgment_acc=12 installs=0 correct_installs=0 false_installs=0 withholds=24 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam CCN-3 n=24 judgment_acc=12 installs=0 correct_installs=0 false_installs=0 withholds=24 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam CCN-4 n=24 judgment_acc=13 installs=0 correct_installs=0 false_installs=0 withholds=24 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam SHP-4 n=24 judgment_acc=8 installs=0 correct_installs=0 false_installs=0 withholds=23 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=1
fam SHP-5 n=24 judgment_acc=10 installs=0 correct_installs=0 false_installs=0 withholds=24 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam MOT-4 n=24 judgment_acc=12 installs=0 correct_installs=0 false_installs=0 withholds=15 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=9
fam MOT-5 n=24 judgment_acc=13 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=24
