total n=52 judgment_acc=28 installs=6 correct_installs=3 false_installs=3 withholds=41 suppressions=0 revise_installs=1 corroborations=5 negative_evidence=0
fam PTC-4 n=5 judgment_acc=4 installs=1 correct_installs=1 false_installs=0 withholds=4 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam PTC-5 n=4 judgment_acc=4 installs=1 correct_installs=1 false_installs=0 withholds=3 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam TMB-4 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam TMB-5 n=24 judgment_acc=8 installs=3 correct_installs=1 false_installs=2 withholds=16 suppressions=0 revise_installs=1 corroborations=5 negative_evidence=0
fam COL-4 n=19 judgment_acc=12 installs=1 correct_installs=0 false_installs=1 withholds=18 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam COL-5 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam CCN-3 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam CCN-4 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam SHP-4 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam SHP-5 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam MOT-4 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam MOT-5 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
