total n=44 judgment_acc=28 installs=8 correct_installs=4 false_installs=4 withholds=1 suppressions=0 revise_installs=1 corroborations=35 negative_evidence=0
fam PTC-4 n=4 judgment_acc=4 installs=2 correct_installs=2 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=2 negative_evidence=0
fam PTC-5 n=4 judgment_acc=4 installs=1 correct_installs=1 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=3 negative_evidence=0
fam TMB-4 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam TMB-5 n=20 judgment_acc=8 installs=3 correct_installs=1 false_installs=2 withholds=1 suppressions=0 revise_installs=1 corroborations=16 negative_evidence=0
fam COL-4 n=16 judgment_acc=12 installs=2 correct_installs=0 false_installs=2 withholds=0 suppressions=0 revise_installs=0 corroborations=14 negative_evidence=0
fam COL-5 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam CCN-3 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam CCN-4 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam SHP-4 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam SHP-5 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam MOT-4 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam MOT-5 n=0 judgment_acc=0 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
