total n=288 judgment_acc=154 installs=22 correct_installs=13 false_installs=9 withholds=149 suppressions=11 revise_installs=7 corroborations=67 negative_evidence=39
fam PTC-4 n=24 judgment_acc=20 installs=4 correct_installs=4 false_installs=0 withholds=19 suppressions=0 revise_installs=0 corroborations=1 negative_evidence=0
fam PTC-5 n=24 judgment_acc=24 installs=2 correct_installs=2 false_installs=0 withholds=18 suppressions=1 revise_installs=2 corroborations=2 negative_evidence=1
fam TMB-4 n=24 judgment_acc=9 installs=1 correct_installs=1 false_installs=0 withholds=11 suppressions=9 revise_installs=0 corroborations=0 negative_evidence=3
fam TMB-5 n=24 judgment_acc=9 installs=7 correct_installs=4 false_installs=3 withholds=6 suppressions=1 revise_installs=5 corroborations=9 negative_evidence=1
fam COL-4 n=24 judgment_acc=12 installs=2 correct_installs=0 false_installs=2 withholds=0 suppressions=0 revise_installs=0 corroborations=22 negative_evidence=0
fam COL-5 n=24 judgment_acc=12 installs=0 correct_installs=0 false_installs=0 withholds=24 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam CCN-3 n=24 judgment_acc=12 installs=0 correct_installs=0 false_installs=0 withholds=24 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam CCN-4 n=24 judgment_acc=13 installs=0 correct_installs=0 false_installs=0 withholds=24 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=0
fam SHP-4 n=24 judgment_acc=8 installs=2 correct_installs=2 false_installs=0 withholds=2 suppressions=0 revise_installs=0 corroborations=19 negative_evidence=1
fam SHP-5 n=24 judgment_acc=10 installs=0 correct_installs=0 false_installs=0 withholds=11 suppressions=0 revise_installs=0 corroborations=13 negative_evidence=0
fam MOT-4 n=24 judgment_acc=12 installs=4 correct_installs=0 false_installs=4 withholds=10 suppressions=0 revise_installs=0 corroborations=1 negative_evidence=9
fam MOT-5 n=24 judgment_acc=13 installs=0 correct_installs=0 false_installs=0 withholds=0 suppressions=0 revise_installs=0 corroborations=0 negative_evidence=24
