0|0|rt4_COL-4_0006.r24|PROVISIONAL_INSTALL|new|SAME
1|0|rt4_COL-4_0016.r24|PERMANENT_INSTALL|corroborated|SAME
2|0|rt4_COL-4_0003.r24|CORROBORATED|perm|SAME
3|0|rt4_COL-4_0000.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=1|SAME
4|0|rt4_COL-4_0007.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=1|DIFFERENT
5|0|rt4_COL-4_0012.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=1|DIFFERENT
6|0|rt4_COL-4_0014.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=1|DIFFERENT
7|0|rt4_COL-4_0002.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=1|DIFFERENT
8|0|rt4_COL-4_0015.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=1|DIFFERENT
9|0|rt4_COL-4_0017.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=1|DIFFERENT
10|0|rt4_COL-4_0022.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=1|DIFFERENT
11|0|rt4_COL-4_0019.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=1|DIFFERENT
12|0|rt4_COL-4_0001.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=1|DIFFERENT
13|0|rt4_COL-4_0004.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=1|DIFFERENT
14|0|rt4_COL-4_0009.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=1|DIFFERENT
15|0|rt4_COL-4_0020.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=1|DIFFERENT
16|3|rt4_PTC-4_0000.r24|ACCEPT_INSTALL|det_ind oldon=0 oldj=0|HIGHER
17|3|rt4_PTC-5_0011.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=1|HIGHER
18|3|rt4_PTC-4_0020.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=1|HIGHER
19|3|rt4_PTC-4_0003.r24|CONFLICT_WITHHELD|perm_seq=18|LOWER
20|3|rt4_PTC-5_0012.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=1|LOWER
21|3|rt4_PTC-5_0005.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=2|LOWER
22|3|rt4_PTC-4_0016.r24|CORROBORATED|perm-measure-diff|LOWER
23|3|rt4_PTC-5_0023.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=2|LOWER
24|4|rt4_TMB-5_0006.r24|ACCEPT_INSTALL|det_ind oldon=0 oldj=0|DARK
25|4|rt4_TMB-5_0014.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=2|DARK
26|4|rt4_TMB-5_0000.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=2|DARK
27|4|rt4_TMB-5_0010.r24|CORROBORATED|perm|BRIGHT
28|4|rt4_TMB-5_0022.r24|CORROBORATED|perm|BRIGHT
29|4|rt4_TMB-5_0021.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=2|DARK
30|4|rt4_TMB-5_0002.r24|CORROBORATED|perm|BRIGHT
31|4|rt4_TMB-5_0013.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=2|DARK
32|4|rt4_TMB-5_0016.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=2|DARK
33|4|rt4_TMB-5_0018.r24|CORROBORATED|perm|DARK
34|4|rt4_TMB-5_0008.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=2|DARK
35|4|rt4_TMB-5_0011.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=2|DARK
36|4|rt4_TMB-5_0020.r24|CONFLICT_WITHHELD|perm_seq=35|BRIGHT
37|4|rt4_TMB-5_0005.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=2|BRIGHT
38|4|rt4_TMB-5_0009.r24|CORROBORATED|perm|BRIGHT
39|4|rt4_TMB-5_0012.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=3|BRIGHT
40|4|rt4_TMB-5_0015.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=3|BRIGHT
41|4|rt4_TMB-5_0023.r24|CORROBORATED|perm|BRIGHT
42|4|rt4_TMB-5_0004.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=3|BRIGHT
43|4|rt4_TMB-5_0017.r24|ACCEPT_INSTALL|det_ind oldon=1 oldj=3|BRIGHT
