# hash-chained ledger
# genesis_sha256=612075f5d9ad36d47d8084bdfd33a8cbe91e484c2bb07f55d163f66652303296
0|prev=612075f5d9ad36d47d8084bdfd33a8cbe91e484c2bb07f55d163f66652303296|event=RUN_START|data=corpus=rconf records=370|hash=538d23e29478acc1c79880a9db41a689c30f8e07d1dcead0d3556d8cc48ca0ac
1|prev=538d23e29478acc1c79880a9db41a689c30f8e07d1dcead0d3556d8cc48ca0ac|event=RUN_END|data=runs=2 byte_identical=true digest=407fe63e1760ff71cbe9cd32dc94b6335e2240c590b69a6d0f11ed00703c0b3d|hash=03069071507e4eff3bd36ba7f4eedccda73f537927b999d40ae70c54a1df0d9e
2|prev=03069071507e4eff3bd36ba7f4eedccda73f537927b999d40ae70c54a1df0d9e|event=HIT|data=seq=0 class=C1-gap d1=1(PROVISIONAL_INSTALL) d2=3(PERMANENT_INSTALL) draft=The Alder's cabin boy was Pip Aldercroft, son of a Kestrel Bay net-mender.|hash=043d000eb2456a93424e981abbae6d3cbbc14ba8449a2e609179d4ac91702539
3|prev=043d000eb2456a93424e981abbae6d3cbbc14ba8449a2e609179d4ac91702539|event=HIT|data=seq=1 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Alder's cabin boy was Pip Aldercroft, son of a Kestrel Bay net-mender.|hash=a8477c69e60f17d920981a0f9e5482372d5bcb01ec09db0d00cea633c8a58f62
4|prev=a8477c69e60f17d920981a0f9e5482372d5bcb01ec09db0d00cea633c8a58f62|event=HIT|data=seq=2 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Alder's cabin boy was Pip Aldercroft, son of a Kestrel Bay net-mender.|hash=a8884305acc586fa184e4a6e9559fe3a422dea4a311b46ce38220d644697d427
5|prev=a8884305acc586fa184e4a6e9559fe3a422dea4a311b46ce38220d644697d427|event=HIT|data=seq=3 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Alder's cabin boy was Pip Aldercroft, son of a Kestrel Bay net-mender.|hash=3202e022241c8136d4469a8fdeeccef747ee48afb75b69a31c251085022508e1
6|prev=3202e022241c8136d4469a8fdeeccef747ee48afb75b69a31c251085022508e1|event=HIT|data=seq=4 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Alder's cabin boy was Pip Aldercroft, son of a Kestrel Bay net-mender.|hash=319d772b1f1a0ca83ee1243e62713667109d4938925f8ddb6156a469dbdf6056
7|prev=319d772b1f1a0ca83ee1243e62713667109d4938925f8ddb6156a469dbdf6056|event=HIT|data=seq=6 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The ferry Murre was 120 tons burthen by the harbor survey.|hash=f3863c0742ac10732b80b6c6af14e5c3182ba866183a2082b4ec6954e39b61e1
8|prev=f3863c0742ac10732b80b6c6af14e5c3182ba866183a2082b4ec6954e39b61e1|event=HIT|data=seq=7 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The ferry Murre was 120 tons burthen by the harbor survey.|hash=3d7cecf20bf94a04f1e5ba0212bb2ea2c40d4f20d0a9f7332fa373c2c8e18ab0
9|prev=3d7cecf20bf94a04f1e5ba0212bb2ea2c40d4f20d0a9f7332fa373c2c8e18ab0|event=HIT|data=seq=8 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The ferry Murre was 120 tons burthen by the harbor survey.|hash=a5d102355d5093b2b0a26de9cdaed3238fcf5685309b294553c11ca13240925e
10|prev=a5d102355d5093b2b0a26de9cdaed3238fcf5685309b294553c11ca13240925e|event=HIT|data=seq=9 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The ferry Murre was 120 tons burthen by the harbor survey.|hash=033145c279088465aaac47c31439f865fc631aeb6bca87d78c59c1edb556e790
11|prev=033145c279088465aaac47c31439f865fc631aeb6bca87d78c59c1edb556e790|event=HIT|data=seq=11 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Widow Harrow tended the Gull Rock lamp through the night of the November 1893 st|hash=49c2f56f1b63b5ff8f9409e856dabe190691ebf50ab47a37afcfccb532accc8e
12|prev=49c2f56f1b63b5ff8f9409e856dabe190691ebf50ab47a37afcfccb532accc8e|event=HIT|data=seq=12 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Widow Harrow tended the Gull Rock lamp through the night of the November 1893 st|hash=e975a92637b1a1372b667173e275d13a2f806ad677c22e586aead54103c015c0
13|prev=e975a92637b1a1372b667173e275d13a2f806ad677c22e586aead54103c015c0|event=HIT|data=seq=13 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Widow Harrow tended the Gull Rock lamp through the night of the November 1893 st|hash=91b4dfa650139f8faa081f730c635387ecbca839db379b558deb0709723e28ed
14|prev=91b4dfa650139f8faa081f730c635387ecbca839db379b558deb0709723e28ed|event=HIT|data=seq=14 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Widow Harrow tended the Gull Rock lamp through the night of the November 1893 st|hash=3319d4698e1d60d9226212248d4ca88cf002ed8e1df61445c7a6fdcb2e10636a
15|prev=3319d4698e1d60d9226212248d4ca88cf002ed8e1df61445c7a6fdcb2e10636a|event=HIT|data=seq=16 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The sloop Wren was painted racing green with a white sheer stripe.|hash=9402ffba43739687a4d1c1b4ae048fa6bd277e20c4576c92de54eabcebaa34e6
16|prev=9402ffba43739687a4d1c1b4ae048fa6bd277e20c4576c92de54eabcebaa34e6|event=HIT|data=seq=17 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The sloop Wren was painted racing green with a white sheer stripe.|hash=b5989320661037c16d766d0eb756fbb8cb4e73a899fc13ef1c635256692ab75a
17|prev=b5989320661037c16d766d0eb756fbb8cb4e73a899fc13ef1c635256692ab75a|event=HIT|data=seq=18 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The sloop Wren was painted racing green with a white sheer stripe.|hash=4349b37a7c1997758895b97d2fc34a7b865109eea919f7cda72048830315559e
18|prev=4349b37a7c1997758895b97d2fc34a7b865109eea919f7cda72048830315559e|event=HIT|data=seq=19 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The sloop Wren was painted racing green with a white sheer stripe.|hash=7eb8d4de03888d413ab23b2d245323f589dc1157a2b1fd86608504f3c50fcc10
19|prev=7eb8d4de03888d413ab23b2d245323f589dc1157a2b1fd86608504f3c50fcc10|event=HIT|data=seq=21 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Harbor-master Sloane was born in Gull Rock village.|hash=1f2172fd0b003e7dac73fd48030a2b9852c716881ae70a20bb6a7104a26abd08
20|prev=1f2172fd0b003e7dac73fd48030a2b9852c716881ae70a20bb6a7104a26abd08|event=HIT|data=seq=22 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Harbor-master Sloane was born in Gull Rock village.|hash=1af87d2ddb2d403eaf1a8a5a97587bdf9d4e7c02fdac730dd199a5110c471392
21|prev=1af87d2ddb2d403eaf1a8a5a97587bdf9d4e7c02fdac730dd199a5110c471392|event=HIT|data=seq=23 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Harbor-master Sloane was born in Gull Rock village.|hash=a613b3672bfd75e3ef0d4a42a4c56d845e6c96d925e089ff2a76641d749751a8
22|prev=a613b3672bfd75e3ef0d4a42a4c56d845e6c96d925e089ff2a76641d749751a8|event=HIT|data=seq=24 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Harbor-master Sloane was born in Gull Rock village.|hash=de7e56d2591dd864bf8598913f156cdfb941e06439d06d36409fd13c8605f599
23|prev=de7e56d2591dd864bf8598913f156cdfb941e06439d06d36409fd13c8605f599|event=HIT|data=seq=26 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The tide-mill's last miller was Josiah Penn of Kestrel Bay.|hash=243e96fa77431d4a7603f32a92d66778fa946d7b0a7172cf943f22e7c2f117dc
24|prev=243e96fa77431d4a7603f32a92d66778fa946d7b0a7172cf943f22e7c2f117dc|event=HIT|data=seq=27 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The tide-mill's last miller was Josiah Penn of Kestrel Bay.|hash=8e571515f9b48877e8fe8f202a69227a670114b58493e923ce1222380682cbf1
25|prev=8e571515f9b48877e8fe8f202a69227a670114b58493e923ce1222380682cbf1|event=HIT|data=seq=28 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The tide-mill's last miller was Josiah Penn of Kestrel Bay.|hash=03f7e5cf3fb3fc0901ecb0bb44905565fab1a8eb54fca5e72eb190f55b8ed8ba
26|prev=03f7e5cf3fb3fc0901ecb0bb44905565fab1a8eb54fca5e72eb190f55b8ed8ba|event=HIT|data=seq=29 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The tide-mill's last miller was Josiah Penn of Kestrel Bay.|hash=c16a0841e5ea50ecad00f17f0015fd11bf58d5622813c9ddc3efcf543680ee99
27|prev=c16a0841e5ea50ecad00f17f0015fd11bf58d5622813c9ddc3efcf543680ee99|event=HIT|data=seq=31 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Beacon Hill storm-warning code used eleven flags.|hash=691b5ed38eb277f7448187022631f34f133b09fdebb4fb7da22d0b8890244942
28|prev=691b5ed38eb277f7448187022631f34f133b09fdebb4fb7da22d0b8890244942|event=HIT|data=seq=32 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Beacon Hill storm-warning code used eleven flags.|hash=5ceffe39d212725130b87277f220b4fab5d91ba26962e7146c349794d03b6ba7
29|prev=5ceffe39d212725130b87277f220b4fab5d91ba26962e7146c349794d03b6ba7|event=HIT|data=seq=33 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Beacon Hill storm-warning code used eleven flags.|hash=5e269461f13a94c3b9dde2879f1d54b43c5528a0cd79e59eac4b42021ca27099
30|prev=5e269461f13a94c3b9dde2879f1d54b43c5528a0cd79e59eac4b42021ca27099|event=HIT|data=seq=34 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Beacon Hill storm-warning code used eleven flags.|hash=a130eaabb7dc922d4113f46db0e01ec4f24236c9933a2f710e01d7673d9cd556
31|prev=a130eaabb7dc922d4113f46db0e01ec4f24236c9933a2f710e01d7673d9cd556|event=HIT|data=seq=36 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Alder's last voyage carried a cargo of Welsh slate.|hash=d1d286da1b1957aec7705fb1517b1bbfdccb51e1f39e3f702876e07f8b9ccd9b
32|prev=d1d286da1b1957aec7705fb1517b1bbfdccb51e1f39e3f702876e07f8b9ccd9b|event=HIT|data=seq=37 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Alder's last voyage carried a cargo of Welsh slate.|hash=d3064998c45d30f333ecb1da05f35bca15cfce5fdfb7b339ae4468cc3d331bf5
33|prev=d3064998c45d30f333ecb1da05f35bca15cfce5fdfb7b339ae4468cc3d331bf5|event=HIT|data=seq=38 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Alder's last voyage carried a cargo of Welsh slate.|hash=aff2fbb5047284135f2f8fbf6ae3803089a7c7f600c1a846c487e4f579c51aaa
34|prev=aff2fbb5047284135f2f8fbf6ae3803089a7c7f600c1a846c487e4f579c51aaa|event=HIT|data=seq=39 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Alder's last voyage carried a cargo of Welsh slate.|hash=35c0a119b691d890c26f8ae3376f2c2ee3fdb462f06c954909474427095e1aa8
35|prev=35c0a119b691d890c26f8ae3376f2c2ee3fdb462f06c954909474427095e1aa8|event=HIT|data=seq=41 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Mara Quill's first guided vessel was the brigantine Alder.|hash=10a24af70b07f86e2e54e248e56b856b3a6c30925ca881f5b7d5e7c1f33100cb
