0|550|700|0
1|587|729|0
2|624|758|0
3|661|787|0
4|698|816|0
5|735|845|0
6|772|874|0
7|809|903|0
8|846|932|0
9|883|710|0
10|920|739|0
11|556|768|0
12|593|797|0
13|630|826|0
14|667|855|0
15|704|884|0
16|741|913|0
17|778|942|0
18|815|720|0
19|852|749|0
20|889|778|0
21|926|807|0
22|562|836|0
23|599|865|0
24|636|894|0
25|673|923|0
26|710|701|0
27|747|730|0
28|784|759|0
29|821|788|0
30|858|817|0
31|895|846|0
32|932|875|0
33|568|904|0
34|605|933|0
35|642|711|0
36|679|740|0
37|716|769|0
38|753|798|0
39|790|827|0
40|827|856|0
41|864|885|0
42|901|914|0
43|938|943|0
44|574|721|0
45|611|750|0
46|648|779|0
47|685|808|0
48|722|837|0
49|759|866|0
50|796|895|0
51|833|924|0
52|870|702|0
53|907|731|0
54|944|760|0
55|580|789|0
56|617|818|0
57|654|847|0
58|691|876|0
59|728|905|0
60|765|934|0
61|802|712|0
62|839|741|0
63|876|770|0
64|913|799|0
65|950|828|0
66|586|857|0
67|623|886|0
68|660|915|0
69|697|944|0
70|734|722|0
71|771|751|0
72|808|780|0
73|845|809|0
74|882|838|0
75|919|867|0
76|555|896|0
77|592|925|0
78|629|703|0
79|666|732|0
80|703|761|0
81|740|790|0
82|777|819|0
83|814|848|0
84|851|877|0
85|888|906|0
86|925|935|0
87|561|713|0
88|598|742|0
89|635|771|0
90|672|800|0
91|709|829|0
92|746|858|0
93|783|887|0
94|820|916|0
95|857|945|0
96|894|723|0
97|931|752|0
98|567|781|0
99|604|810|0
100|542|140|2
101|595|181|3
102|648|222|1
103|100|263|2
104|153|304|3
105|206|345|1
106|259|386|2
107|312|427|3
108|365|67|1
109|418|108|2
110|471|149|3
111|524|190|1
112|577|231|2
113|630|272|3
114|82|313|1
115|135|354|2
116|188|395|3
117|241|436|1
118|294|76|2
119|347|117|3
120|400|158|1
121|453|199|2
122|506|240|3
123|559|281|1
124|612|322|2
125|64|363|3
126|117|404|1
127|170|445|2
128|223|85|3
129|276|126|1
130|329|167|2
131|382|208|3
132|435|249|1
133|488|290|2
134|541|331|3
135|594|372|1
136|647|413|2
137|99|53|3
138|152|94|1
139|205|135|2
140|258|176|3
141|311|217|1
142|364|258|2
143|417|299|3
144|470|340|1
145|523|381|2
146|576|422|3
147|629|62|1
148|81|103|2
149|134|144|3
150|187|185|1
151|240|226|2
152|293|267|3
153|346|308|1
154|399|349|2
155|452|390|3
156|505|431|1
157|558|71|2
158|611|112|3
159|63|153|1
160|116|194|2
161|169|235|3
162|222|276|1
163|275|317|2
164|328|358|3
165|381|399|1
166|434|440|2
167|487|80|3
168|540|121|1
169|593|162|2
170|646|203|3
171|98|244|1
172|151|285|2
173|204|326|3
174|257|367|1
175|310|408|2
176|363|449|3
177|416|89|1
178|469|130|2
179|522|171|3
180|575|212|1
181|628|253|2
182|80|294|3
183|133|335|1
184|186|376|2
185|239|417|3
186|292|57|1
187|345|98|2
188|398|139|3
189|451|180|1
190|504|221|2
191|557|262|3
192|610|303|1
193|62|344|2
194|115|385|3
195|168|426|1
196|221|66|2
197|274|107|3
198|327|148|1
199|380|189|2
