case	window	verdict
F5	0	QUARANTINED
F5	1	QUARANTINED
F5	2	QUARANTINED
F5	4	QUARANTINED
F5	8	INSTALL
F5	16	INSTALL
F5	32	INSTALL
F5	64	INSTALL
F5	128	INSTALL
F5	999999	INSTALL
H1	0	QUARANTINED
H1	1	INSTALL
H1	2	INSTALL
H1	4	INSTALL
H1	8	INSTALL
H1	16	INSTALL
H1	32	INSTALL
H1	64	INSTALL
H1	128	INSTALL
H1	999999	INSTALL
H10	0	QUARANTINED
H10	1	QUARANTINED
H10	2	QUARANTINED
H10	4	QUARANTINED
H10	8	QUARANTINED
H10	16	QUARANTINED
H10	32	QUARANTINED
H10	64	INSTALL
H10	128	INSTALL
H10	999999	INSTALL
H11	0	QUARANTINED
H11	1	QUARANTINED
H11	2	QUARANTINED
H11	4	QUARANTINED
H11	8	QUARANTINED
H11	16	QUARANTINED
H11	32	QUARANTINED
H11	64	INSTALL
H11	128	INSTALL
H11	999999	INSTALL
H12	0	QUARANTINED
H12	1	QUARANTINED
H12	2	QUARANTINED
H12	4	QUARANTINED
H12	8	QUARANTINED
H12	16	QUARANTINED
H12	32	QUARANTINED
H12	64	QUARANTINED
H12	128	INSTALL
H12	999999	INSTALL
H2	0	QUARANTINED
H2	1	QUARANTINED
H2	2	INSTALL
H2	4	INSTALL
H2	8	INSTALL
H2	16	INSTALL
H2	32	INSTALL
H2	64	INSTALL
H2	128	INSTALL
H2	999999	INSTALL
H3	0	QUARANTINED
H3	1	QUARANTINED
H3	2	QUARANTINED
H3	4	INSTALL
H3	8	INSTALL
H3	16	INSTALL
H3	32	INSTALL
H3	64	INSTALL
H3	128	INSTALL
H3	999999	INSTALL
H4	0	QUARANTINED
H4	1	QUARANTINED
H4	2	QUARANTINED
H4	4	QUARANTINED
H4	8	INSTALL
H4	16	INSTALL
H4	32	INSTALL
H4	64	INSTALL
H4	128	INSTALL
H4	999999	INSTALL
H5	0	QUARANTINED
H5	1	QUARANTINED
H5	2	QUARANTINED
H5	4	QUARANTINED
H5	8	INSTALL
H5	16	INSTALL
H5	32	INSTALL
H5	64	INSTALL
H5	128	INSTALL
H5	999999	INSTALL
H6	0	QUARANTINED
H6	1	QUARANTINED
H6	2	QUARANTINED
H6	4	QUARANTINED
H6	8	QUARANTINED
H6	16	INSTALL
H6	32	INSTALL
H6	64	INSTALL
H6	128	INSTALL
H6	999999	INSTALL
H7	0	QUARANTINED
H7	1	QUARANTINED
H7	2	QUARANTINED
H7	4	QUARANTINED
H7	8	QUARANTINED
H7	16	QUARANTINED
H7	32	INSTALL
H7	64	INSTALL
H7	128	INSTALL
H7	999999	INSTALL
H8	0	QUARANTINED
H8	1	QUARANTINED
H8	2	QUARANTINED
H8	4	QUARANTINED
H8	8	QUARANTINED
H8	16	QUARANTINED
H8	32	INSTALL
H8	64	INSTALL
H8	128	INSTALL
H8	999999	INSTALL
H9	0	QUARANTINED
H9	1	QUARANTINED
H9	2	QUARANTINED
H9	4	QUARANTINED
H9	8	QUARANTINED
H9	16	QUARANTINED
H9	32	QUARANTINED
H9	64	INSTALL
H9	128	INSTALL
H9	999999	INSTALL
Q_G1	0	WITHHOLD
Q_G1	1	WITHHOLD
Q_G1	2	WITHHOLD
Q_G1	4	WITHHOLD
Q_G1	8	WITHHOLD
Q_G1	16	WITHHOLD
Q_G1	32	WITHHOLD
Q_G1	64	WITHHOLD
Q_G1	128	WITHHOLD
Q_G1	999999	WITHHOLD
Q_NQ	0	WITHHOLD
Q_NQ	1	WITHHOLD
Q_NQ	2	WITHHOLD
Q_NQ	4	WITHHOLD
Q_NQ	8	WITHHOLD
Q_NQ	16	WITHHOLD
Q_NQ	32	WITHHOLD
Q_NQ	64	WITHHOLD
Q_NQ	128	WITHHOLD
Q_NQ	999999	WITHHOLD
T1	0	QUARANTINED
T1	1	INSTALL
T1	2	INSTALL
T1	4	INSTALL
T1	8	INSTALL
T1	16	INSTALL
T1	32	INSTALL
T1	64	INSTALL
T1	128	INSTALL
T1	999999	INSTALL
T2	0	QUARANTINED
T2	1	QUARANTINED
T2	2	QUARANTINED
T2	4	INSTALL
T2	8	INSTALL
T2	16	INSTALL
T2	32	INSTALL
T2	64	INSTALL
T2	128	INSTALL
T2	999999	INSTALL
T3	0	QUARANTINED
T3	1	QUARANTINED
T3	2	QUARANTINED
T3	4	QUARANTINED
T3	8	QUARANTINED
T3	16	QUARANTINED
T3	32	QUARANTINED
T3	64	INSTALL
T3	128	INSTALL
T3	999999	INSTALL
T3deep	0	QUARANTINED
T3deep	1	QUARANTINED
T3deep	2	QUARANTINED
T3deep	4	QUARANTINED
T3deep	8	QUARANTINED
T3deep	16	QUARANTINED
T3deep	32	QUARANTINED
T3deep	64	QUARANTINED
T3deep	128	INSTALL
T3deep	999999	INSTALL
T4	0	QUARANTINED
T4	1	QUARANTINED
T4	2	QUARANTINED
T4	4	QUARANTINED
T4	8	INSTALL
T4	16	INSTALL
T4	32	INSTALL
T4	64	INSTALL
T4	128	INSTALL
T4	999999	INSTALL
T5	0	QUARANTINED
T5	1	QUARANTINED
T5	2	INSTALL
T5	4	INSTALL
T5	8	INSTALL
T5	16	INSTALL
T5	32	INSTALL
T5	64	INSTALL
T5	128	INSTALL
T5	999999	INSTALL
W_S3	0	QUARANTINED
W_S3	1	QUARANTINED
W_S3	2	QUARANTINED
W_S3	4	QUARANTINED
W_S3	8	QUARANTINED
W_S3	16	QUARANTINED
W_S3	32	QUARANTINED
W_S3	64	QUARANTINED
W_S3	128	QUARANTINED
W_S3	999999	QUARANTINED
