compile.rows	0
compile.r26	0
compile.r27	0
compile.v91tests	1
compile.v91rows	1
compile.v91gate	0
rows	0
r26.selftest	0
r26.digest	0
r27.digest	0
v91tests	127
v91rows	127
v91gate	91
policy	0
policy.hash	0
frozen.recheck	0
custody.compare	0
compile.structure	0
structure	0
match.r26	0
match.r27	0
match.policy	0
custody.final	0
supplement.recheck	0
compile.r25	1
missing.r25import	1
local.members	1
frozen.final.recheck	0
compile.primitives	0
primitives	0
frozen.complete.recheck	0
custody.complete.recheck	0
