cell	nuninstall	npromote	revoke_step	commit_step	promote_step	ncommit	audit_total	total_contest	total_rekey	quar_used	neg_signal_n	badep	nescrow_enter	nescrow_finalize	nescrow_rollback	escrow_finalize_step	escrow_rollback_step	escrow_budget_used_max	escrow_shadow_clean	escrow_entry_defect	commit_policy	uninstall_policy	promote_policy	episodes_ok	tn_failures
w1	1	0	33	33	-1	1	273	31	17	31	1	0	1	1	0	33	-1	3	1	0	1	2	-1	0	7
w2h	0	1	-1	-1	112	0	271	48	0	48	0	0	1	1	0	112	-1	64	1	0	-1	-1	1	0	2
w2l	1	0	19	-1	-1	0	218	0	5	0	0	1	1	1	0	19	-1	3	1	0	-1	2	-1	1	15
w3a	1	0	19	-1	-1	0	218	0	5	0	0	1	1	1	0	19	-1	3	1	0	-1	2	-1	1	15
w3b	2	0	19	-1	-1	0	222	0	5	0	1	1	2	1	1	19	29	3	1	0	-1	2	-1	1	15
w3ae	1	0	35	-1	-1	0	239	0	18	0	0	1	2	1	1	35	15	3	1	0	-1	2	-1	1	15
rta18	2	0	19	-1	-1	0	220	0	5	0	1	1	1	1	0	19	-1	3	1	0	-1	2	-1	1	15
rta20	2	0	19	-1	-1	0	222	0	5	0	1	1	2	1	1	19	20	3	1	0	-1	2	-1	1	15
rtd	1	1	-1	-1	112	0	275	48	0	48	1	0	2	1	1	112	29	64	1	0	-1	2	1	0	4
rte	0	1	-1	-1	112	0	277	0	48	0	0	0	4	1	3	112	15	64	1	0	-1	-1	2	0	16
ctl_h	0	1	-1	-1	48	0	269	48	0	48	0	0	?	?	?	?	?	?	?	?	-1	-1	1	0	0
fid_h	0	1	-1	-1	48	0	269	48	0	48	0	0	?	?	?	?	?	?	?	?	-1	-1	1	0	0
fid_l	1	0	29	29	-1	1	271	33	15	33	1	0	?	?	?	?	?	?	?	?	1	2	-1	0	0
esc_ctl_B	0	1	-1	-1	48	0	269	0	48	0	0	0	?	?	?	?	?	?	?	?	-1	-1	2	0	16
