W10_DUEL=frozen=PREREG_W10.md
0|C|ADMIT|5500|2|77604|88104|83104|85690|84604|69604
1|C|ADMIT|5500|2|85307|95807|90807|93390|92307|77307
2|C|ADMIT|5500|2|66803|77303|72303|74890|73803|65803
3|C|ADMIT|5500|2|84606|95106|90106|92690|91606|76606
4|C|REJECT|-86|4|76204|86704|81704|92290|83204|68204
5|C|ADMIT|5500|2|82105|92605|87605|90190|89105|74105
6|C|REJECT|-87|4|73903|84403|79403|89990|80903|65903
7|C|ADMIT|5500|2|77806|88306|83306|85890|84806|76806
8|C|REJECT|-84|4|83006|93506|88506|99090|90006|75006
9|C|REJECT|-84|4|84606|95106|90106|100690|91606|76606
10|C|ADMIT|5500|2|82205|92705|87705|90290|89205|74205
11|C|ADMIT|5500|2|87408|97908|92908|95490|94408|79408
12|C|REJECT|-86|4|76104|86604|81604|92190|83104|68104
13|C|ADMIT|5500|2|86907|97407|92407|94990|93907|78907
14|C|ADMIT|5500|2|80605|91105|86105|88690|87605|72605
15|C|ADMIT|5500|2|79604|90104|85104|87690|86604|71604
16|C|ADMIT|5500|2|73703|84203|79203|81790|80703|65703
17|C|ADMIT|5500|2|82805|93305|88305|90890|89805|74805
18|C|REJECT|-86|4|78904|89404|84404|94990|85904|70904
19|C|REJECT|-84|4|85006|95506|90506|101090|92006|77006
20|C|REJECT|-87|4|73403|83903|78903|89490|80403|65403
21|C|REJECT|-86|4|71204|81704|76704|87290|78204|70204
22|C|REJECT|-86|4|78204|88704|83704|94290|85204|70204
23|C|REJECT|-87|4|74303|84803|79803|90390|81303|66303
24|C|REJECT|-82|4|87208|97708|92708|103290|94208|79208
25|C|REJECT|-86|4|77104|87604|82604|93190|84104|69104
26|C|REJECT|-86|4|76004|86504|81504|92090|83004|68004
27|C|REJECT|-83|4|86807|97307|92307|102890|93807|78807
28|C|REJECT|-85|4|80305|90805|85805|96390|87305|72305
29|C|ADMIT|5500|2|73203|83703|78703|81290|80203|65203
30|C|ADMIT|5500|2|78304|88804|83804|86390|85304|70304
31|C|REJECT|-84|4|84706|95206|90206|100790|91706|76706
32|C|REJECT|-83|4|86807|97307|92307|102890|93807|78807
33|C|ADMIT|5500|2|77106|87606|82606|85190|84106|76106
34|C|ADMIT|5500|2|84006|94506|89506|92090|91006|76006
35|C|REJECT|-84|4|84206|94706|89706|100290|91206|76206
36|C|REJECT|-85|4|80105|90605|85605|96190|87105|72105
37|C|REJECT|-85|4|74005|84505|79505|90090|81005|73005
38|C|ADMIT|5500|2|79004|89504|84504|87090|86004|71004
39|C|ADMIT|5500|2|84606|95106|90106|92690|91606|76606
40|C|ADMIT|5500|2|80705|91205|86205|88790|87705|72705
41|C|REJECT|-84|4|84606|95106|90106|100690|91606|76606
42|C|ADMIT|5500|2|74603|85103|80103|82690|81603|66603
43|C|ADMIT|5500|2|81405|91905|86905|89490|88405|73405
44|C|ADMIT|5500|2|81905|92405|87405|89990|88905|73905
45|C|ADMIT|5500|2|86907|97407|92407|94990|93907|78907
46|C|ADMIT|5500|2|78204|88704|83704|86290|85204|70204
47|C|REJECT|-83|4|86307|96807|91807|102390|93307|78307
48|C|REJECT|-82|4|87308|97808|92808|103390|94308|79308
49|C|ADMIT|5500|2|73203|83703|78703|81290|80203|65203
50|C|REJECT|-84|4|84106|94606|89606|100190|91106|76106
51|C|REJECT|-87|4|73803|84303|79303|89890|80803|65803
52|C|ADMIT|5500|2|78504|89004|84004|86590|85504|70504
53|C|ADMIT|5500|2|73203|83703|78703|81290|80203|65203
54|C|ADMIT|5500|2|83506|94006|89006|91590|90506|75506
55|C|ADMIT|5500|2|75103|85603|80603|83190|82103|67103
56|C|ADMIT|5500|2|74603|85103|80103|82690|81603|66603
57|C|ADMIT|5500|2|77004|87504|82504|85090|84004|69004
58|C|REJECT|-84|4|79006|89506|84506|95090|86006|76006
59|C|REJECT|-85|4|82205|92705|87705|98290|89205|74205
60|C|REJECT|-83|4|86207|96707|91707|102290|93207|78207
61|C|REJECT|-87|4|74103|84603|79603|90190|81103|66103
62|C|REJECT|-83|4|85407|95907|90907|101490|92407|77407
63|C|REJECT|-86|4|75804|86304|81304|91890|82804|67804
64|C|ADMIT|5500|2|84466|94966|89966|92490|91466|76466
65|C|ADMIT|5500|2|87682|98182|93182|95690|94682|79682
66|C|REJECT|0|4|94253|104753|99753|110253|95153|86253
67|C|REJECT|-3|4|88387|98887|93887|104390|95087|80387
68|C|REJECT|0|4|93949|104449|99449|109949|95149|85949
69|C|ADMIT|5500|2|90908|101408|96408|98908|95108|82908
70|C|REJECT|0|4|95891|106391|101391|111891|95191|87891
71|C|ADMIT|5500|2|91616|102116|97116|99616|95116|83616
