trial_id	task	split	family	fixture	truth
r211g_r2a_colorconst_0000	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0000.img	SAME_SURFACE
r211g_r2a_colorconst_0002	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0002.img	SAME_SURFACE
r211g_r2a_colorconst_0004	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0004.img	SAME_SURFACE
r211g_r2a_colorconst_0006	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0006.img	SAME_SURFACE
r211g_r2a_colorconst_0008	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0008.img	SAME_SURFACE
r211g_r2a_colorconst_0010	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0010.img	SAME_SURFACE
r211g_r2a_colorconst_0012	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0012.img	SAME_SURFACE
r211g_r2a_colorconst_0014	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0014.img	SAME_SURFACE
r211g_r2a_colorconst_0016	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0016.img	SAME_SURFACE
r211g_r2a_colorconst_0018	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0018.img	SAME_SURFACE
r211g_r2a_colorconst_0020	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0020.img	SAME_SURFACE
r211g_r2a_colorconst_0022	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0022.img	SAME_SURFACE
r211g_r2a_colorconst_0024	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0024.img	SAME_SURFACE
r211g_r2a_colorconst_0026	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0026.img	SAME_SURFACE
r211g_r2a_colorconst_0028	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0028.img	SAME_SURFACE
r211g_r2a_colorconst_0030	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0030.img	SAME_SURFACE
r211g_r2a_colorconst_0032	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0032.img	SAME_SURFACE
r211g_r2a_colorconst_0034	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0034.img	SAME_SURFACE
r211g_r2a_colorconst_0036	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0036.img	SAME_SURFACE
r211g_r2a_colorconst_0038	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0038.img	SAME_SURFACE
r211g_r2a_colorconst_0040	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0040.img	SAME_SURFACE
r211g_r2a_colorconst_0042	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0042.img	SAME_SURFACE
r211g_r2a_colorconst_0044	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0044.img	SAME_SURFACE
r211g_r2a_colorconst_0046	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0046.img	SAME_SURFACE
