# Implicature battery with speaker / situation / goal / indirect-request
# context (PREREG_IMPLICATURE_CONTEXT.md). 12 items, 6 same-utterance
# discriminating pairs: the literal reading and the intended reading diverge;
# resolution must come from the context model.
# ID|speaker|situation|goal|utterance
I01|CAM|dinner-table-salt|get-salt|This soup could use more salt.
I02|CAM|dinner-table-salt-in-hand|inform|This soup could use more salt.
I03|LEE|car-cold|warm-up|It's freezing in here.
I04|LEE|arctic-station|inform|It's freezing in here.
I05|PAT|kitchen-trash|take-out|The trash is getting full.
I06|PAT|garage-cleanup|inform|The trash is getting full.
I07|SAM|office-meeting|leave-now|The meeting starts in five minutes.
I08|SAM|hallway|inform|The meeting starts in five minutes.
I09|JO|porch-package|bring-in|That package has been sitting on the porch all afternoon.
I10|JO|porch|inform|That package has been sitting on the porch all afternoon.
I11|RUE|living-room-baby|soothe|The baby's been crying since the commercial break.
I12|RUE|living-room|inform|The baby's been crying since the commercial break.
