# Natural sincere negatives (round 4) — original sentences, not from any attack.
# Purpose: verify the tightened joke rules do not fire on ordinary sincere
# prose. Format: id \t claim \t evidence \t oracle(=NONJOKE).
S01	I do not hate the rain, but I love the extra time to read indoors.		valence purpose-clause	NONJOKE
S02	We cannot approve the request today, but we can review it tomorrow.		aux flip sincere	NONJOKE
S03	The meeting is not at noon; it starts at one in the afternoon.		negation scheduling	NONJOKE
S04	I never skip breakfast because I need the energy for work.		never sincere	NONJOKE
S05	She does not enjoy the commute, but she does finish her podcasts.		aux flip sincere	NONJOKE
S06	If it stops raining, we will stop watering the garden.		weather stop	NONJOKE
S07	I stopped seeing that dentist because I needed to stop driving so far.		stop sincere	NONJOKE
S08	The coach warned the team not to jump to conclusions before the rematch.		idiom sincere	NONJOKE
S09	After the accident they needed time to get over it.		idiom sincere	NONJOKE
S10	I am sick to death of these printer errors.		trope sincere	NONJOKE
S11	She told me a million times to lock the door.		trope sincere	NONJOKE
S12	I literally just finished the report.		literally sincere	NONJOKE
S13	The press conference starts at noon; the mayor will speak first.		news sincere	NONJOKE
S14	The outage is ongoing; technicians are working on a fix.		status report	NONJOKE
S15	System maintenance is scheduled for Sunday at midnight.		status report	NONJOKE
S16	What time does the store close on Sundays?		question sincere	NONJOKE
S17	Do you know why the bus is late today?		question sincere	NONJOKE
S18	The package arrives tomorrow; tracking shows it left the facility.		tomorrow sincere	NONJOKE
S19	I have no idea where I left my keys.		no-idea sincere	NONJOKE
S20	To save money, we switched to store-brand coffee.		substitution sincere	NONJOKE
S21	Ice melts faster when the temperature rises above freezing.		fact	NONJOKE
S22	The recipe calls for two cups of flour and one of sugar.		fact	NONJOKE
S23	She whispered the answer because the baby was sleeping.		whisper sincere	NONJOKE
S24	The doctor said to rest and drink plenty of fluids.		advice sincere	NONJOKE
S25	Iron the uniform before the inspection; wrinkles look sloppy.		ironing advice	NONJOKE
S26	The new policy takes effect on Monday morning.		announcement	NONJOKE
S27	He asked whether the meeting was still on for Thursday.		question sincere	NONJOKE
S28	The flight is delayed; the next update comes at six.		status report	NONJOKE
S29	I do not remember the password, but I wrote it down somewhere.		negation sincere	NONJOKE
S30	They moved the deadline to Friday to give everyone more time.		to-clause sincere	NONJOKE
