TEACH-SESSION n=12 base=../kb/hidden_files/kb.dat
TEACH C-ARCH-01 seq=69 fnv=5423905685873170287
TEACH C-ARCH-02 seq=70 fnv=5423905685873170288
TEACH C-ARCH-03 seq=71 fnv=5423905685873170289
TEACH C-ARCH-04 seq=72 fnv=5423905685873170290
TEACH C-ARCH-05 seq=73 fnv=5423905685873170291
TEACH C-ARCH-06 seq=74 fnv=5423905685873170292
TEACH C-ARCH-07 seq=75 fnv=5423905685873170293
TEACH C-ARCH-08 seq=76 fnv=5423905685873170294
TEACH C-ARCH-09 seq=77 fnv=5423905685873170295
TEACH C-ARCH-10 seq=78 fnv=5423905685889947905
TEACH C-ARCH-11 seq=79 fnv=5423905685889947906
TEACH C-ARCH-12 seq=80 fnv=5423905685889947907
