cell	scored	det3x	final_perm_j	false_installs	installs	revised_installs	rk1	rk2n	rk2d	f5	floor	span	seqgap	allows	msha	tsha
cc1	1	1	3	0	4	0	0	0	2	1	0	0	0	0	4142633bf78ca7c2babaf539f2c4bdcf7d38eb02bf2de7ba9c2f2a5595a5cd74	af10041ab9e8a5dd335b2585a10733342affa0f02679622dc6c08ca94cbff92a
cc1_v1	1	1	3	0	4	0	0	0	2	1	0	0	0	0	4142633bf78ca7c2babaf539f2c4bdcf7d38eb02bf2de7ba9c2f2a5595a5cd74	af10041ab9e8a5dd335b2585a10733342affa0f02679622dc6c08ca94cbff92a
cc1_v2	1	1	3	0	4	0	0	0	2	1	0	0	0	0	4142633bf78ca7c2babaf539f2c4bdcf7d38eb02bf2de7ba9c2f2a5595a5cd74	af10041ab9e8a5dd335b2585a10733342affa0f02679622dc6c08ca94cbff92a
cc1_v3	1	1	3	0	4	0	0	0	2	0	0	0	0	0	f99161bd8c8622646f9f242c4c9adf9daee7b1336f9e89a4e5227d37df5d1bd4	af10041ab9e8a5dd335b2585a10733342affa0f02679622dc6c08ca94cbff92a
cc1_v4	1	1	3	0	4	0	0	0	2	0	1	0	0	0	608e6fefd18597713fedfb5e8b17cabb1070231417c2dc3dd1747ac29d0f7105	af10041ab9e8a5dd335b2585a10733342affa0f02679622dc6c08ca94cbff92a
cc1_v5	1	1	3	0	4	0	0	0	2	1	0	0	0	0	4142633bf78ca7c2babaf539f2c4bdcf7d38eb02bf2de7ba9c2f2a5595a5cd74	af10041ab9e8a5dd335b2585a10733342affa0f02679622dc6c08ca94cbff92a
cc1_v6	1	1	3	0	4	0	0	0	2	1	0	0	0	0	4142633bf78ca7c2babaf539f2c4bdcf7d38eb02bf2de7ba9c2f2a5595a5cd74	af10041ab9e8a5dd335b2585a10733342affa0f02679622dc6c08ca94cbff92a
cc1_v7	1	1	3	0	4	0	0	0	2	1	0	0	0	0	4142633bf78ca7c2babaf539f2c4bdcf7d38eb02bf2de7ba9c2f2a5595a5cd74	af10041ab9e8a5dd335b2585a10733342affa0f02679622dc6c08ca94cbff92a
cc1_v8	1	1	3	0	4	0	0	0	2	1	0	0	0	0	4142633bf78ca7c2babaf539f2c4bdcf7d38eb02bf2de7ba9c2f2a5595a5cd74	af10041ab9e8a5dd335b2585a10733342affa0f02679622dc6c08ca94cbff92a
cc1_v9	0	1	3	0	4	0	0	0	2	1	0	0	0	0	4142633bf78ca7c2babaf539f2c4bdcf7d38eb02bf2de7ba9c2f2a5595a5cd74	af10041ab9e8a5dd335b2585a10733342affa0f02679622dc6c08ca94cbff92a
