B4A-01-r0	Drinking coffee causes heart attacks.	B4A-01	2	A long-term study found that people who drink more than four cups of coffee per day have higher rates of heart attack than non-drinkers.
B4A-01-r1	Drinking coffee causes heart attacks.	B4A-01	1	The study authors noted that heavy coffee drinkers in the sample also smoked at much higher rates.
B4A-01-r2	Drinking coffee causes heart attacks.	B4A-01	0	Cardiologists say the observed association does not establish that coffee causes heart attacks.
B4A-02-r0	The street is wet because it rained.	B4A-02	2	If it rains, the street gets wet.
B4A-02-r1	The street is wet because it rained.	B4A-02	2	The street is wet this morning.
B4A-02-r2	The street is wet because it rained.	B4A-02	1	The city ran street-cleaning trucks with water sprayers on this block overnight.
B4A-03-r0	The new traffic law caused the drop in accidents.	B4A-03	2	The new traffic law took effect in January, and accident counts fell 12 percent in February.
B4A-03-r1	The new traffic law caused the drop in accidents.	B4A-03	1	February also saw record snowfall that kept many drivers off the roads.
B4A-03-r2	The new traffic law caused the drop in accidents.	B4A-03	0	Analysts caution that one month of data cannot isolate the law's effect.
B4A-04-r0	Eating ice cream causes drowning.	B4A-04	2	Ice cream sales and drowning deaths both peak in July and August.
B4A-04-r1	Eating ice cream causes drowning.	B4A-04	1	Both trends track summer heat, when more people swim and buy cold treats.
B4A-05-r0	The new fertilizer doubles wheat yields.	B4A-05	2	A single field trial reported wheat yields roughly double the control plot after using the fertilizer.
B4A-05-r1	The new fertilizer doubles wheat yields.	B4A-05	0	The trial has not been replicated by any independent lab.
B4A-05-r2	The new fertilizer doubles wheat yields.	B4A-05	0	Agronomists note the trial plot also received extra irrigation.
B4A-06-r0	The dam will hold against a 100-year flood.	B4A-06	3	The chief engineer's final inspection report certifies the dam against a 100-year flood event.
B4A-06-r1	The dam will hold against a 100-year flood.	B4A-06	0	The certification has not been peer-reviewed.
B4A-07-r0	The vaccine is 100 percent effective.	B4A-07	2	The manufacturer's press release claims 100 percent efficacy in its trial.
B4A-07-r1	The vaccine is 100 percent effective.	B4A-07	2	Independent reviewers found the trial excluded high-risk groups, making the 100 percent figure unreliable.
B4A-08-r0	The supplement cures arthritis.	B4A-08	2	Researchers say the supplement might ease arthritis symptoms in some patients.
