B4A-01	Drinking coffee causes heart attacks.
B4A-02	The street is wet because it rained.
B4A-03	The new traffic law caused the drop in accidents.
B4A-04	Eating ice cream causes drowning.
B4A-05	The new fertilizer doubles wheat yields.
B4A-06	The dam will hold against a 100-year flood.
B4A-07	The vaccine is 100 percent effective.
B4A-08	The supplement cures arthritis.
B4A-09	The bridge is rated for 40-ton trucks.
B4A-10	The safe dosage range is 10 to 50 mg.
B4A-11	The moon is made of cheese, according to a NASA press release.
B4A-12	Scientists have proven that trees can walk to new locations overnight.
B4A-13	A peer-reviewed study found that office workers photosynthesize under fluorescent lights.
B4A-14	The defendant is innocent.
B4A-15	The patient has the flu.
B4A-16	The new policy reduced crime.
B4A-17	The reservoir is at full capacity.
B4A-18	Hospital visits cause illness.
B4A-19	It will certainly rain tomorrow.
B4A-20	The startup will be profitable this year.
B4A-21	The vaccine remains stable at 40 degrees Celsius.
B4A-22	The car's battery is dead.
B4A-23	The national archives confirm that pigeons ran a postal service in 1840.
B4A-24	Owning a luxury car causes higher income.
B4A-25	This airport is the most dangerous in the country.
B4A-26	The chemical is safe for household use.
B4A-27	The diet pill melts fat while you sleep.
B4A-28	The river is safe to drink from.
B4A-29	The city must either build the stadium or lose all tourism.
B4A-30	Dropping out of college leads to business success.
B4A-31	The 2024 census recorded a town in Nebraska with a population of negative twelve.
B4A-32	The drug has no side effects.
B4B-01	The street is wet.
B4B-02	The switch being on caused the light to turn on.
B4B-03	The sample contains no lead.
B4B-04	The package weighs at most 5 kg.
B4B-05	The plant is a cactus.
B4B-06	The antibiotic cured the infection.
B4B-07	The painting is an original Vermeer.
B4B-08	The room temperature stayed within 20 to 22 degrees all day.
B4B-09	The contract is void.
B4B-10	The reinforced beam prevented the collapse.
B4B-11	The hard drive contains no recoverable data.
B4B-12	At least 100 people attended.
B4B-13	The milk has spoiled.
B4B-14	Irrigation saved the crop.
B4B-15	The signature is the mayor's.
B4B-16	The bridge clearance is at least 4 meters.
B4B-17	The drinking water is safe.
B4B-18	The patient does not have diabetes.
B4B-19	The software needs at least 8 GB of RAM.
B4B-20	The fire was accidental.
B4B-21	The new highway reduced commute times.
B4B-22	The restaurant is highly rated.
B4B-23	The dam's spillway prevented flooding downstream.
B4B-24	The vaccine prevented a measles outbreak.
B4B-25	Every invoice was paid on time.
B4B-26	The generic drug works as well as the brand-name drug.
B4B-27	The response time stayed under 200 milliseconds.
B4B-28	The merger improved the company's finances.
B4B-29	The new policy improved air quality.
B4B-30	The outage was caused by the storm, not by equipment failure.
B4B-31	The archaeological site dates to the Bronze Age.
B4B-32	The train arrived on schedule.
B4D-01	The test was not unsuccessful.
B4D-02	The outage was caused by the storm, not by sabotage.
B4D-03	The jar contains at least 5 marbles.
B4D-04	The drought caused the famine.
B4D-05	The levee prevented the flood.
B4D-06	All students passed some test.
B4D-07	The election was fair.
B4D-08	Why did the chicken cross the road? To get to the other side!
