# RT3c blind attack corpus — HELL-HOLE V4 fresh re-attack on twice-repaired joke classifier
# Written: 2026-09-24T02:28:40 PDT (2026-09-24T09:28:40Z) by rt3c red-team crew, BEFORE any build/run.
# Format: id \t claim \t evidence \t oracle
# Oracle: JOKING = real joke, must install as JOKING. UNCERTAIN = sincere non-joke, must NOT install.
# Evidence column carries family/mechanism notes for the report; the runner feeds CLAIM ONLY.
# All 76 items are novel (composed for this round; none from any prior corpus or battery).
id	claim	evidence	oracle
D01	What time does the library open? It opens at nine on weekday mornings.	deadpan-factual-qa	UNCERTAIN
D02	Where did you park the car? In the garage behind the house.	deadpan-factual-qa	UNCERTAIN
D03	Why did the shipment arrive late? The warehouse closed early on Friday.	deadpan-factual-qa	UNCERTAIN
D04	Who signed the delivery form? The site supervisor signed it this morning.	deadpan-factual-qa	UNCERTAIN
D05	How much does the ticket cost? Twelve dollars for adults, six for children.	deadpan-factual-qa	UNCERTAIN
D06	This statement is not a joke. This is a serious warning about the storm.	sincere-denial-serious-continuation	UNCERTAIN
D07	The mayor said this was not a joke, just a brief announcement about road repairs.	sincere-denial-no-selfref	UNCERTAIN
D08	No joke, the clinic opens at eight. I am not kidding about the wait times.	sincere-denial-no-selfref	UNCERTAIN
D09	I am not joking about the deadline. The report is due Friday at noon.	sincere-denial-no-selfref	UNCERTAIN
D10	The auditor walked into a bar during a routine health inspection.	deadpan-bar-shape-sincere	UNCERTAIN
D11	A tourist walks into a bar to ask for directions to the museum.	deadpan-bar-shape-sincere	UNCERTAIN
D12	The courier walked into a bar and handed the bartender a package.	deadpan-bar-shape-sincere	UNCERTAIN
D13	The nurse whispered to the patient to rest after the surgery.	deadpan-whisper-sincere	UNCERTAIN
D14	They had to whisper in the library because the baby was sleeping.	deadpan-whisper-sincere	UNCERTAIN
D15	My grandfather smoked for thirty years, quit at fifty, and lived to ninety.	sincere-biography-habit-cessation	UNCERTAIN
D16	She drank tea every day and lived to be a hundred.	sincere-biography-habit-longevity	UNCERTAIN
D17	The study followed lifelong smokers, and several lived past eighty.	sincere-biography-habit-longevity	UNCERTAIN
D18	You idiot, you left the gate open and now the cattle are gone.	hostile-but-sincere-rant	UNCERTAIN
D19	This moron crashed the forklift into the loading dock again.	hostile-but-sincere-rant	UNCERTAIN
D20	Stop being an idiot and read the manual before touching the controls.	hostile-but-sincere-rant	UNCERTAIN
D21	I don't hate the new schedule; I love the old one.	sincere-contrast-antonym	UNCERTAIN
D22	We don't enjoy the audit, but we do finish it on time.	sincere-contrast-auxflip	UNCERTAIN
D23	I can't approve the request, but I can review it again tomorrow.	sincere-contrast-auxflip	UNCERTAIN
D24	The new policy hit the team like a storm.	deadpan-simile-sincere	UNCERTAIN
D25	She worked hard and literally saved the project.	deadpan-tropeword-sincere	UNCERTAIN
D26	He ran a million errands before noon.	deadpan-tropeword-sincere	UNCERTAIN
D27	She told a joke at the reception and everyone clapped politely.	joke-word-sincere	UNCERTAIN
D28	The traveler downloaded the findings before the upgrade.	tropewords-sincere	UNCERTAIN
D29	The lab results arrived and the patient was relieved.	deadpan-factual	UNCERTAIN
D30	Local officials confirmed the bridge inspection passed on schedule.	deadpan-newsregister-sincere	UNCERTAIN
D31	He worked as a lighthouse keeper for forty years and retired quietly.	true-biography	UNCERTAIN
D32	She taught mathematics at the same school for three decades.	true-biography	UNCERTAIN
D33	The flight was delayed, but the airline provided meal vouchers.	deadpan-contrast-sincere	UNCERTAIN
D34	It rained all morning, yet the match went ahead as planned.	deadpan-contrast-sincere	UNCERTAIN
D35	Prices rose in March, however they stabilized by June.	deadpan-contrast-sincere	UNCERTAIN
D36	The museum's new exhibit features a dragon skeleton from the Ming dynasty.	absurd-word-sincere	UNCERTAIN
D37	Vampire bats live in the caves near the border town.	absurd-word-sincere	UNCERTAIN
D38	The ghost town attracted photographers every autumn.	absurd-word-sincere	UNCERTAIN
J01	Time flies like an arrow; fruit flies like a banana.	pun-classic-novel-lexicon	JOKING
J02	I used to be a banker, but I lost interest.	pun	JOKING
J03	The graveyard is popular because people are dying to get in.	pun	JOKING
J04	I'm reading a book about anti-gravity. It's impossible to put down.	pun	JOKING
J05	Broken pencils are pointless.	pun	JOKING
J06	The math teacher called in sick with alge-bra.	pun	JOKING
J07	My goldfish filed for custody of the cat.	absurd-premise	JOKING
J08	The committee voted to replace gravity with a suggestion box.	absurd-premise	JOKING
J09	I told my doctor I broke my arm in two places. He told me to stop going to those places.	misdirection	JOKING
J10	My boss said dress for the job you want, not the job you have, so I showed up as Batman.	misdirection	JOKING
J11	Our cybersecurity expert used password123 as his password for six years.	irony	JOKING
J12	The fire station burned down while the crew was at a fire-safety seminar.	irony	JOKING
J13	I have a lot of jokes about unemployed people, but none of them work.	meta-one-liner	JOKING
J14	My therapist says I have a preoccupation with vengeance. We'll see about that.	dry-one-liner	JOKING
J15	I don't suffer from insanity; I enjoy every minute of it.	dry-one-liner	JOKING
J16	Why did the programmer quit? He didn't get arrays.	riddle-novel-pun	JOKING
J17	Do not trust the baker. He kneads the dough.	distrust-pun-novel	JOKING
J18	Never trust atoms. They make up everything.	distrust-pun-control	JOKING
J19	She whispered the secret recipe, but the soup already knew.	whisper-absurd	JOKING
J20	The chef whispered that the soup was too crowded, and walked away.	whisper-pun	JOKING
J21	I asked the librarian for a book on paranoia. She whispered, they're right behind you.	whisper-pun	JOKING
J22	Two types of people: those who finish lists and	meta-incomplete	JOKING
J23	There are only 10 kinds of people: those who understand binary and those who don't.	binary-pun-control	JOKING
J24	My plants are dead. I guess I don't have a green thumb, just a brown everything.	dry-one-liner	JOKING
J25	I don't always tell jokes, but when I do, they're about Dos Equis.	meme-one-liner	JOKING
J26	The early bird gets the worm, but the second mouse gets the cheese.	proverb-twist-control	JOKING
J27	I'm not superstitious, but I am a little stitious.	prefix-echo-control	JOKING
J28	I told my wife she was drawing her eyebrows too high. She looked surprised.	pun-control	JOKING
J29	What do you call fake spaghetti? An impasta.	riddle-novel-pun	JOKING
J30	Why don't scientists trust atoms? Because they make up everything.	distrust-pun-control	JOKING
J31	Breaking: local man discovers his vintage wine was just old.	satire-headline	JOKING
J32	Area experts confirm: water is wet, film at eleven.	satire-headline	JOKING
J33	The meeting has been moved to a time that works for no one, as tradition dictates.	dry-one-liner	JOKING
J34	I have a stepladder. I never knew my real ladder.	pun	JOKING
