NEG-01	Bats are blind.	Bat vision facts	Field studies show bats are NOT blind.	2
NEG-02	Bats are blind.	Bat vision facts	Researchers confirm bats are not blind.	2
NEG-03	Coffee causes cancer.	Coffee health review	The review found coffee does not cause cancer.	2
NEG-04	Coffee causes cancer.	Coffee health review	Not a single study has shown that coffee causes cancer.	2
NEG-05	Coffee causes cancer.	Coffee health review	It is not true that coffee causes cancer.	2
NEG-06	Coffee causes cancer.	Coffee health review	Coffee is not harmless; it causes cancer.	1
NEG-07	Coffee causes cancer.	Coffee health review	Coffee never causes cancer in any studied population.	2
NEG-08	The treatment cures disease.	Treatment trial results	The treatment never, in any of the published trials, cures the disease.	2
NEG-09	Coffee causes cancer.	Coffee health review	Coffee never causes jitters, but whether it causes cancer is unknown.	0
NEG-10	Smoking prevents cancer.	Smoking health review	Smoking never prevents cancer, researchers say.	2
NEG-11	Coffee causes cancer.	Coffee health review	No doctor says coffee causes cancer.	2
NEG-12	Coffee causes cancer.	Coffee health review	There is no plausible mechanism by which coffee causes cancer.	2
NEG-13	Coffee causes cancer.	Coffee health review	No credible scientist believes coffee causes cancer.	2
NEG-14	The treatment cures disease.	Treatment trial results	No treatment cures disease faster.	1
NEG-15	Coffee causes cancer.	Daily news roundup	No rain is expected today, but coffee and cancer researchers meet in Boston.	0
NEG-16	The trials showed benefits.	Trial results summary	None of the trials showed benefits.	2
NEG-17	The trials showed benefits.	Trial results summary	None of the twelve published clinical trials showed benefits.	2
NEG-18	The trials showed benefits.	Trial results summary	The benefits were none to speak of.	2
NEG-19	Coffee causes cancer.	Coffee health review	Neither coffee nor tea causes cancer.	2
NEG-20	Coffee causes cancer.	Coffee health review	Neither researchers in Europe nor those in Asia found that coffee causes cancer.	2
NEG-21	Coffee causes cancer.	Coffee health review	Coffee causes neither cancer nor heart disease.	2
NEG-22	Tea causes cancer.	Tea health review	Nor does tea cause cancer.	2
NEG-23	Coffee causes cancer.	Coffee health review	Coffee doesn't cause cancer.	2
NEG-24	Coffee causes cancer.	Coffee health review	The researchers didn't, after reviewing all the data, conclude that coffee causes cancer.	2
NEG-25	The treatment cures disease.	Treatment trial results	The treatment doesn't cure disease, doesn't prevent relapse, and doesn't help at all.	2
NEG-26	Coffee causes cancer.	Coffee health review	Coffee doesn’t cause cancer.	2
NEG-27	Coffee causes cancer.	Coffee health review	The researchers didn’t, after reviewing all the data, conclude that coffee causes cancer.	2
NEG-28	The treatment cures disease.	Treatment trial results	The treatment cures disease — or doesn’t it?	0
NEG-29	Celery juice cures disease.	Celery juice health claims	No clinical evidence supports the claim that celery juice cures.	2
NEG-30	Coffee causes cancer.	Coffee health review	There is no good evidence that coffee causes cancer.	2
NEG-31	Coffee causes cancer.	Coffee health review	There is no evidence that coffee causes cancer.	2
NEG-32	The policy is active and enforced.	Policy update	The policy is no longer suspended and remains active.	1
NEG-33	Smoking is permitted here.	Smoking policy update	Smoking is no longer permitted.	2
NEG-34	The drug is ineffective.	Drug efficacy review	The drug is not ineffective.	2
NEG-35	The policy is unpopular.	Policy polling	The policy is not unpopular.	2
NEG-36	The treatment is common.	Treatment usage stats	The treatment is not uncommon.	1
NEG-37	The side effect is rare.	Side effect profile	The side effect is not uncommon.	2
NEG-38	The treatment prevents relapses.	Treatment trial results	The treatment never fails to prevent relapses.	1
NEG-39	The vaccine prevents infection.	Vaccine trial results	The vaccine not only prevents infection but also reduces transmission.	1
NEG-40	The treatment cures disease.	Treatment trial results	It is hardly the case that the treatment cures disease.	2
NEG-41	Scientists confirm the theory.	Theory validation news	It is not the case that critics, but scientists, confirm the theory.	1
NEG-42	Coffee causes cancer.	Coffee health review	Not coffee but tea causes cancer.	1
NEG-43	Coffee causes cancer.	Coffee health review	It is not coffee but tea that causes cancer.	2
NEG-44	Tea causes cancer.	Tea health review	It is not tea but coffee that causes cancer.	2
NEG-45	Tea causes cancer.	Tea health review	Not coffee but tea causes cancer.	1
NEG-46	Coffee causes cancer.	Coffee health review	A spokesman denies that coffee causes cancer.	2
NEG-47	Coffee causes cancer.	Coffee health review	The panel rejected the claim that coffee causes cancer.	2
NEG-48	Coffee causes cancer.	Coffee health review	The author disputes the finding that coffee causes cancer.	2
NEG-49	Coffee causes cancer.	Coffee health review	The review contradicts the claim that coffee causes cancer.	2
NEG-50	Coffee causes cancer.	Coffee health review	The study refutes the claim that coffee causes cancer.	2
NEG-51	Coffee causes cancer.	Coffee health review	Experts called the claim false: coffee causes cancer.	2
NEG-52	Coffee causes cancer.	Coffee health review	The agency denied the report that coffee causes cancer.	2
