judge_id	sample_idx	trial_id	task	kind	family
J000	20	r2n_colordisc_0601	colordisc	normal	-
J001	179	r2a_shapetrans_0633	shapetrans	adversarial	R2A-SHP-2
J002	199	r2a_colorconst_0532	colorconst	adversarial	R2A-CCN-2
J003	85	r2a_shapetrans_0158	shapetrans	adversarial	R2A-SHP-1
J004	37	h_shapetrans_noise_p007	shapetrans	normal	harness-noise
J005	40	h_colorconst_primary_p025	colorconst	normal	harness-primary
J006	18	r2n_motiondir_0080	motiondir	normal	-
J007	189	r2a_shapetrans_0011	shapetrans	adversarial	R2A-SHP-1
J008	12	r2a_colordisc_0093	colordisc	adversarial	R2A-COL-1
J009	22	h_colordisc_noise_p038	colordisc	normal	harness-noise
J010	6	r2n_colordisc_0720	colordisc	normal	-
J011	51	r2n_motiondir_0064	motiondir	normal	-
J012	60	r2a_colorconst_0333	colorconst	adversarial	R2A-CCN-2
J013	186	r2a_colordisc_0038	colordisc	adversarial	R2A-COL-1
J014	13	h_colorconst_noise_p029	colorconst	normal	harness-noise
J015	121	r2n_motiondir_0020	motiondir	normal	-
J016	16	r2a_motiondir_0334	motiondir	adversarial	R2A-MOT-2
J017	62	h_motiondir_noise_p016	motiondir	normal	harness-noise
J018	153	r2a_colordisc_0018	colordisc	adversarial	R2A-COL-1
J019	158	h_shapetrans_primary_p072	shapetrans	normal	harness-primary
J020	21	r2a_motiondir_0346	motiondir	adversarial	R2A-MOT-2
J021	124	r2a_colordisc_0080	colordisc	adversarial	R2A-COL-1
J022	31	r2a_shapetrans_0527	shapetrans	adversarial	R2A-SHP-2
J023	34	r2a_shapetrans_0488	shapetrans	adversarial	R2A-SHP-2
J024	184	h_colorconst_noise_p025	colorconst	normal	harness-noise
J025	114	r2a_motiondir_0574	motiondir	adversarial	R2A-MOT-2
J026	38	r2n_colorconst_0050	colorconst	normal	-
J027	47	r2n_motiondir_0428	motiondir	normal	-
J028	28	r2n_colordisc_0046	colordisc	normal	-
J029	67	r2a_shapetrans_0323	shapetrans	adversarial	R2A-SHP-1
J030	105	r2n_colorconst_0333	colorconst	normal	-
J031	116	r2a_shapetrans_0028	shapetrans	adversarial	R2A-SHP-1
J032	45	r2n_shapetrans_0854	shapetrans	normal	-
J033	3	r2a_shapetrans_0031	shapetrans	adversarial	R2A-SHP-1
J034	177	h_shapetrans_noise_p008	shapetrans	normal	harness-noise
J035	107	r2a_colordisc_0058	colordisc	adversarial	R2A-COL-1
J036	101	r2n_colorconst_0382	colorconst	normal	-
J037	82	r2a_colorconst_0316	colorconst	adversarial	R2A-CCN-2
