sample_idx	trial_id	task	kind	family	reason
2	r2n_timbredisc_0406	timbredisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
7	r2a_pitchdisc_0544	pitchdisc	adversarial	R2A-PTC-2	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
10	h_pitchdisc_noise_p016	pitchdisc	normal	harness-noise	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
23	r2a_pitchdisc_0428	pitchdisc	adversarial	R2A-PTC-2	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
25	r2a_pitchdisc_0574	pitchdisc	adversarial	R2A-PTC-2	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
29	r2n_timbredisc_0360	timbredisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
33	r2n_timbredisc_0506	timbredisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
42	r2n_timbredisc_0034	timbredisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
43	h_pitchdisc_noise_p050	pitchdisc	normal	harness-noise	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
44	r2n_timbredisc_0205	timbredisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
55	r2a_pitchdisc_0332	pitchdisc	adversarial	R2A-PTC-2	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
65	h_timbredisc_primary_p028	timbredisc	normal	harness-primary	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
66	r2n_pitchdisc_0050	pitchdisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
74	r2n_pitchdisc_0424	pitchdisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
