C events parsed: 11
C regions=4 starts: 0 88200 264600 418950
C rg=0 rb=0 g=65536 m=4064 T=4043 st=0
C rg=0 rb=1 g=63764 m=7492 T=7087 st=1
C rg=0 rb=2 g=63764 m=6934 T=7087 st=0
C rg=0 rb=3 g=61576 m=7609 T=7087 st=1
C rg=0 rb=4 g=64944 m=6388 T=7087 st=1
C rg=0 rb=5 g=62101 m=7767 T=7087 st=1
C rg=0 rb=6 g=63914 m=6696 T=7087 st=1
C rg=0 rb=7 g=63914 m=7366 T=7087 st=0
C rg=0 rb=8 g=63914 m=7119 T=7087 st=0
C rg=0 rb=9 g=63914 m=7113 T=7087 st=0
C rg=0 rb=10 g=63914 m=7261 T=7087 st=0
C rg=0 rb=11 g=63914 m=6995 T=7087 st=0
C rg=0 rb=12 g=61725 m=7608 T=7087 st=1
C rg=0 rb=13 g=64968 m=6413 T=7087 st=1
C rg=0 rb=14 g=62078 m=7779 T=7087 st=1
C rg=0 rb=15 g=64147 m=6644 T=7087 st=1
C rg=0 rb=16 g=64147 m=7441 T=7087 st=0
C rg=0 rb=17 g=64147 m=7145 T=7087 st=0
C rg=0 rb=18 g=64147 m=7142 T=7087 st=0
C rg=0 rb=19 g=64147 m=7246 T=7087 st=0
C rg=0 rb=20 g=64147 m=7060 T=7087 st=0
C rg=0 rb=21 g=61930 m=7613 T=7087 st=1
C rg=0 rb=22 g=64972 m=6453 T=7087 st=1
C rg=0 rb=23 g=62055 m=7786 T=7087 st=1
C rg=0 rb=24 g=64369 m=6595 T=7087 st=1
C rg=0 rb=25 g=62548 m=7512 T=7087 st=1
C rg=0 rb=26 g=62548 m=6962 T=7087 st=0
C rg=0 rb=27 g=62548 m=6972 T=7087 st=0
C rg=0 rb=28 g=62548 m=7030 T=7087 st=0
C rg=0 rb=29 g=62548 m=6916 T=7087 st=0
C rg=0 rb=30 g=62548 m=7395 T=7087 st=0
C rg=0 rb=31 g=65143 m=6544 T=7087 st=1
C rg=0 rb=32 g=62131 m=7809 T=7087 st=1
C rg=0 rb=33 g=64631 m=6559 T=7087 st=1
C rg=0 rb=34 g=62509 m=7585 T=7087 st=1
C rg=0 rb=35 g=62509 m=6947 T=7087 st=0
C rg=0 rb=36 g=62509 m=6983 T=7087 st=0
C rg=0 rb=37 g=62509 m=6997 T=7087 st=0
C rg=0 rb=38 g=62509 m=6935 T=7087 st=0
C rg=0 rb=39 g=62509 m=7358 T=7087 st=0
C rg=0 rb=40 g=64942 m=6575 T=7087 st=1
C rg=0 rb=41 g=62026 m=7786 T=7087 st=1
C rg=0 rb=42 g=64774 m=6510 T=7087 st=1
C rg=0 rb=43 g=62433 m=7639 T=7087 st=1
C rg=0 rb=44 g=62433 m=6920 T=7087 st=0
C rg=0 rb=45 g=62433 m=6998 T=7087 st=0
C rg=0 rb=46 g=62433 m=6969 T=7087 st=0
C rg=0 rb=47 g=62433 m=6942 T=7087 st=0
C rg=0 rb=48 g=62433 m=7312 T=7087 st=0
C rg=0 rb=49 g=64700 m=6607 T=7087 st=1
C rg=0 rb=50 g=61913 m=7755 T=7087 st=1
C rg=0 rb=51 g=64880 m=6467 T=7087 st=1
C rg=0 rb=52 g=62363 m=7683 T=7087 st=1
C rg=0 rb=53 g=62363 m=6885 T=7087 st=0
C rg=0 rb=54 g=62363 m=7021 T=7087 st=0
C rg=0 rb=55 g=62363 m=6948 T=7087 st=0
C rg=0 rb=56 g=62363 m=6942 T=7087 st=0
C rg=0 rb=57 g=62363 m=7262 T=7087 st=0
C rg=0 rb=58 g=64437 m=6645 T=7087 st=1
C rg=0 rb=59 g=61799 m=7719 T=7087 st=1
C rg=0 rb=60 g=64950 m=6431 T=7087 st=1
C rg=0 rb=61 g=62294 m=7718 T=7087 st=1
C rg=0 rb=62 g=62294 m=6844 T=7087 st=0
C rg=0 rb=63 g=62294 m=7051 T=7087 st=0
C rg=0 rb=64 g=62294 m=6935 T=7087 st=0
C rg=0 rb=65 g=62294 m=6937 T=7087 st=0
C rg=0 rb=66 g=62294 m=7208 T=7087 st=0
C rg=0 rb=67 g=64162 m=6686 T=7087 st=1
C rg=0 rb=68 g=61688 m=7679 T=7087 st=1
C rg=0 rb=69 g=64977 m=6404 T=7087 st=1
C rg=0 rb=70 g=62224 m=7743 T=7087 st=1
C rg=0 rb=71 g=62224 m=6795 T=7087 st=0
C rg=0 rb=72 g=62224 m=7085 T=7087 st=0
C rg=0 rb=73 g=62224 m=6927 T=7087 st=0
C rg=0 rb=74 g=62224 m=6928 T=7087 st=0
C rg=0 rb=75 g=62224 m=7154 T=7087 st=0
C rg=0 rb=76 g=63893 m=6726 T=7087 st=1
C rg=0 rb=77 g=61596 m=7636 T=7087 st=1
C rg=0 rb=78 g=64966 m=6388 T=7087 st=1
C rg=0 rb=79 g=62152 m=7759 T=7087 st=1
C rg=0 rb=80 g=62152 m=6742 T=7087 st=0
C rg=0 rb=81 g=62152 m=7123 T=7087 st=0
C rg=0 rb=82 g=62152 m=6921 T=7087 st=0
C rg=0 rb=83 g=62152 m=6918 T=7087 st=0
C rg=0 rb=84 g=62152 m=7099 T=7087 st=0
C rg=0 rb=85 g=62152 m=6765 T=7087 st=0
C rg=0 rb=86 g=57800 m=8241 T=7087 st=1
C rg=1 rb=0 g=65536 m=8716 T=9058 st=0
C rg=1 rb=1 g=69697 m=16497 T=18592 st=1
C rg=1 rb=2 g=71686 m=19041 T=20128 st=1
C rg=1 rb=3 g=71686 m=19411 T=20128 st=0
C rg=1 rb=4 g=71686 m=19149 T=20128 st=0
C rg=1 rb=5 g=71686 m=19653 T=20128 st=0
C rg=1 rb=6 g=71686 m=19685 T=20128 st=0
C rg=1 rb=7 g=73672 m=19071 T=20128 st=1
C rg=1 rb=8 g=69967 m=16776 T=15089 st=1
C rg=1 rb=9 g=66848 m=7875 T=7173 st=1
C rg=1 rb=10 g=66848 m=8261 T=8092 st=0
C rg=1 rb=11 g=68627 m=10142 T=10682 st=1
C rg=1 rb=12 g=68627 m=13882 T=14323 st=0
C rg=1 rb=13 g=71749 m=16209 T=17684 st=1
C rg=1 rb=14 g=71749 m=19154 T=19718 st=0
C rg=1 rb=15 g=63452 m=9219 T=7087 st=1
C rg=1 rb=16 g=63452 m=7360 T=7087 st=0
C rg=1 rb=17 g=63452 m=7527 T=7763 st=0
C rg=1 rb=18 g=68743 m=14528 T=16951 st=1
C rg=1 rb=19 g=70856 m=18962 T=20128 st=1
C rg=1 rb=20 g=73435 m=18762 T=20128 st=1
C rg=1 rb=21 g=73435 m=20095 T=20128 st=0
C rg=1 rb=22 g=73435 m=19802 T=20128 st=0
C rg=1 rb=23 g=73435 m=20179 T=20128 st=0
C rg=1 rb=24 g=73435 m=19969 T=20128 st=0
C rg=1 rb=25 g=73435 m=18516 T=17788 st=0
C rg=1 rb=26 g=68698 m=8178 T=7123 st=1
C rg=1 rb=27 g=66904 m=8176 T=7749 st=1
C rg=1 rb=28 g=66904 m=9832 T=9967 st=0
C rg=1 rb=29 g=70114 m=12295 T=13475 st=1
C rg=1 rb=30 g=70114 m=16658 T=17006 st=0
C rg=1 rb=31 g=73061 m=17910 T=19416 st=1
C rg=1 rb=32 g=69033 m=13234 T=11775 st=1
C rg=1 rb=33 g=69033 m=7288 T=7087 st=0
C rg=1 rb=34 g=64903 m=8192 T=7212 st=1
C rg=1 rb=35 g=69355 m=12907 T=14678 st=1
C rg=1 rb=36 g=71599 m=18896 T=20119 st=1
C rg=1 rb=37 g=71599 m=19451 T=20128 st=0
C rg=1 rb=38 g=71599 m=19495 T=20128 st=0
C rg=1 rb=39 g=71599 m=19304 T=20128 st=0
C rg=1 rb=40 g=71599 m=19406 T=20128 st=0
C rg=1 rb=41 g=71599 m=19685 T=20128 st=0
C rg=1 rb=42 g=73650 m=19037 T=20128 st=1
C rg=1 rb=43 g=62831 m=10052 T=7099 st=1
C rg=1 rb=44 g=62831 m=7244 T=7492 st=0
C rg=1 rb=45 g=65321 m=8628 T=9312 st=1
C rg=1 rb=46 g=68147 m=11635 T=12642 st=1
C rg=1 rb=47 g=70912 m=15046 T=16267 st=1
C rg=1 rb=48 g=70912 m=18186 T=19011 st=0
C rg=1 rb=49 g=70912 m=14943 T=15029 st=0
C rg=1 rb=50 g=65017 m=8500 T=7087 st=1
C rg=1 rb=51 g=65017 m=6777 T=7093 st=0
C rg=1 rb=52 g=67411 m=11307 T=12140 st=1
C rg=1 rb=53 g=71231 m=17832 T=19853 st=1
C rg=1 rb=54 g=71231 m=19597 T=20128 st=0
C rg=1 rb=55 g=71231 m=19445 T=20128 st=0
C rg=1 rb=56 g=73492 m=18926 T=20128 st=1
C rg=1 rb=57 g=73492 m=20330 T=20128 st=0
C rg=1 rb=58 g=73492 m=19541 T=20128 st=0
C rg=1 rb=59 g=73492 m=20285 T=20128 st=0
C rg=1 rb=60 g=71460 m=12480 T=11790 st=1
C rg=1 rb=61 g=65903 m=8662 T=7315 st=1
C rg=1 rb=62 g=65903 m=8702 T=8741 st=0
C rg=1 rb=63 g=68643 m=10905 T=11812 st=1
C rg=1 rb=64 g=71142 m=14430 T=15481 st=1
C rg=1 rb=65 g=71142 m=17784 T=18517 st=0
C rg=1 rb=66 g=71142 m=17202 T=17634 st=0
C rg=1 rb=67 g=68588 m=7635 T=7087 st=1
C rg=1 rb=68 g=63915 m=8205 T=7087 st=1
C rg=1 rb=69 g=68025 m=8716 T=9837 st=1
C rg=1 rb=70 g=70463 m=17812 T=19089 st=1
C rg=1 rb=71 g=70463 m=19384 T=20128 st=0
C rg=1 rb=72 g=73236 m=18659 T=20128 st=1
C rg=1 rb=73 g=73236 m=19953 T=20128 st=0
C rg=1 rb=74 g=73236 m=19613 T=20128 st=0
C rg=1 rb=75 g=73236 m=19888 T=20128 st=0
C rg=1 rb=76 g=73236 m=19766 T=20128 st=0
C rg=1 rb=77 g=71064 m=16040 T=15089 st=1
C rg=1 rb=78 g=71064 m=7489 T=7202 st=0
C rg=1 rb=79 g=67124 m=9299 T=8268 st=1
C rg=1 rb=80 g=69671 m=10237 T=11014 st=1
C rg=1 rb=81 g=69671 m=14345 T=14660 st=0
C rg=1 rb=82 g=69671 m=17143 T=17939 st=0
C rg=1 rb=83 g=72928 m=18128 T=19823 st=1
C rg=1 rb=84 g=67486 m=8330 T=7087 st=1
C rg=1 rb=85 g=67486 m=7346 T=7087 st=0
C rg=1 rb=86 g=64555 m=8969 T=8190 st=1
C rg=1 rb=87 g=69802 m=15224 T=17699 st=1
C rg=1 rb=88 g=69802 m=19321 T=20128 st=0
C rg=1 rb=89 g=73279 m=18304 T=20128 st=1
C rg=1 rb=90 g=73279 m=20509 T=20128 st=0
C rg=1 rb=91 g=75577 m=18940 T=20128 st=1
