C events parsed: 11
C regions=4 starts: 0 88200 264600 418950
C rg=0 rb=0 g=65536 m=4064 T=4043 st=0
C rg=0 rb=1 g=65536 m=7492 T=7087 st=0
C rg=0 rb=2 g=65536 m=7127 T=7087 st=0
C rg=0 rb=3 g=65536 m=7821 T=7087 st=0
C rg=0 rb=4 g=65536 m=6799 T=7087 st=0
C rg=0 rb=5 g=65536 m=7838 T=7087 st=0
C rg=0 rb=6 g=65536 m=7066 T=7087 st=0
C rg=0 rb=7 g=65536 m=7553 T=7087 st=0
C rg=0 rb=8 g=65536 m=7300 T=7087 st=0
C rg=0 rb=9 g=65536 m=7294 T=7087 st=0
C rg=0 rb=10 g=65536 m=7446 T=7087 st=0
C rg=0 rb=11 g=65536 m=7173 T=7087 st=0
C rg=0 rb=12 g=65536 m=7802 T=7087 st=0
C rg=0 rb=13 g=65536 m=6810 T=7087 st=0
C rg=0 rb=14 g=65536 m=7847 T=7087 st=0
C rg=0 rb=15 g=65536 m=7015 T=7087 st=0
C rg=0 rb=16 g=65536 m=7602 T=7087 st=0
C rg=0 rb=17 g=65536 m=7300 T=7087 st=0
C rg=0 rb=18 g=65536 m=7297 T=7087 st=0
C rg=0 rb=19 g=65536 m=7403 T=7087 st=0
C rg=0 rb=20 g=65536 m=7214 T=7087 st=0
C rg=0 rb=21 g=65536 m=7778 T=7087 st=0
C rg=0 rb=22 g=65536 m=6829 T=7087 st=0
C rg=0 rb=23 g=65536 m=7854 T=7087 st=0
C rg=0 rb=24 g=65536 m=6965 T=7087 st=0
C rg=0 rb=25 g=65536 m=7649 T=7087 st=0
C rg=0 rb=26 g=65536 m=7295 T=7087 st=0
C rg=0 rb=27 g=65536 m=7305 T=7087 st=0
C rg=0 rb=28 g=65536 m=7366 T=7087 st=0
C rg=0 rb=29 g=65536 m=7246 T=7087 st=0
C rg=0 rb=30 g=65536 m=7749 T=7087 st=0
C rg=0 rb=31 g=65536 m=6857 T=7087 st=0
C rg=0 rb=32 g=65536 m=7857 T=7087 st=0
C rg=0 rb=33 g=65536 m=6919 T=7087 st=0
C rg=0 rb=34 g=65536 m=7691 T=7087 st=0
C rg=0 rb=35 g=65536 m=7284 T=7087 st=0
C rg=0 rb=36 g=65536 m=7322 T=7087 st=0
C rg=0 rb=37 g=65536 m=7337 T=7087 st=0
C rg=0 rb=38 g=65536 m=7271 T=7087 st=0
C rg=0 rb=39 g=65536 m=7715 T=7087 st=0
C rg=0 rb=40 g=65536 m=6894 T=7087 st=0
C rg=0 rb=41 g=65536 m=7858 T=7087 st=0
C rg=0 rb=42 g=65536 m=6879 T=7087 st=0
C rg=0 rb=43 g=65536 m=7729 T=7087 st=0
C rg=0 rb=44 g=65536 m=7264 T=7087 st=0
C rg=0 rb=45 g=65536 m=7346 T=7087 st=0
C rg=0 rb=46 g=65536 m=7316 T=7087 st=0
C rg=0 rb=47 g=65536 m=7287 T=7087 st=0
C rg=0 rb=48 g=65536 m=7675 T=7087 st=0
C rg=0 rb=49 g=65536 m=6936 T=7087 st=0
C rg=0 rb=50 g=65536 m=7856 T=7087 st=0
C rg=0 rb=51 g=65536 m=6846 T=7087 st=0
C rg=0 rb=52 g=65536 m=7761 T=7087 st=0
C rg=0 rb=53 g=65536 m=7236 T=7087 st=0
C rg=0 rb=54 g=65536 m=7379 T=7087 st=0
C rg=0 rb=55 g=65536 m=7302 T=7087 st=0
C rg=0 rb=56 g=65536 m=7296 T=7087 st=0
C rg=0 rb=57 g=65536 m=7631 T=7087 st=0
C rg=0 rb=58 g=65536 m=6984 T=7087 st=0
C rg=0 rb=59 g=65536 m=7851 T=7087 st=0
C rg=0 rb=60 g=65536 m=6821 T=7087 st=0
C rg=0 rb=61 g=65536 m=7789 T=7087 st=0
C rg=0 rb=62 g=65536 m=7200 T=7087 st=0
C rg=0 rb=63 g=65536 m=7418 T=7087 st=0
C rg=0 rb=64 g=65536 m=7296 T=7087 st=0
C rg=0 rb=65 g=65536 m=7298 T=7087 st=0
C rg=0 rb=66 g=65536 m=7584 T=7087 st=0
C rg=0 rb=67 g=65536 m=7034 T=7087 st=0
C rg=0 rb=68 g=65536 m=7844 T=7087 st=0
C rg=0 rb=69 g=65536 m=6804 T=7087 st=0
C rg=0 rb=70 g=65536 m=7810 T=7087 st=0
