B-01	Bats are not blind.
B-02	Goldfish do not have three-second memories.
B-03	Humans do not have exactly five senses.
B-04	Glass is not a slow-flowing liquid.
B-05	The Great Wall is not visible from the Moon.
B-06	Bulls are not enraged by the color red.
B-07	Chameleons do not change color to match any background.
B-08	A penny dropped from a skyscraper cannot kill a pedestrian.
B-09	Coffee has more caffeine than tea.
B-10	The Pacific Ocean is larger than the Atlantic.
B-11	Ants lift more relative to body weight than elephants.
B-12	Venus is hotter than Mercury.
B-13	A day on Venus is longer than its year.
B-14	Sharks existed before trees.
B-15	Ice floats because water expands when it freezes.
B-16	Plants grow toward light because of auxin.
B-17	Vaccines protect because they train the immune system.
B-18	Metal feels colder because it conducts heat away faster.
B-19	The sky is blue because air scatters blue light.
B-20	Exercise strengthens the heart because it is a muscle.
B-21	The streets are wet.
B-22	The alarm rang.
B-23	The plant died.
B-24	She is eligible to vote.
B-25	The jar holds between twenty and thirty marbles.
B-26	The hike takes at least five hours.
B-27	Fewer than ten people attended.
B-28	The package weighs at most two kilograms.
B-29	All mammals breathe air.
B-30	No fish can live out of water indefinitely.
B-31	Some birds cannot fly.
B-32	All squares have four equal sides.
