cand	leg	trials	installs	false_installs	true_leg1_retained
T0	leg1	43	0	0	0
T0	leg2	12	0	0	0
T0	leg3_C1	4	1	0	0
T0	leg3_C2	3	0	0	0
T0	leg3_C3	3	0	0	0
T0	leg3_R1	3	0	0	0
T0	leg3_R2	3	0	0	0
T0	leg3_CC1	4	0	0	0
T0	leg3_CC2	4	1	0	0
T0	leg3_H1	1	0	0	0
T0	leg3_T1	3	0	0	0
T0	leg3_W1	3	0	0	0
T0	leg4_clean	288	0	0	0
T0	leg4_withhold	288	0	0	0
T0	leg4_install	44	0	0	0
T0	leg4_decoy	52	0	0	0
T1	leg1	43	2	0	2
T1	leg2	12	0	0	0
T1	leg3_C1	4	1	0	0
T1	leg3_C2	3	0	0	0
T1	leg3_C3	3	0	0	0
T1	leg3_R1	3	0	0	0
T1	leg3_R2	3	0	0	0
T1	leg3_CC1	4	0	0	0
T1	leg3_CC2	4	1	0	0
T1	leg3_H1	1	0	0	0
T1	leg3_T1	3	0	0	0
T1	leg3_W1	3	0	0	0
T1	leg4_clean	288	0	0	0
T1	leg4_withhold	288	0	0	0
T1	leg4_install	44	0	0	0
T1	leg4_decoy	52	0	0	0
T2lo	leg1	43	3	1	2
T2lo	leg2	12	0	0	0
T2lo	leg3_C1	4	1	0	0
T2lo	leg3_C2	3	0	0	0
T2lo	leg3_C3	3	0	0	0
T2lo	leg3_R1	3	0	0	0
T2lo	leg3_R2	3	0	0	0
T2lo	leg3_CC1	4	0	0	0
T2lo	leg3_CC2	4	1	0	0
T2lo	leg3_H1	1	0	0	0
T2lo	leg3_T1	3	0	0	0
T2lo	leg3_W1	3	0	0	0
T2lo	leg4_clean	288	0	0	0
T2lo	leg4_withhold	288	0	0	0
T2lo	leg4_install	44	0	0	0
T2lo	leg4_decoy	52	0	0	0
T2hi	leg1	43	1	1	0
T2hi	leg2	12	0	0	0
T2hi	leg3_C1	4	1	0	0
T2hi	leg3_C2	3	0	0	0
T2hi	leg3_C3	3	0	0	0
T2hi	leg3_R1	3	0	0	0
T2hi	leg3_R2	3	0	0	0
T2hi	leg3_CC1	4	0	0	0
T2hi	leg3_CC2	4	1	0	0
T2hi	leg3_H1	1	0	0	0
T2hi	leg3_T1	3	0	0	0
T2hi	leg3_W1	3	0	0	0
T2hi	leg4_clean	288	0	0	0
T2hi	leg4_withhold	288	0	0	0
T2hi	leg4_install	44	0	0	0
T2hi	leg4_decoy	52	0	0	0
T3	leg1	43	1	0	1
T3	leg2	12	0	0	0
T3	leg3_C1	4	1	0	0
T3	leg3_C2	3	0	0	0
T3	leg3_C3	3	0	0	0
T3	leg3_R1	3	0	0	0
T3	leg3_R2	3	0	0	0
T3	leg3_CC1	4	0	0	0
T3	leg3_CC2	4	1	0	0
T3	leg3_H1	1	0	0	0
T3	leg3_T1	3	0	0	0
T3	leg3_W1	3	0	0	0
T3	leg4_clean	288	0	0	0
T3	leg4_withhold	288	0	0	0
T3	leg4_install	44	0	0	0
T3	leg4_decoy	52	0	0	0
T4	leg1	43	3	1	2
T4	leg2	12	0	0	0
T4	leg3_C1	4	0	0	0
T4	leg3_C2	3	0	0	0
T4	leg3_C3	3	0	0	0
T4	leg3_R1	3	0	0	0
T4	leg3_R2	3	0	0	0
T4	leg3_CC1	4	0	0	0
T4	leg3_CC2	4	0	0	0
T4	leg3_H1	1	0	0	0
T4	leg3_T1	3	0	0	0
T4	leg3_W1	3	0	0	0
T4	leg4_clean	288	0	0	0
T4	leg4_withhold	288	0	0	0
T4	leg4_install	44	0	0	0
T4	leg4_decoy	52	0	0	0
