cand	cell	trial_idx	disp
T0	C1	0	PROV
T0	C1	1	PERM
T0	C1	2	CHAL
T0	C1	3	REV
T0	C2	0	PROV
T0	C2	1	PERM
T0	C2	2	CHAL
T0	C3	0	PROV
T0	C3	1	PERM
T0	C3	2	CHAL
T0	R1	0	PROV
T0	R1	1	PERM
T0	R1	2	CONF
T0	R2	0	PROV
T0	R2	1	PROV
T0	R2	2	CHAL
T0	H1	0	CONF
T0	T1	0	PROV
T0	T1	1	PERM
T0	T1	2	CHAL
T0	W1	0	WITH
T0	W1	1	WITH
T0	W1	2	WITH
T0	CC1	0	PROV
T0	CC1	1	PERM
T0	CC1	2	CHAL
T0	CC1	3	CHAL
T0	CC1-V1	0	PROV
T0	CC1-V1	1	PERM
T0	CC1-V1	2	CHAL
T0	CC1-V1	3	CHAL
T0	CC1-V2	0	PROV
T0	CC1-V2	1	PERM
T0	CC1-V2	2	CHAL
T0	CC1-V2	3	CHAL
T0	CC1-V3	0	PROV
T0	CC1-V3	1	PERM
T0	CC1-V3	2	CHAL
T0	CC1-V3	3	CHAL
T0	CC1-V4	0	PROV
T0	CC1-V4	1	PERM
T0	CC1-V4	2	CHAL
T0	CC1-V4	3	CHAL
T0	CC1-V5	0	PROV
T0	CC1-V5	1	PERM
T0	CC1-V5	2	CHAL
T0	CC1-V5	3	CHAL
T0	CC1-V6	0	PROV
T0	CC1-V6	1	PERM
T0	CC1-V6	2	CHAL
T0	CC1-V6	3	CHAL
T0	CC1-V7	0	PROV
T0	CC1-V7	1	PERM
T0	CC1-V7	2	CHAL
T0	CC1-V7	3	CHAL
T0	CC1-V8	0	PROV
T0	CC1-V8	1	PERM
T0	CC1-V8	2	CHAL
T0	CC1-V8	3	CHAL
T0	CC1-V9	0	PROV
T0	CC1-V9	1	PERM
T0	CC1-V9	2	CHAL
T0	CC1-V9	3	REV
T0	CC2	0	PROV
T0	CC2	1	PERM
T0	CC2	2	CHAL
T0	CC2	3	REV
T0	CC2-W1	0	PROV
T0	CC2-W1	1	PERM
T0	CC2-W1	2	CHAL
T0	CC2-W1	3	REV
T0	CC2-W2	0	PROV
T0	CC2-W2	1	PERM
T0	CC2-W2	2	CHAL
T0	CC2-W2	3	REV
T0	C1-W3	0	PROV
T0	C1-W3	1	PERM
T0	C1-W3	2	CHAL
T0	C1-W3	3	REV
T1	C1	0	PROV
T1	C1	1	PERM
T1	C1	2	CHAL
T1	C1	3	REV
T1	C2	0	PROV
T1	C2	1	PERM
T1	C2	2	CHAL
T1	C3	0	PROV
T1	C3	1	PERM
T1	C3	2	CHAL
T1	R1	0	PROV
T1	R1	1	PERM
T1	R1	2	CONF
T1	R2	0	PROV
T1	R2	1	PROV
T1	R2	2	CHAL
T1	H1	0	CONF
T1	T1	0	PROV
T1	T1	1	PERM
T1	T1	2	CHAL
T1	W1	0	WITH
T1	W1	1	WITH
T1	W1	2	WITH
T1	CC1	0	PROV
T1	CC1	1	PERM
T1	CC1	2	CHAL
T1	CC1	3	CHAL
T1	CC1-V1	0	PROV
T1	CC1-V1	1	PERM
T1	CC1-V1	2	CHAL
T1	CC1-V1	3	CHAL
T1	CC1-V2	0	PROV
T1	CC1-V2	1	PERM
T1	CC1-V2	2	CHAL
T1	CC1-V2	3	CHAL
T1	CC1-V3	0	PROV
T1	CC1-V3	1	PERM
T1	CC1-V3	2	CHAL
T1	CC1-V3	3	CHAL
T1	CC1-V4	0	PROV
T1	CC1-V4	1	PERM
T1	CC1-V4	2	CHAL
T1	CC1-V4	3	CHAL
T1	CC1-V5	0	PROV
T1	CC1-V5	1	PERM
T1	CC1-V5	2	CHAL
T1	CC1-V5	3	CHAL
T1	CC1-V6	0	PROV
T1	CC1-V6	1	PERM
T1	CC1-V6	2	CHAL
T1	CC1-V6	3	CHAL
T1	CC1-V7	0	PROV
T1	CC1-V7	1	PERM
T1	CC1-V7	2	CHAL
T1	CC1-V7	3	CHAL
T1	CC1-V8	0	PROV
T1	CC1-V8	1	PERM
T1	CC1-V8	2	CHAL
T1	CC1-V8	3	CHAL
T1	CC1-V9	0	PROV
T1	CC1-V9	1	PERM
T1	CC1-V9	2	CHAL
T1	CC1-V9	3	REV
T1	CC2	0	PROV
T1	CC2	1	PERM
T1	CC2	2	CHAL
T1	CC2	3	REV
T1	CC2-W1	0	PROV
T1	CC2-W1	1	PERM
T1	CC2-W1	2	CHAL
T1	CC2-W1	3	REV
T1	CC2-W2	0	PROV
T1	CC2-W2	1	PERM
T1	CC2-W2	2	CHAL
T1	CC2-W2	3	REV
T1	C1-W3	0	PROV
T1	C1-W3	1	PERM
T1	C1-W3	2	CHAL
T1	C1-W3	3	REV
T2lo	C1	0	PROV
T2lo	C1	1	PERM
T2lo	C1	2	CHAL
T2lo	C1	3	REV
T2lo	C2	0	PROV
T2lo	C2	1	PERM
T2lo	C2	2	CHAL
T2lo	C3	0	PROV
T2lo	C3	1	PERM
T2lo	C3	2	CHAL
T2lo	R1	0	PROV
T2lo	R1	1	PERM
T2lo	R1	2	CONF
T2lo	R2	0	PROV
T2lo	R2	1	PROV
T2lo	R2	2	CHAL
T2lo	H1	0	CONF
T2lo	T1	0	PROV
T2lo	T1	1	PERM
T2lo	T1	2	CHAL
T2lo	W1	0	WITH
T2lo	W1	1	WITH
T2lo	W1	2	WITH
T2lo	CC1	0	PROV
T2lo	CC1	1	PERM
T2lo	CC1	2	CHAL
T2lo	CC1	3	CHAL
T2lo	CC1-V1	0	PROV
T2lo	CC1-V1	1	PERM
T2lo	CC1-V1	2	CHAL
T2lo	CC1-V1	3	CHAL
T2lo	CC1-V2	0	PROV
T2lo	CC1-V2	1	PERM
T2lo	CC1-V2	2	CHAL
T2lo	CC1-V2	3	CHAL
T2lo	CC1-V3	0	PROV
T2lo	CC1-V3	1	PERM
T2lo	CC1-V3	2	CHAL
T2lo	CC1-V3	3	CHAL
T2lo	CC1-V4	0	PROV
T2lo	CC1-V4	1	PERM
T2lo	CC1-V4	2	CHAL
T2lo	CC1-V4	3	CHAL
T2lo	CC1-V5	0	PROV
T2lo	CC1-V5	1	PERM
T2lo	CC1-V5	2	CHAL
T2lo	CC1-V5	3	CHAL
T2lo	CC1-V6	0	PROV
T2lo	CC1-V6	1	PERM
T2lo	CC1-V6	2	CHAL
T2lo	CC1-V6	3	CHAL
T2lo	CC1-V7	0	PROV
T2lo	CC1-V7	1	PERM
T2lo	CC1-V7	2	CHAL
T2lo	CC1-V7	3	CHAL
T2lo	CC1-V8	0	PROV
T2lo	CC1-V8	1	PERM
T2lo	CC1-V8	2	CHAL
T2lo	CC1-V8	3	CHAL
T2lo	CC1-V9	0	PROV
T2lo	CC1-V9	1	PERM
T2lo	CC1-V9	2	CHAL
T2lo	CC1-V9	3	REV
T2lo	CC2	0	PROV
T2lo	CC2	1	PERM
T2lo	CC2	2	CHAL
T2lo	CC2	3	REV
T2lo	CC2-W1	0	PROV
T2lo	CC2-W1	1	PERM
T2lo	CC2-W1	2	CHAL
T2lo	CC2-W1	3	REV
T2lo	CC2-W2	0	PROV
T2lo	CC2-W2	1	PERM
T2lo	CC2-W2	2	CHAL
T2lo	CC2-W2	3	REV
T2lo	C1-W3	0	PROV
T2lo	C1-W3	1	PERM
T2lo	C1-W3	2	CHAL
T2lo	C1-W3	3	REV
T2hi	C1	0	PROV
T2hi	C1	1	PERM
T2hi	C1	2	CHAL
T2hi	C1	3	REV
T2hi	C2	0	PROV
T2hi	C2	1	PERM
T2hi	C2	2	CHAL
T2hi	C3	0	PROV
T2hi	C3	1	PERM
T2hi	C3	2	CHAL
T2hi	R1	0	PROV
T2hi	R1	1	PERM
T2hi	R1	2	CONF
T2hi	R2	0	PROV
T2hi	R2	1	PROV
T2hi	R2	2	CHAL
T2hi	H1	0	CONF
T2hi	T1	0	PROV
T2hi	T1	1	PERM
T2hi	T1	2	CHAL
T2hi	W1	0	WITH
T2hi	W1	1	WITH
T2hi	W1	2	WITH
T2hi	CC1	0	PROV
T2hi	CC1	1	PERM
T2hi	CC1	2	CHAL
T2hi	CC1	3	CHAL
T2hi	CC1-V1	0	PROV
T2hi	CC1-V1	1	PERM
T2hi	CC1-V1	2	CHAL
T2hi	CC1-V1	3	CHAL
T2hi	CC1-V2	0	PROV
T2hi	CC1-V2	1	PERM
T2hi	CC1-V2	2	CHAL
T2hi	CC1-V2	3	CHAL
